From	To
A0A087X1C5	CHEMBL3542437
A0A140G945	CHEMBL4296283
A0AVK6	CHEMBL4630726
A0AVT1	CHEMBL2321622
A1A4Y4	CHEMBL5169093
A1L3X0	CHEMBL5169094
A1Z1Q3	CHEMBL4295630
A4D0S4	CHEMBL2364187
A4D1B5	CHEMBL3638343
A4QPH2	CHEMBL4105789
A5LHX3	CHEMBL2364701
A5LHX3	CHEMBL3831201
A5PKW4	CHEMBL4523105
A5X5Y0	CHEMBL4296087
A5YKK6	CHEMBL4105919
A6NCN2	CHEMBL4523107
A6NHL2	CHEMBL3832941
A6NMY6	CHEMBL4295633
A6NMZ7	CHEMBL2364188
A6NNY8	CHEMBL4630801
A6NNZ2	CHEMBL3832942
A7E2Y1	CHEMBL3831286
A7MCY6	CHEMBL4523108
A8K7I4	CHEMBL2364708
A8MPY1	CHEMBL2109242
A8MYU2	CHEMBL4524132
A8TX70	CHEMBL2364188
B2RXH2	CHEMBL1293226
O00115	CHEMBL1250342
O00116	CHEMBL4295643
O00141	CHEMBL2343
O00142	CHEMBL4580
O00144	CHEMBL4523116
O00148	CHEMBL4105795
O00155	CHEMBL4523858
O00165	CHEMBL4295644
O00167	CHEMBL1293275
O00170	CHEMBL4295645
O00182	CHEMBL5474
O00187	CHEMBL4295646
O00204	CHEMBL1743297
O00206	CHEMBL5255
O00214	CHEMBL5475
O00217	CHEMBL2363065
O00220	CHEMBL3551
O00221	CHEMBL3407
O00222	CHEMBL3228
O00231	CHEMBL3831212
O00232	CHEMBL2364701
O00238	CHEMBL5476
O00254	CHEMBL5477
O00255	CHEMBL1615381
O00257	CHEMBL3232685
O00264	CHEMBL4105706
O00270	CHEMBL4523859
O00303	CHEMBL2062352
O00305	CHEMBL2363032
O00311	CHEMBL5443
O00329	CHEMBL3130
O00337	CHEMBL5551
O00338	CHEMBL1743295
O00391	CHEMBL4523117
O00398	CHEMBL3562166
O00400	CHEMBL3638338
O00408	CHEMBL2652
O00410	CHEMBL4295647
O00411	CHEMBL3120041
O00418	CHEMBL5026
O00421	CHEMBL2321627
O00429	CHEMBL4523118
O00443	CHEMBL1075102
O00444	CHEMBL3788
O00459	CHEMBL4437
O00462	CHEMBL3903
O00468	CHEMBL4295648
O00470	CHEMBL4879409
O00481	CHEMBL4105758
O00482	CHEMBL3544
O00483	CHEMBL2317
O00487	CHEMBL2007629
O00505	CHEMBL4523119
O00506	CHEMBL5552
O00512	CHEMBL3712821
O00519	CHEMBL2243
O00555	CHEMBL4266
O00560	CHEMBL4739667
O00562	CHEMBL1764937
O00571	CHEMBL5553
O00574	CHEMBL5994
O00590	CHEMBL4105988
O00591	CHEMBL2093872
O00624	CHEMBL3769300
O00625	CHEMBL2010627
O00626	CHEMBL4295649
O00716	CHEMBL4630726
O00743	CHEMBL4105731
O00746	CHEMBL4488
O00748	CHEMBL3180
O00750	CHEMBL5554
O00754	CHEMBL4059
O00762	CHEMBL4105834
O00763	CHEMBL4829
O00764	CHEMBL1075181
O00767	CHEMBL5555
O14519	CHEMBL5578
O14561	CHEMBL2363065
O14578	CHEMBL5579
O14626	CHEMBL4523860
O14638	CHEMBL5580
O14640	CHEMBL6027
O14641	CHEMBL1255125
O14646	CHEMBL4523123
O14649	CHEMBL2321613
O14672	CHEMBL5028
O14684	CHEMBL5658
O14686	CHEMBL2189114
O14717	CHEMBL4523124
O14727	CHEMBL1795093
O14730	CHEMBL5659
O14733	CHEMBL3530
O14744	CHEMBL1795116
O14745	CHEMBL4523125
O14746	CHEMBL2916
O14757	CHEMBL4630
O14763	CHEMBL1075153
O14764	CHEMBL3591
O14777	CHEMBL5660
O14782	CHEMBL1075196
O14786	CHEMBL5174
O14788	CHEMBL2364162
O14791	CHEMBL4680021
O14793	CHEMBL3407325
O14802	CHEMBL4665582
O14804	CHEMBL3714046
O14815	CHEMBL4523126
O14818	CHEMBL2364701
O14818	CHEMBL3831201
O14842	CHEMBL4422
O14843	CHEMBL5201
O14862	CHEMBL4630802
O14867	CHEMBL4295651
O14874	CHEMBL4879410
O14880	CHEMBL1743186
O14894	CHEMBL4523127
O14920	CHEMBL1991
O14924	CHEMBL1293276
O14929	CHEMBL4523128
O14936	CHEMBL1908381
O14939	CHEMBL2734
O14944	CHEMBL4662939
O14950	CHEMBL4295652
O14965	CHEMBL4722
O14966	CHEMBL3879836
O14967	CHEMBL4295653
O14975	CHEMBL4326
O14976	CHEMBL4355
O14980	CHEMBL5661
O14983	CHEMBL3136
O14986	CHEMBL4802064
O15016	CHEMBL4296267
O15021	CHEMBL2417351
O15027	CHEMBL4295654
O15047	CHEMBL4105954
O15054	CHEMBL1938211
O15055	CHEMBL3751648
O15056	CHEMBL4523129
O15066	CHEMBL6109
O15067	CHEMBL4295655
O15068	CHEMBL4524032
O15075	CHEMBL5683
O15084	CHEMBL4105921
O15085	CHEMBL4523642
O15111	CHEMBL3476
O15118	CHEMBL1293277
O15120	CHEMBL4772
O15121	CHEMBL2021749
O15123	CHEMBL3580489
O15143	CHEMBL4295656
O15144	CHEMBL4295657
O15146	CHEMBL5684
O15151	CHEMBL1255126
O15164	CHEMBL3108638
O15169	CHEMBL1255127
O15197	CHEMBL5836
O15217	CHEMBL4933
O15218	CHEMBL4356
O15226	CHEMBL3163
O15228	CHEMBL4494
O15229	CHEMBL2145
O15230	CHEMBL2364187
O15239	CHEMBL2363065
O15244	CHEMBL1743122
O15245	CHEMBL5685
O15254	CHEMBL4105817
O15264	CHEMBL2939
O15269	CHEMBL1250343
O15270	CHEMBL1250344
O15294	CHEMBL5955
O15296	CHEMBL2457
O15297	CHEMBL1938224
O15303	CHEMBL4573
O15305	CHEMBL1741162
O15354	CHEMBL4523862
O15355	CHEMBL3351199
O15357	CHEMBL2331064
O15379	CHEMBL1829
O15382	CHEMBL3616354
O15392	CHEMBL5989
O15393	CHEMBL1795140
O15399	CHEMBL2591
O15427	CHEMBL2073663
O15438	CHEMBL5918
O15439	CHEMBL1743128
O15440	CHEMBL2046258
O15455	CHEMBL1075113
O15460	CHEMBL5640
O15492	CHEMBL3707469
O15496	CHEMBL4342
O15503	CHEMBL4739841
O15511	CHEMBL4295658
O15519	CHEMBL1955713
O15527	CHEMBL3396944
O15528	CHEMBL5993
