From	To
P28305	CHEMBL1075099
P0ABZ6	CHEMBL4295570
P77173	CHEMBL3954
P0A6D3	CHEMBL5033
P17952	CHEMBL5168
P0A7G6	CHEMBL3434
P00582	CHEMBL4298
P0A6B4	CHEMBL2833
P22939	CHEMBL1075078
P00946	CHEMBL3309019
P52097	CHEMBL3309031
P05804	CHEMBL3217380
P22188	CHEMBL3309032
P15038	CHEMBL4405
P76196	CHEMBL3309035
P0A6L2	CHEMBL4083
P0A6F3	CHEMBL4523174
P00959	CHEMBL3367
P0A879	CHEMBL3885646
P02918	CHEMBL1813
P26281	CHEMBL3217379
P00634	CHEMBL4217
P0A7Y4	CHEMBL1770039
P09391	CHEMBL4296282
P31224	CHEMBL1681614
P0A8F0	CHEMBL2233621
P10384	CHEMBL3309022
P0ACC3	CHEMBL3309017
P45578	CHEMBL3496
P06709	CHEMBL3559644
P0A9J4	CHEMBL4855
P0A6X1	CHEMBL3309013
P08191	CHEMBL4837
P03007	CHEMBL1075047
P07650	CHEMBL3726
P62615	CHEMBL2366480
P07026	CHEMBL4523168
P0AEX9	CHEMBL4295571
P06987	CHEMBL2366452
P08192	CHEMBL3309008
P37747	CHEMBL1075076
P0AGJ9	CHEMBL4295572
P05100	CHEMBL2295563
P10408	CHEMBL4662929
P10378	CHEMBL4856
P00811	CHEMBL2026
P0AF67	CHEMBL3309030
P0A9M5	CHEMBL3988588
P0A6F5	CHEMBL4296299
P24228	CHEMBL2354204
P16926	CHEMBL3309012
P06961	CHEMBL3309020
P0A8V2	CHEMBL1852
P0A722	CHEMBL4879550
P08506	CHEMBL2354204
P0A9J8	CHEMBL3341586
P0A953	CHEMBL4913
P07003	CHEMBL3380
P28307	CHEMBL3309018
P69346	CHEMBL3309007
P0A7E9	CHEMBL4523176
P24171	CHEMBL3259514
P0A6A8	CHEMBL3309006
P07639	CHEMBL3554
P06612	CHEMBL3259513
P0AD65	CHEMBL1840
P0AD65	CHEMBL2354313
P0A988	CHEMBL3562169
P0AE70	CHEMBL1795096
P77488	CHEMBL3217381
P14900	CHEMBL4732
Q6BF16	CHEMBL4296324
P0A9J6	CHEMBL5093
P09372	CHEMBL1293284
P75906	CHEMBL4295582
P0A8T7	CHEMBL2364672
P0A8T7	CHEMBL4296169
P05793	CHEMBL2366462
P20083	CHEMBL3329081
P62617	CHEMBL3217375
P77364	CHEMBL3309014
P0AG20	CHEMBL1163114
P0AD57	CHEMBL3309021
P0A6I3	CHEMBL5092
P0ADG7	CHEMBL3630
P0AD68	CHEMBL2354204
P06988	CHEMBL2366464
P08394	CHEMBL2095232
P0AES6	CHEMBL1826
P61316	CHEMBL3309024
P0A6I6	CHEMBL4523175
P0AC13	CHEMBL2364668
P0AC13	CHEMBL4032
P04825	CHEMBL4325
P0A6W3	CHEMBL3957
P00803	CHEMBL4470
P64602	CHEMBL3309025
P45568	CHEMBL4091
P0AEE8	CHEMBL1075075
P0AGL2	CHEMBL3309027
P60472	CHEMBL4295580
P37340	CHEMBL1681613
P60955	CHEMBL3309026
P38489	CHEMBL1075080
P07363	CHEMBL4295999
P07862	CHEMBL1956
P0A6C1	CHEMBL1293285
P0AEG4	CHEMBL3559645
P17443	CHEMBL3596078
P04036	CHEMBL3309005
P0ACB2	CHEMBL3286083
P06721	CHEMBL1075079
P30014	CHEMBL3879866
P0A884	CHEMBL2555
P0A9P4	CHEMBL3638339
P60932	CHEMBL4295581
P02930	CHEMBL3309023
P76558	CHEMBL1687685
P0A9A6	CHEMBL3999
P08400	CHEMBL4295567
P00956	CHEMBL3657
P41052	CHEMBL2046262
P0A7B5	CHEMBL5169221
P0AFI2	CHEMBL1895
P04993	CHEMBL2095232
P0ACC7	CHEMBL3414415
P0A7M2	CHEMBL2363119
P0A749	CHEMBL1984
P0ABH0	CHEMBL3309010
P0AFZ5	CHEMBL1287594
P60422	CHEMBL2363121
P0AEB2	CHEMBL2354204
P10443	CHEMBL4621
P0ABF8	CHEMBL3309009
P02919	CHEMBL1814
P0A7Z4	CHEMBL2364672
P0A7Z4	CHEMBL4296169
P26616	CHEMBL3286080
P0A800	CHEMBL2364672
P0A800	CHEMBL4296169
P0A707	CHEMBL1075077
P06720	CHEMBL3696
P23874	CHEMBL4524022
P60546	CHEMBL3309016
P21889	CHEMBL4295574
P0A877	CHEMBL3885646
P08373	CHEMBL5526
P05824	CHEMBL4630870
P07648	CHEMBL2095232
P11880	CHEMBL2540
P0A725	CHEMBL5244
P0AB71	CHEMBL4912
P29009	CHEMBL3309033
P0A720	CHEMBL3309028
P0A7T7	CHEMBL2363090
P0A752	CHEMBL3638351
P24173	CHEMBL4295576
P0ABQ4	CHEMBL1809
P0ABQ4	CHEMBL2364669
P16659	CHEMBL5169225
P0AEJ2	CHEMBL1075176
P13738	CHEMBL5478
P0A6R0	CHEMBL4914
P0A7C2	CHEMBL4630871
P0A6G7	CHEMBL3341578
P00722	CHEMBL4603
P26647	CHEMBL3309004
P0AC30	CHEMBL3309011
P0AE18	CHEMBL3423
P69913	CHEMBL5169227
P0AB98	CHEMBL1075074
P0A955	CHEMBL4296292
P0AEK4	CHEMBL1857
P0AEK4	CHEMBL2364678
P69228	CHEMBL3309029
P0AEY8	CHEMBL4785
P0A9C5	CHEMBL3789
P05194	CHEMBL4709
P0A8L1	CHEMBL4295569
P07813	CHEMBL4295566
P07813	CHEMBL4662935
P0AES4	CHEMBL1858
P76164	CHEMBL3309034
P05523	CHEMBL4523167
