From	To
P16390	CHEMBL4818
P54071	CHEMBL2176829
Q6NZM9	CHEMBL3832944
Q9Z1T6	CHEMBL2176842
Q923I7	CHEMBL1075302
Q03059	CHEMBL5900
P18653	CHEMBL3309057
P55772	CHEMBL4739681
A2AJ88	CHEMBL3259499
P97449	CHEMBL2189140
Q9ERQ8	CHEMBL2216
Q5GIG6	CHEMBL4879467
Q64729	CHEMBL2021750
P28028	CHEMBL2331061
P28843	CHEMBL3883
Q3UJB9	CHEMBL4879464
O88703	CHEMBL1250408
P63017	CHEMBL5169139
A2AIR5	CHEMBL3832634
P50294	CHEMBL5723
O08537	CHEMBL2995
Q80W54	CHEMBL1075286
O08663	CHEMBL1075272
P70453	CHEMBL2040702
O35493	CHEMBL1075283
P70313	CHEMBL2643
P60766	CHEMBL4523257
Q01338	CHEMBL4075
P23979	CHEMBL4972
Q8VDS3	CHEMBL3826868
Q9QUQ5	CHEMBL1741219
P30306	CHEMBL2723
Q9JHF7	CHEMBL3309049
Q8R104	CHEMBL5169177
P56528	CHEMBL3425388
P35343	CHEMBL4105830
Q99246	CHEMBL3988632
Q61143	CHEMBL1795081
O88895	CHEMBL5142
Q00651	CHEMBL2111481
Q9Z306	CHEMBL2073694
Q8VCH6	CHEMBL3774292
P35347	CHEMBL2446
O35379	CHEMBL2532
O70342	CHEMBL3802
P20444	CHEMBL2567
Q9JLN9	CHEMBL1255165
O88909	CHEMBL2073672
Q8BGW1	CHEMBL3611964
Q9QYS2	CHEMBL3824
P20782	CHEMBL3091265
O88855	CHEMBL2657
Q91VE3	CHEMBL4295910
P97718	CHEMBL2822
Q9JLF1	CHEMBL2094133
Q64505	CHEMBL2212
P15208	CHEMBL3187
Q02248	CHEMBL4105846
P70677	CHEMBL5632
P28563	CHEMBL5623
Q8CIP4	CHEMBL4523387
Q9EQ28	CHEMBL4879511
P05202	CHEMBL3647
O35099	CHEMBL4879411
O08580	CHEMBL1914280
P35383	CHEMBL1075298
P15945	CHEMBL5169118
Q8VI47	CHEMBL2073681
P11157	CHEMBL3527
P19221	CHEMBL1075308
P61168	CHEMBL3427
P16277	CHEMBL3343
Q9QZC1	CHEMBL4739706
Q925H0	CHEMBL3232695
Q3TBT3	CHEMBL4523311
O35678	CHEMBL5774
O09106	CHEMBL4001
Q62165	CHEMBL3739252
Q9R0P3	CHEMBL3259483
Q9QY96	CHEMBL4105868
Q8K2Z4	CHEMBL4879496
P48281	CHEMBL5601
P21803	CHEMBL3648
O35164	CHEMBL2132
Q8BSK8	CHEMBL5429
P99024	CHEMBL4739682
P50637	CHEMBL2149
Q60614	CHEMBL2237
Q6R3M4	CHEMBL5159
Q91X44	CHEMBL3232700
Q9ESU6	CHEMBL3085619
Q9ERZ3	CHEMBL5105
P70385	CHEMBL1932905
Q9JJJ7	CHEMBL1255164
Q8K2J0	CHEMBL4879495
Q8K0C4	CHEMBL3774294
Q3TX08	CHEMBL4879462
P46935	CHEMBL4879438
Q5SWU9	CHEMBL3086
O55242	CHEMBL3465
O88665	CHEMBL3822348
Q8CDB0	CHEMBL4523384
Q63844	CHEMBL5510
P54754	CHEMBL4739678
P30355	CHEMBL3414408
P30935	CHEMBL2238
P30545	CHEMBL2405
P24823	CHEMBL3112374
Q9WVG6	CHEMBL5538
Q05144	CHEMBL4523277
O55091	CHEMBL4879415
P48302	CHEMBL1681617
Q9ER60	CHEMBL3616353
Q9Z2A7	CHEMBL1075284
P34152	CHEMBL1075288
P16951	CHEMBL2176797
P48026	CHEMBL4775
Q9Z0Y9	CHEMBL2189152
P35428	CHEMBL1075292
Q9R1P3	CHEMBL3112378
Q9WUT3	CHEMBL3351220
Q9WVS8	CHEMBL5169206
P11214	CHEMBL3259492
Q68ED2	CHEMBL3966
Q9WUZ9	CHEMBL4523501
O70423	CHEMBL4727
Q03147	CHEMBL2176816
Q6P3E7	CHEMBL3832944
Q99MK8	CHEMBL3711486
P48346	CHEMBL4879439
O35625	CHEMBL4295996
P70180	CHEMBL4711
Q60680	CHEMBL5380
Q9Z127	CHEMBL4523516
P00375	CHEMBL4564
Q9WTK2	CHEMBL4523497
Q9JM51	CHEMBL2046261
Q0P543	CHEMBL4879457
P00493	CHEMBL3243916
Q8BH98	CHEMBL1255152
Q9Z183	CHEMBL3407322
Q60805	CHEMBL4879469
O70507	CHEMBL4523149
D3Z7P3	CHEMBL4523110
Q08460	CHEMBL2800
Q03137	CHEMBL1293259
P11103	CHEMBL3740
P40935	CHEMBL4874
P42866	CHEMBL2858
P21447	CHEMBL2573
Q9Z2J6	CHEMBL2291
P32304	CHEMBL4764
Q8R519	CHEMBL4523405
P10649	CHEMBL3722
Q5DTT2	CHEMBL4523322
O08788	CHEMBL2176787
P47199	CHEMBL4332
Q03145	CHEMBL4105859
O70551	CHEMBL4105750
Q60857	CHEMBL4642
Q91X60	CHEMBL3350222
Q9WTL7	CHEMBL3259480
Q8BLA8	CHEMBL1075310
Q8C129	CHEMBL4105715
O89091	CHEMBL4523155
Q64464	CHEMBL3637781
Q61391	CHEMBL2642
Q8BWM0	CHEMBL4879487
Q9QXG4	CHEMBL2924
Q61009	CHEMBL1741203
P48776	CHEMBL1075307
P05555	CHEMBL3603
Q8BVF2	CHEMBL4879486
P33609	CHEMBL2797
Q9ESL4	CHEMBL4523452
P23204	CHEMBL2128
P62331	CHEMBL1075274
P97813	CHEMBL3309055
O88559	CHEMBL3124739
Q61687	CHEMBL4879474
P28063	CHEMBL1944492
Q64378	CHEMBL3792270
Q9Z0U1	CHEMBL4879525
Q4JIM5	CHEMBL5222
Q9EQQ9	CHEMBL4523449
Q61206	CHEMBL3259481
P56677	CHEMBL3745587
Q9CYK2	CHEMBL4105900
P14152	CHEMBL2176827
Q61851	CHEMBL4066
Q99MT6	CHEMBL4739861
P02340	CHEMBL4164
Q99PG0	CHEMBL3509583
Q61937	CHEMBL5386
P37238	CHEMBL2459
P51576	CHEMBL5496
Q52KI8	CHEMBL4879466
P56389	CHEMBL2110
O54833	CHEMBL5326
Q00342	CHEMBL2034796
P58735	CHEMBL2176770
O88472	CHEMBL1250345
Q80SS6	CHEMBL1255150
Q9JIP7	CHEMBL2073714
Q64737	CHEMBL3690
P57791	CHEMBL1075287
Q8VC69	CHEMBL5653
Q80UX8	CHEMBL3259493
P06797	CHEMBL5291
P62509	CHEMBL3585238
Q60631	CHEMBL4830
Q6QIY3	CHEMBL5158
P55288	CHEMBL2163173
Q64337	CHEMBL4879477
O08786	CHEMBL2798
O09131	CHEMBL4523122
Q60692	CHEMBL1944493
O70421	CHEMBL4879419
P41216	CHEMBL4680026
P29477	CHEMBL3464
P43432	CHEMBL2176814
P33033	CHEMBL4774
Q61503	CHEMBL4680034
Q8BUD0	CHEMBL4105764
Q62151	CHEMBL2189161
Q9QUL3	CHEMBL4201
Q3U3Q1	CHEMBL3832
Q8C078	CHEMBL4295888
O35627	CHEMBL3069
Q8BFU7	CHEMBL3562168
P00860	CHEMBL2840
Q6R6I7	CHEMBL3714701
Q9D379	CHEMBL1075293
Q01237	CHEMBL2764
P30875	CHEMBL3207
P42227	CHEMBL5402
P47713	CHEMBL2907
Q04998	CHEMBL3588734
Q9EQY0	CHEMBL4523450
P59328	CHEMBL4879444
Q91ZY2	CHEMBL5657
Q62188	CHEMBL4879475
P16388	CHEMBL2429705
P34927	CHEMBL5066
Q921V5	CHEMBL2375203
Q3U507	CHEMBL3813587
Q62190	CHEMBL1795170
O88693	CHEMBL6013
Q02242	CHEMBL4630756
P42582	CHEMBL4105872
O08858	CHEMBL2733
O88319	CHEMBL3570
P51448	CHEMBL3217403
P16675	CHEMBL3259490
O70628	CHEMBL5169102
Q8VCA0	CHEMBL2073675
Q8BFQ3	CHEMBL4523380
P63166	CHEMBL4879447
Q76JU9	CHEMBL5411
P04184	CHEMBL2618
O88634	CHEMBL4879420
Q8CI15	CHEMBL2401605
P97292	CHEMBL2245
Q60825	CHEMBL4295855
Q6ZWX6	CHEMBL1770036
P55097	CHEMBL1075277
Q9WTU3	CHEMBL1914275
P33435	CHEMBL3638350
Q9Z2V6	CHEMBL2768
P97801	CHEMBL4879450
Q7TMR0	CHEMBL1255149
P19785	CHEMBL3065
P27681	CHEMBL2094133
Q9JMH7	CHEMBL4106181
Q9JMH7	CHEMBL4296071
P48999	CHEMBL5211
Q62432	CHEMBL4523335
Q9Z1Q2	CHEMBL5184
P0DP26	CHEMBL3562176
Q9ESG6	CHEMBL1770046
Q01727	CHEMBL4077
P30549	CHEMBL2813
O35344	CHEMBL4879412
Q9JIM1	CHEMBL1287611
P31938	CHEMBL5860
O08605	CHEMBL4523120
Q8K4B4	CHEMBL4523394
Q5DTY9	CHEMBL4523323
O55137	CHEMBL3259489
P97295	CHEMBL4739850
O55017	CHEMBL3637936
P26262	CHEMBL1250359
P00184	CHEMBL6171
P35235	CHEMBL2620
P23804	CHEMBL3600279
Q06806	CHEMBL2034800
Q02858	CHEMBL5199
Q9JIA7	CHEMBL1075305
P10749	CHEMBL5069361
Q61239	CHEMBL2096912
Q61239	CHEMBL3301421
P29758	CHEMBL1075297
Q99L45	CHEMBL4879504
O35955	CHEMBL4523133
Q03146	CHEMBL4523274
P10637	CHEMBL4296281
P62812	CHEMBL3139
Q9JHJ5	CHEMBL3781
Q8R4D5	CHEMBL3108632
Q6PDH0	CHEMBL4879480
Q61024	CHEMBL3243906
Q8K3Z0	CHEMBL5169176
Q62386	CHEMBL4879476
Q64373	CHEMBL3309112
O35659	CHEMBL1075290
P33534	CHEMBL4329
Q91VC3	CHEMBL3751651
O35454	CHEMBL2176794
P15209	CHEMBL4523190
O70174	CHEMBL4457
P04186	CHEMBL4630808
P21729	CHEMBL3596
P13504	CHEMBL2189148
Q924H0	CHEMBL4523416
Q9R1E6	CHEMBL3826871
P14142	CHEMBL1250410
Q9Z139	CHEMBL2176781
Q61096	CHEMBL5384
P39053	CHEMBL4523222
P29452	CHEMBL4800
P58801	CHEMBL4296021
Q8R180	CHEMBL4105849
P16125	CHEMBL5169119
Q61672	CHEMBL1287612
Q02152	CHEMBL2583
P28776	CHEMBL1075294
P15388	CHEMBL4105978
Q6PE15	CHEMBL2146294
P24063	CHEMBL1075188
Q04750	CHEMBL2814
Q61241	CHEMBL3804750
Q91VJ1	CHEMBL4295911
P53690	CHEMBL4295783
Q8BLF1	CHEMBL5428
E2JF22	CHEMBL5169095
P60843	CHEMBL3309046
O55106	CHEMBL4879416
O08749	CHEMBL2176826
Q6PHN9	CHEMBL4523349
P58682	CHEMBL2146339
P52332	CHEMBL2968
Q8VBX6	CHEMBL2176783
P12265	CHEMBL4523185
Q8CIG3	CHEMBL4879491
Q9JMH9	CHEMBL4879522
Q9WUL5	CHEMBL4523499
Q9ERG0	CHEMBL4879513
P29754	CHEMBL5741
Q9JJV9	CHEMBL4630764
Q61595	CHEMBL4879473
Q8BJ37	CHEMBL4523381
A2AMW3	CHEMBL2094133
Q99LR1	CHEMBL5972
P07141	CHEMBL3638330
P51680	CHEMBL5410
P50247	CHEMBL2389
Q9QXD6	CHEMBL5360
Q91ZP4	CHEMBL3309104
Q9EQC5	CHEMBL3721301
Q9WV60	CHEMBL1075321
Q3UN04	CHEMBL4680032
Q64669	CHEMBL5611
Q8R429	CHEMBL4523404
P07309	CHEMBL5169111
Q8C165	CHEMBL4295889
Q9JKL1	CHEMBL1949486
Q9R0Y8	CHEMBL2094133
O70309	CHEMBL4523628
P05622	CHEMBL2749
Q7TMS5	CHEMBL2073705
P09242	CHEMBL2660
Q9EP89	CHEMBL3259498
Q61831	CHEMBL3885603
Q61831	CHEMBL4888451
O08967	CHEMBL3763004
Q8BGY9	CHEMBL3013
Q9D7Q1	CHEMBL4105845
Q8K093	CHEMBL3600275
P51436	CHEMBL2574
P13516	CHEMBL5353
P23298	CHEMBL4992
Q9WTU6	CHEMBL2034797
P15379	CHEMBL3232693
P43406	CHEMBL3430891
P43406	CHEMBL4523628
Q61327	CHEMBL2799
O54915	CHEMBL1743244
Q6WVG3	CHEMBL4523353
Q76MZ3	CHEMBL3557
Q3UUQ7	CHEMBL3259507
P63080	CHEMBL4296058
Q91V92	CHEMBL3264
Q9D6N1	CHEMBL2186
Q62205	CHEMBL3414411
Q9ERZ4	CHEMBL3197
P35918	CHEMBL3337
P70343	CHEMBL1075276
O88554	CHEMBL2794
P47791	CHEMBL2366476
O35744	CHEMBL1795141
P20918	CHEMBL1075299
Q8R4B8	CHEMBL3779755
Q9EQH2	CHEMBL3414412
P23336	CHEMBL2479
P22437	CHEMBL2649
Q8R493	CHEMBL3301382
Q8R493	CHEMBL3885609
P28704	CHEMBL4047
P49290	CHEMBL4295770
Q80XI6	CHEMBL2434817
Q07440	CHEMBL1293239
B2RXC2	CHEMBL3714704
Q704Y3	CHEMBL1781864
Q6A065	CHEMBL4879479
Q9D658	CHEMBL4523445
P30966	CHEMBL3597
Q02844	CHEMBL4749
P56450	CHEMBL3719
P23780	CHEMBL1667667
O88566	CHEMBL1255128
P26049	CHEMBL2094133
Q9Z1E3	CHEMBL1926493
Q02853	CHEMBL3412
Q9ES07	CHEMBL2073678
P31650	CHEMBL3699
P28076	CHEMBL1944491
P05480	CHEMBL3074
