From	To
I6X8D2	CHEMBL4105939
P9WHH1	CHEMBL2390811
P9WI73	CHEMBL6070
P9WH75	CHEMBL2346487
P9WI83	CHEMBL4295585
P9WHH3	CHEMBL1075170
P9WMC1	CHEMBL1772929
P9WPV7	CHEMBL2364166
P9WMR3	CHEMBL1741192
P9WPP9	CHEMBL5090
P9WP55	CHEMBL2321612
P9WNV1	CHEMBL2259249
P9WPP1	CHEMBL5629
P9WPJ7	CHEMBL5631
P9WMW7	CHEMBL1921665
O53581	CHEMBL4523141
P9WKI7	CHEMBL4295586
P9WN95	CHEMBL4213
P9WQG9	CHEMBL3708053
P9WQA9	CHEMBL2031
P9WGU9	CHEMBL5169230
P9WP37	CHEMBL4295794
O06832	CHEMBL4105710
P9WHJ3	CHEMBL1741171
O53585	CHEMBL1075096
O53488	CHEMBL4105938
P9WHE9	CHEMBL1075177
P9WQD9	CHEMBL4544
P9WFV1	CHEMBL4105844
P9WQ59	CHEMBL5766
P9WHQ9	CHEMBL4295584
O53645	CHEMBL3879861
P9WQA3	CHEMBL1287620
P9WI55	CHEMBL3137292
P9WQP7	CHEMBL1744528
P9WHV7	CHEMBL6176
P9WG47	CHEMBL4165
P9WI75	CHEMBL2016432
P9WQN9	CHEMBL4624
P9WQ77	CHEMBL2259247
P9WNG3	CHEMBL3640
P9WNX1	CHEMBL6065
P9WFR9	CHEMBL1795162
P9WPC9	CHEMBL4630874
P9WPV3	CHEMBL2364166
P9WIB9	CHEMBL6066
P9WGY9	CHEMBL2006
P9WG45	CHEMBL3430898
P9WQ17	CHEMBL3112377
I6YFP0	CHEMBL3611962
P9WQ51	CHEMBL5182
Q50681	CHEMBL4105753
P9WNL9	CHEMBL1877
P9WNZ1	CHEMBL4662928
P9WPP7	CHEMBL1681615
P95160	CHEMBL5169228
P9WIC1	CHEMBL2069157
P96935	CHEMBL4105979
P9WQD7	CHEMBL4543
P9WPW9	CHEMBL4295588
P9WKK7	CHEMBL1667699
O53580	CHEMBL4295665
P9WG57	CHEMBL1795161
P9WP15	CHEMBL5663
P9WIQ1	CHEMBL4450
P9WJN1	CHEMBL3703
P9WMN1	CHEMBL6086
P9WPC3	CHEMBL4662931
P9WJN3	CHEMBL6067
P9WIS7	CHEMBL3988584
P9WIA1	CHEMBL4542
P9WK85	CHEMBL4105823
P9WPX7	CHEMBL3345
P9WJM9	CHEMBL1744527
P9WP01	CHEMBL1169594
P9WQ81	CHEMBL2146299
P9WNU7	CHEMBL5169231
P9WPJ9	CHEMBL6068
P9WKD7	CHEMBL1770044
P9WKE1	CHEMBL2361
P9WPU5	CHEMBL2364166
P9WIL5	CHEMBL6069
O07427	CHEMBL2176861
P9WPC5	CHEMBL4662931
P9WNP5	CHEMBL1275214
P9WPN5	CHEMBL5357
P95200	CHEMBL5169229
P9WH11	CHEMBL3883301
P9WI81	CHEMBL1908385
P9WPU9	CHEMBL2364166
P9WKG5	CHEMBL3217377
P9WFT3	CHEMBL4662922
P9WIP3	CHEMBL4879548
O53551	CHEMBL5783
P9WPU7	CHEMBL2364166
P9WMN3	CHEMBL1293297
P9WP25	CHEMBL6063
P9WFK7	CHEMBL3879870
P9WH09	CHEMBL1938225
P9WFW3	CHEMBL4662921
P9WPS1	CHEMBL2364166
P71716	CHEMBL5662
P9WPQ5	CHEMBL4105930
P9WFY7	CHEMBL4523933
P9WGR1	CHEMBL1849
P71668	CHEMBL4105752
P9WJF1	CHEMBL3804751
P9WNS1	CHEMBL5630
P9WHH9	CHEMBL3988585
P9WID5	CHEMBL4523271
P9WPV1	CHEMBL2364166
P9WMF9	CHEMBL6064
P9WNS3	CHEMBL5091
P9WP31	CHEMBL2030
P9WIJ3	CHEMBL5765
P95125	CHEMBL4105751
P96878	CHEMBL5767
P9WPV5	CHEMBL2364166
