From	To
Q7YTF7	CHEMBL4105739
Q8ILP4	CHEMBL4295621
A0A144A6N0	CHEMBL4295620
Q8ILG2	CHEMBL5169236
Q8I2S7	CHEMBL2424511
Q8IIL0	CHEMBL1250373
Q8IM71	CHEMBL4295891
A0A143ZVU1	CHEMBL4547
Q8IAS0	CHEMBL4523390
Q8IB67	CHEMBL4295890
A0A144A366	CHEMBL2169722
Q8IM16	CHEMBL1741262
Q8I701	CHEMBL3301469
A0A144A2T4	CHEMBL4295619
Q8IL32	CHEMBL1795086
Q8I6Z5	CHEMBL3559649
Q8I1R6	CHEMBL4296323
Q8IDJ8	CHEMBL3301561
A0A144A2G5	CHEMBL1250372
Q8IL11	CHEMBL1293313
Q8IJR9	CHEMBL4523484
Q8I5C5	CHEMBL2176864
P61075	CHEMBL1908388
Q7KQK5	CHEMBL3559647
A0A144A0G8	CHEMBL3301560
A0A143ZWW4	CHEMBL1908387
P50250	CHEMBL6076
A0A144A1J6	CHEMBL1697656
P61076	CHEMBL4547
Q76NL8	CHEMBL4295876
Q8I4S1	CHEMBL2176852
Q8IL88	CHEMBL1795092
O77344	CHEMBL1781857
Q8I2J3	CHEMBL1293263
A0A144A308	CHEMBL4523391
Q8I6V0	CHEMBL1250371
Q8IEK1	CHEMBL4117
C6S3F7	CHEMBL4523391
Q8II92	CHEMBL4222
Q8I0V1	CHEMBL1250369
Q7K6A1	CHEMBL1293190
Q8I384	CHEMBL1795149
A0A144A3W0	CHEMBL5061
Q8I1Y2	CHEMBL1250370
Q8IBS5	CHEMBL2169725
A0A144A323	CHEMBL5061
A0A144A6G1	CHEMBL4105720
Q08210	CHEMBL3588732
Q8IDW1	CHEMBL4105812
Q8I3X4	CHEMBL4523389
