From	To
Q9HX69	CHEMBL2396510
P52002	CHEMBL4523990
P25084	CHEMBL1075207
P13794	CHEMBL4523189
Q9I7C2	CHEMBL3390828
P33883	CHEMBL1795157
Q9ZFE4	CHEMBL3308935
Q9HUJ8	CHEMBL3390827
Q9HWR2	CHEMBL1075212
Q9HUK1	CHEMBL3390827
Q9HXY2	CHEMBL4523935
P26993	CHEMBL1075205
Q9HXM5	CHEMBL4523953
Q9HVB9	CHEMBL3596083
P54292	CHEMBL3112386
Q59643	CHEMBL3286086
Q9I4X3	CHEMBL4295626
Q9I5U2	CHEMBL3879863
P52477	CHEMBL4523990
Q9HYN5	CHEMBL4523938
P14756	CHEMBL1075146
Q9HUY3	CHEMBL5795
Q9I194	CHEMBL1741161
Q05097	CHEMBL3351196
P51691	CHEMBL5816
Q9HVW7	CHEMBL1075208
Q9HZK0	CHEMBL1667674
Q9I5U5	CHEMBL5169241
Q9HWC1	CHEMBL4295625
Q51559	CHEMBL1795159
Q9HZK1	CHEMBL3988593
Q07806	CHEMBL3259512
Q51487	CHEMBL4523990
Q51487	CHEMBL4523991
P24735	CHEMBL5031
P47204	CHEMBL1075206
Q9HXQ1	CHEMBL4523932
Q9I056	CHEMBL5040
Q9HTC0	CHEMBL2390815
P48372	CHEMBL3390828
Q9I7A8	CHEMBL1649054
P47205	CHEMBL3855
P14789	CHEMBL5169224
Q9HWG3	CHEMBL3308937
Q9HUN3	CHEMBL4511
P37798	CHEMBL4523221
P42512	CHEMBL3097981
