From	To
P19686	CHEMBL4105800
Q01177	CHEMBL3204
O54912	CHEMBL4294
P15709	CHEMBL3007
Q63108	CHEMBL2771
O89039	CHEMBL4739671
Q924C3	CHEMBL4295913
P05370	CHEMBL5169110
P27867	CHEMBL4038
Q9WUL0	CHEMBL1075164
Q9R168	CHEMBL1075241
P70579	CHEMBL2718
P08289	CHEMBL2729
P97584	CHEMBL4166
O88420	CHEMBL2752
P31423	CHEMBL2787
P35234	CHEMBL2429710
Q64666	CHEMBL1075242
P20420	CHEMBL4106146
P04762	CHEMBL1075216
Q4KLH9	CHEMBL4105950
Q8R455	CHEMBL5011
P09812	CHEMBL4105822
P23576	CHEMBL341
P11275	CHEMBL2359
P18901	CHEMBL265
P24062	CHEMBL1075098
P30680	CHEMBL2978
P17988	CHEMBL4886
Q63664	CHEMBL4524131
P97697	CHEMBL1293238
P25099	CHEMBL318
Q63633	CHEMBL1075108
P22443	CHEMBL3859
O54939	CHEMBL1075158
P06686	CHEMBL3885640
P06686	CHEMBL4106148
O88275	CHEMBL4797
Q9JLY8	CHEMBL5499
P31596	CHEMBL2900
P70604	CHEMBL2547
Q63881	CHEMBL1075227
Q6P6R0	CHEMBL4129
P08413	CHEMBL2610
P19643	CHEMBL2993
Q9WTQ0	CHEMBL2094266
Q9QWJ9	CHEMBL3309098
P70531	CHEMBL3325307
P08010	CHEMBL2504
Q63634	CHEMBL2548
P08483	CHEMBL320
P23977	CHEMBL338
O88943	CHEMBL5530
P06762	CHEMBL5035
P18090	CHEMBL3252
P47196	CHEMBL1075215
O35956	CHEMBL1777665
P51657	CHEMBL1914267
A6QR73	CHEMBL3091267
P97689	CHEMBL3739247
O09175	CHEMBL2452
O88269	CHEMBL2073712
O88944	CHEMBL5531
P36633	CHEMBL4648
Q9WUD9	CHEMBL3014
P48032	CHEMBL3881
Q63495	CHEMBL2176847
P24008	CHEMBL3422
P18266	CHEMBL3669
Q5RLM2	CHEMBL2073671
O35952	CHEMBL2262
P32215	CHEMBL1075233
Q6P6U0	CHEMBL4362
Q91ZY1	CHEMBL4468
P04276	CHEMBL2163
P04775	CHEMBL3399
Q02644	CHEMBL3709
P46002	CHEMBL4127
P19492	CHEMBL3504
P30191	CHEMBL293
O55193	CHEMBL1293204
P43114	CHEMBL4086
O70436	CHEMBL3784912
B5DFE2	CHEMBL4739840
Q63273	CHEMBL4041
P30994	CHEMBL323
P27008	CHEMBL4664
Q923X8	CHEMBL2176813
O70127	CHEMBL2073674
P22734	CHEMBL2372
P35465	CHEMBL3580528
P56719	CHEMBL1275216
P50554	CHEMBL3148
P42346	CHEMBL1075134
Q9JJ09	CHEMBL5169199
Q4FZY2	CHEMBL3621029
Q8R431	CHEMBL3321
P09810	CHEMBL4809
G3V926	CHEMBL4524001
Q63472	CHEMBL4295858
Q9QYM2	CHEMBL3317337
P22086	CHEMBL314
Q6P7A9	CHEMBL3513
Q9ES08	CHEMBL4295
P05182	CHEMBL5978
O35078	CHEMBL5756
P04757	CHEMBL1907587
P04757	CHEMBL1907593
P04757	CHEMBL3137275
P04757	CHEMBL3137276
P04757	CHEMBL4106146
P43143	CHEMBL4747
Q63272	CHEMBL4295857
P30551	CHEMBL2871
P28646	CHEMBL4652
Q63371	CHEMBL3543
O35186	CHEMBL3034
Q6MGC4	CHEMBL2096
Q712U5	CHEMBL2170
P28572	CHEMBL4556
Q9WUD2	CHEMBL2863
D3ZAC0	CHEMBL4296069
P02764	CHEMBL3709434
P31421	CHEMBL2851
Q920B6	CHEMBL3817718
Q920L2	CHEMBL4523415
P24942	CHEMBL4190
Q8VBX1	CHEMBL3638354
P17105	CHEMBL3261
P20236	CHEMBL328
Q63118	CHEMBL4755
P31210	CHEMBL5760
Q63088	CHEMBL3308940
Q63008	CHEMBL2331047
A5H2Z9	CHEMBL4105914
Q62688	CHEMBL3364
Q920P6	CHEMBL4630846
Q6P762	CHEMBL3448
P20272	CHEMBL3571
P52020	CHEMBL4241
P31424	CHEMBL2564
P97629	CHEMBL3712
Q01579	CHEMBL2423
Q02974	CHEMBL4105923
Q920R3	CHEMBL5727
Q9ERZ8	CHEMBL2775
O54968	CHEMBL1075141
O35240	CHEMBL5757
P54283	CHEMBL3885653
P54283	CHEMBL3988639
P27881	CHEMBL5063
P06757	CHEMBL4862
P35355	CHEMBL2977
P37285	CHEMBL2176819
P11167	CHEMBL5214
Q5M7T7	CHEMBL4105901
P46953	CHEMBL3108658
Q62633	CHEMBL2073686
P14423	CHEMBL3686
O08878	CHEMBL3309103
P05708	CHEMBL4783
P09626	CHEMBL2095199
P12389	CHEMBL2584
P04176	CHEMBL3077
A0A0G2K344	CHEMBL5169092
P15389	CHEMBL3866
Q62674	CHEMBL1287615
