From	To
P17157	CHEMBL5589
P07807	CHEMBL2576
P17442	CHEMBL1250353
P23724	CHEMBL4904
Q01662	CHEMBL2526
P43568	CHEMBL5003
P29704	CHEMBL3271930
P07342	CHEMBL1075095
P38604	CHEMBL5355
P25376	CHEMBL1741178
P10591	CHEMBL5186
P00830	CHEMBL1075103
Q08649	CHEMBL3832954
P48016	CHEMBL2366477
P06786	CHEMBL5290
P06700	CHEMBL3275
P87108	CHEMBL1741194
Q03330	CHEMBL4669
P39073	CHEMBL5395
P30822	CHEMBL4630873
P19145	CHEMBL3308953
P22007	CHEMBL2111393
P47154	CHEMBL1741185
P53341	CHEMBL2932
P53051	CHEMBL5848
P20052	CHEMBL2111355
P20052	CHEMBL2111410
Q03530	CHEMBL1250413
P04786	CHEMBL5948
P29465	CHEMBL5597
P25043	CHEMBL4295577
P53615	CHEMBL5931
P0CX82	CHEMBL1741172
P26637	CHEMBL1075253
P32485	CHEMBL4296003
P05453	CHEMBL3308902
P00163	CHEMBL4296317
P15108	CHEMBL4199
P12709	CHEMBL1075250
P14904	CHEMBL1741175
P53323	CHEMBL4515
Q07794	CHEMBL3414417
P36107	CHEMBL1641344
P32476	CHEMBL1888
P33302	CHEMBL1697658
P08004	CHEMBL3827
P32657	CHEMBL4662924
P02829	CHEMBL3536
P28272	CHEMBL5621
P00546	CHEMBL5213
P38169	CHEMBL3627588
P40347	CHEMBL5397
Q07953	CHEMBL1741198
P11412	CHEMBL1075249
P40989	CHEMBL3134
P29703	CHEMBL2406
P37298	CHEMBL3308955
P53686	CHEMBL5933
P50107	CHEMBL6057
P38260	CHEMBL6102
P14743	CHEMBL5484
P38889	CHEMBL2146314
P29952	CHEMBL3308954
Q12051	CHEMBL1075251
P46943	CHEMBL1250406
P29029	CHEMBL1293195
P22141	CHEMBL4206
P32352	CHEMBL3224
P38624	CHEMBL4295578
P00560	CHEMBL2674
P06787	CHEMBL1667687
P03962	CHEMBL4858
P07267	CHEMBL4451
P16140	CHEMBL6106
P40495	CHEMBL1075252
P32523	CHEMBL5058
P32842	CHEMBL1795084
P41948	CHEMBL1741183
P32897	CHEMBL1741180
P40963	CHEMBL3832953
P32584	CHEMBL4385
P25044	CHEMBL4452
P30656	CHEMBL4659
P23291	CHEMBL3497
P08019	CHEMBL1075248
P41921	CHEMBL4119
P08679	CHEMBL1741170
P06242	CHEMBL5370
P00729	CHEMBL4295562
