From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
Q9PI55	Q9PI55	reviewed	THIC_CAMJE	Phosphomethylpyrimidine synthase (EC 4.1.99.17) (Hydroxymethylpyrimidine phosphate synthase) (HMP-P synthase) (HMP-phosphate synthase) (HMPP synthase) (Thiamine biosynthesis protein ThiC)	thiC Cj0453	Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168)	430	4 iron, 4 sulfur cluster binding [GO:0051539]; carbon-carbon lyase activity [GO:0016830]; zinc ion binding [GO:0008270]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]
Q0P8U4	Q0P8U4	reviewed	PSEH_CAMJE	Acetyltransferase PseH (EC 2.3.1.-) (Pseudaminic acid biosynthesis protein H)	pseH Cj1313	Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168)	157	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]
Q0PAV4	Q0PAV4	unreviewed	Q0PAV4_CAMJE	Replicative DNA helicase (EC 3.6.4.12)	dnaB Cj0562	Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168)	458	primosome complex [GO:1990077]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; DNA replication, synthesis of RNA primer [GO:0006269]
Q03470	Q03470	reviewed	GYRA_CAMJE	DNA gyrase subunit A (EC 5.6.2.2)	gyrA Cj1027c	Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168)	863	chromosome [GO:0005694]; cytoplasm [GO:0005737]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA negative supercoiling activity [GO:0034335]; DNA topological change [GO:0006265]; DNA-templated DNA replication [GO:0006261]; response to antibiotic [GO:0046677]
Q9PIB3	Q9PIB3	reviewed	SYS_CAMJE	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	serS Cj0389	Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168)	411	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; serine-tRNA ligase activity [GO:0004828]; selenocysteine biosynthetic process [GO:0016260]; seryl-tRNA aminoacylation [GO:0006434]
Q0PA25	Q0PA25	reviewed	DSBI_CAMJE	Putative protein-disulfide oxidoreductase DsbI	dsbI Cj0865	Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168)	266	plasma membrane [GO:0005886]; protein-disulfide reductase activity [GO:0015035]; protein folding [GO:0006457]
Q0P9U9	Q0P9U9	unreviewed	Q0P9U9_CAMJE	Lipoprotein	Cj0950c	Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168)	144	
Q0P9G8	Q0P9G8	unreviewed	Q0P9G8_CAMJE	Polymer-forming cytoskeletal protein	Cj1086c	Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168)	131	
Q0P7Y3	Q0P7Y3	unreviewed	Q0P7Y3_CAMJE	Transketolase (EC 2.2.1.1)	tkt Cj1645	Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168)	632	metal ion binding [GO:0046872]; transketolase activity [GO:0004802]
Q0PAY2	Q0PAY2	unreviewed	Q0PAY2_CAMJE	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	sucD Cj0534	Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168)	289	nucleotide binding [GO:0000166]; succinate-CoA ligase (ADP-forming) activity [GO:0004775]; succinate-CoA ligase (GDP-forming) activity [GO:0004776]; tricarboxylic acid cycle [GO:0006099]
