From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
A0A5K4F974	A0A5K4F974	unreviewed	A0A5K4F974_SCHMA	Uncharacterized protein		Schistosoma mansoni (Blood fluke)	62	
C4QQL6	C4QQL6	unreviewed	C4QQL6_SCHMA	Uncharacterized protein		Schistosoma mansoni (Blood fluke)	74	
A0A5K4ESM1	A0A5K4ESM1	unreviewed	A0A5K4ESM1_SCHMA	3'-phosphoadenosine-5'-phosphosulfate synthase		Schistosoma mansoni (Blood fluke)	196	sulfate adenylyltransferase (ATP) activity [GO:0004781]
A0A5K4FED5	A0A5K4FED5	unreviewed	A0A5K4FED5_SCHMA	Uncharacterized protein		Schistosoma mansoni (Blood fluke)	708	
A0A3Q0KSY9	A0A3Q0KSY9	unreviewed	A0A3Q0KSY9_SCHMA	Putative wd-repeat protein		Schistosoma mansoni (Blood fluke)	608	
G4VJN6	G4VJN6	unreviewed	G4VJN6_SCHMA	ATP synthase subunit e, mitochondrial		Schistosoma mansoni (Blood fluke)	89	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; proton transmembrane transporter activity [GO:0015078]; proton motive force-driven ATP synthesis [GO:0015986]
G4VPS8	G4VPS8	unreviewed	G4VPS8_SCHMA	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 (Complex I-B15) (NADH-ubiquinone oxidoreductase B15 subunit)		Schistosoma mansoni (Blood fluke)	125	membrane [GO:0016020]; mitochondrion [GO:0005739]
A0A3Q0KGF1	A0A3Q0KGF1	unreviewed	A0A3Q0KGF1_SCHMA	Tubby-like protein		Schistosoma mansoni (Blood fluke)	524	
G4VHD9	G4VHD9	unreviewed	G4VHD9_SCHMA	T-complex protein 1 subunit delta		Schistosoma mansoni (Blood fluke)	538	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]
A0A5K4F559	A0A5K4F559	unreviewed	A0A5K4F559_SCHMA	Ankyrin repeat domain-containing protein 12		Schistosoma mansoni (Blood fluke)	1144	
A0A3Q0KDR0	A0A3Q0KDR0	unreviewed	A0A3Q0KDR0_SCHMA	Uncharacterized protein		Schistosoma mansoni (Blood fluke)	135	
A0A5K4F733	A0A5K4F733	unreviewed	A0A5K4F733_SCHMA	Uncharacterized protein		Schistosoma mansoni (Blood fluke)	161	
C4QPS0	C4QPS0	unreviewed	C4QPS0_SCHMA	MEG-2 (ESP15) family		Schistosoma mansoni (Blood fluke)	44	
A0A5K4EYM6	A0A5K4EYM6	unreviewed	A0A5K4EYM6_SCHMA	Dynein light chain		Schistosoma mansoni (Blood fluke)	64	cytoplasm [GO:0005737]; dynein complex [GO:0030286]; microtubule [GO:0005874]; microtubule-based process [GO:0007017]
G4VQA2	G4VQA2	unreviewed	G4VQA2_SCHMA	Serine/threonine-protein kinase PRP4 homolog (EC 2.7.11.1) (PRP4 pre-mRNA-processing factor 4 homolog)		Schistosoma mansoni (Blood fluke)	636	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]
A0A5K4F888	A0A5K4F888	unreviewed	A0A5K4F888_SCHMA	Uncharacterized protein		Schistosoma mansoni (Blood fluke)	111	
A0A5K4FCY8	A0A5K4FCY8	unreviewed	A0A5K4FCY8_SCHMA	Collagenase NC10/endostatin domain-containing protein		Schistosoma mansoni (Blood fluke)	533	
A0A5K4FCJ6	A0A5K4FCJ6	unreviewed	A0A5K4FCJ6_SCHMA	Uncharacterized protein		Schistosoma mansoni (Blood fluke)	361	
A0A5K4EQ43	A0A5K4EQ43	unreviewed	A0A5K4EQ43_SCHMA	Ferrochelatase (EC 4.98.1.1)		Schistosoma mansoni (Blood fluke)	316	mitochondrial inner membrane [GO:0005743]; ferrochelatase activity [GO:0004325]; heme biosynthetic process [GO:0006783]
A0A3Q0KNW7	A0A3Q0KNW7	unreviewed	A0A3Q0KNW7_SCHMA	Monocarboxylate transporter, putative		Schistosoma mansoni (Blood fluke)	1791	membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]
A0A5K4ED42	A0A5K4ED42	unreviewed	A0A5K4ED42_SCHMA	Uncharacterized protein		Schistosoma mansoni (Blood fluke)	584	nucleus [GO:0005634]; mRNA methylation [GO:0080009]; mRNA processing [GO:0006397]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA splicing [GO:0008380]
A0A5K4FAV0	A0A5K4FAV0	unreviewed	A0A5K4FAV0_SCHMA	t-SNARE coiled-coil homology domain-containing protein		Schistosoma mansoni (Blood fluke)	263	membrane [GO:0016020]; vesicle-mediated transport [GO:0016192]
A0A5K4EB37	A0A5K4EB37	unreviewed	A0A5K4EB37_SCHMA	Uncharacterized protein		Schistosoma mansoni (Blood fluke)	109	cytoskeleton [GO:0005856]; actin monomer binding [GO:0003785]; actin filament organization [GO:0007015]
G4VL53	G4VL53	unreviewed	G4VL53_SCHMA	BUD13 homolog		Schistosoma mansoni (Blood fluke)	259	
A0A3Q0KFC2	A0A3Q0KFC2	unreviewed	A0A3Q0KFC2_SCHMA	Paramyosin		Schistosoma mansoni (Blood fluke)	1988	myofibril [GO:0030016]; myosin complex [GO:0016459]; actin filament binding [GO:0051015]; ATP binding [GO:0005524]; cytoskeletal motor activity [GO:0003774]
A0A5K4F0M1	A0A5K4F0M1	unreviewed	A0A5K4F0M1_SCHMA	SAM domain-containing protein		Schistosoma mansoni (Blood fluke)	931	
A0A5K4ELR5	A0A5K4ELR5	unreviewed	A0A5K4ELR5_SCHMA	Alanine aminotransferase, putative		Schistosoma mansoni (Blood fluke)	176	transaminase activity [GO:0008483]
A0A5K4ETG3	A0A5K4ETG3	unreviewed	A0A5K4ETG3_SCHMA	Uncharacterized protein		Schistosoma mansoni (Blood fluke)	339	
A0A5K4F2Z7	A0A5K4F2Z7	unreviewed	A0A5K4F2Z7_SCHMA	Uncharacterized protein		Schistosoma mansoni (Blood fluke)	573	
A0A3Q0KRK3	A0A3Q0KRK3	unreviewed	A0A3Q0KRK3_SCHMA	E1 ubiquitin-activating enzyme (EC 6.2.1.45) (Ubiquitin-activating enzyme E1)		Schistosoma mansoni (Blood fluke)	1057	ubiquitin activating enzyme activity [GO:0004839]
A0A3Q0KIS4	A0A3Q0KIS4	unreviewed	A0A3Q0KIS4_SCHMA	Lipoate-protein ligase, putative		Schistosoma mansoni (Blood fluke)	411	protein modification process [GO:0036211]
A0A5K4F9C2	A0A5K4F9C2	unreviewed	A0A5K4F9C2_SCHMA	HIT-type domain-containing protein		Schistosoma mansoni (Blood fluke)	124	
B9UJC8	B9UJC8	unreviewed	B9UJC8_SCHMA	Bone morphogenetic protein-like protein	BMP	Schistosoma mansoni (Blood fluke)	931	extracellular region [GO:0005576]; membrane [GO:0016020]; growth factor activity [GO:0008083]
A0A5K4ETM1	A0A5K4ETM1	unreviewed	A0A5K4ETM1_SCHMA	Putative ocrl type II inositol 5-phosphatase		Schistosoma mansoni (Blood fluke)	618	phosphatase activity [GO:0016791]; phosphatidylinositol dephosphorylation [GO:0046856]
A0A3Q0KVJ9	A0A3Q0KVJ9	unreviewed	A0A3Q0KVJ9_SCHMA	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)		Schistosoma mansoni (Blood fluke)	332	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; respiratory electron transport chain [GO:0022904]
A0A5K4F203	A0A5K4F203	unreviewed	A0A5K4F203_SCHMA	SUN domain-containing protein		Schistosoma mansoni (Blood fluke)	1126	membrane [GO:0016020]
A0A5K4FF14	A0A5K4FF14	unreviewed	A0A5K4FF14_SCHMA	PH domain-containing protein		Schistosoma mansoni (Blood fluke)	984	
A0A5K4EDV3	A0A5K4EDV3	unreviewed	A0A5K4EDV3_SCHMA	Delta-like protein		Schistosoma mansoni (Blood fluke)	605	membrane [GO:0016020]; calcium ion binding [GO:0005509]; cell communication [GO:0007154]
A0A5K4FAA0	A0A5K4FAA0	unreviewed	A0A5K4FAA0_SCHMA	G_PROTEIN_RECEP_F1_2 domain-containing protein		Schistosoma mansoni (Blood fluke)	488	membrane [GO:0016020]; G protein-coupled receptor activity [GO:0004930]
A0A3Q0KP99	A0A3Q0KP99	unreviewed	A0A3Q0KP99_SCHMA	Putative transient receptor potential cation channel		Schistosoma mansoni (Blood fluke)	2514	membrane [GO:0016020]
C4QPM1	C4QPM1	unreviewed	C4QPM1_SCHMA	Egg protein CP391S-like		Schistosoma mansoni (Blood fluke)	348	
A0A3Q0KMF2	A0A3Q0KMF2	unreviewed	A0A3Q0KMF2_SCHMA	Putative brefeldin A-inhibited guanine nucleotide-exchange protein		Schistosoma mansoni (Blood fluke)	2154	guanyl-nucleotide exchange factor activity [GO:0005085]; protein transport [GO:0015031]; regulation of ARF protein signal transduction [GO:0032012]
