From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
Q8IM53	Q8IM53	unreviewed	Q8IM53_PLAF7	Cytochrome c, putative	PF3D7_1404100	Plasmodium falciparum (isolate 3D7)	115	mitochondrial intermembrane space [GO:0005758]; mitochondrial respirasome [GO:0005746]; mitochondrion [GO:0005739]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]
Q9U0J2	Q9U0J2	unreviewed	Q9U0J2_PLAF7	Chaperone protein DnaJ	PF3D7_0409400	Plasmodium falciparum (isolate 3D7)	672	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; metal ion binding [GO:0046872]; unfolded protein binding [GO:0051082]; chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]; response to heat [GO:0009408]
C0H512	C0H512	unreviewed	C0H512_PLAF7	Uncharacterized protein	PF3D7_0901800	Plasmodium falciparum (isolate 3D7)	269	membrane [GO:0016020]
A0A5K1K8M5	A0A5K1K8M5	unreviewed	A0A5K1K8M5_PLAF7	GRIP domain-containing protein	PF3D7_1350800	Plasmodium falciparum (isolate 3D7)	246	
C0H5E6	C0H5E6	unreviewed	C0H5E6_PLAF7	DUF1279 domain-containing protein	PF3D7_1328400	Plasmodium falciparum (isolate 3D7)	500	membrane [GO:0016020]; mitochondrion [GO:0005739]
Q8IBX7	Q8IBX7	unreviewed	Q8IBX7_PLAF7	Uncharacterized protein	PF3D7_0711300	Plasmodium falciparum (isolate 3D7)	119	
Q8IIS0	Q8IIS0	reviewed	DTD_PLAF7	D-aminoacyl-tRNA deacylase (PfDTD) (EC 3.1.1.96) (D-Tyrosyl-tRNA(Tyr) deacylase) (Gly-tRNA(Ala) deacylase) (Gly-tRNA(Gly) deacylase)	DTD PF11_0095 PF3D7_1108200	Plasmodium falciparum (isolate 3D7)	164	cytoplasm [GO:0005737]; D-tyrosyl-tRNA(Tyr) deacylase activity [GO:0051500]; Gly-tRNA(Ala) hydrolase activity [GO:0106026]; nucleotide binding [GO:0000166]; tRNA binding [GO:0000049]; tRNA metabolic process [GO:0006399]
Q8IET6	Q8IET6	unreviewed	Q8IET6_PLAF7	Heptatricopeptide repeat-containing protein	PF3D7_1302900	Plasmodium falciparum (isolate 3D7)	800	
Q8IDZ1	Q8IDZ1	unreviewed	Q8IDZ1_PLAF7	Histone H3-like centromeric protein CSE4	PF3D7_1333700	Plasmodium falciparum (isolate 3D7)	170	chromosome, centromeric region [GO:0000775]; nuclear periphery [GO:0034399]; nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]; chromosome segregation [GO:0007059]
Q8ILZ0	Q8ILZ0	unreviewed	Q8ILZ0_PLAF7	Uncharacterized protein	PF3D7_1410500	Plasmodium falciparum (isolate 3D7)	133	
