From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
Q32ED5	Q32ED5	unreviewed	Q32ED5_SHIDS	UPF0265 protein YeeX	yeeX SDY_2237	Shigella dysenteriae serotype 1 (strain Sd197)	131	
Q328L1	Q328L1	unreviewed	Q328L1_SHIDS	Resistance protein	yhjX SDY_4355	Shigella dysenteriae serotype 1 (strain Sd197)	347	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]
Q329T6	Q329T6	reviewed	KUP_SHIDS	Low affinity potassium transport system protein Kup (Kup system potassium uptake protein)	kup SDY_4001	Shigella dysenteriae serotype 1 (strain Sd197)	624	plasma membrane [GO:0005886]; potassium ion transmembrane transporter activity [GO:0015079]; symporter activity [GO:0015293]
Q329B9	Q329B9	unreviewed	Q329B9_SHIDS	DNA gyrase subunit B (EC 5.6.2.2)	gyrB SDY_4181	Shigella dysenteriae serotype 1 (strain Sd197)	804	chromosome [GO:0005694]; cytoplasm [GO:0005737]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; metal ion binding [GO:0046872]; DNA topological change [GO:0006265]; DNA-templated DNA replication [GO:0006261]
Q32FV2	Q32FV2	unreviewed	Q32FV2_SHIDS	Major facilitator superfamily (MFS) profile domain-containing protein	SDY_1682	Shigella dysenteriae serotype 1 (strain Sd197)	126	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]
Q329F4	Q329F4	reviewed	NEPI_SHIDS	Purine ribonucleoside efflux pump NepI	nepI SDY_4141	Shigella dysenteriae serotype 1 (strain Sd197)	394	plasma membrane [GO:0005886]; antiporter activity [GO:0015297]; purine nucleoside transmembrane transporter activity [GO:0015211]
Q32JE4	Q32JE4	unreviewed	Q32JE4_SHIDS	Uncharacterized protein	SDY_0348	Shigella dysenteriae serotype 1 (strain Sd197)	302	
Q32BY4	Q32BY4	unreviewed	Q32BY4_SHIDS	Small-conductance mechanosensitive channel	yggB SDY_3158	Shigella dysenteriae serotype 1 (strain Sd197)	286	plasma membrane [GO:0005886]; mechanosensitive monoatomic ion channel activity [GO:0008381]
Q32HU6	Q32HU6	unreviewed	Q32HU6_SHIDS	Integral membrane protein YccS N-terminal domain-containing protein	SDY_0935	Shigella dysenteriae serotype 1 (strain Sd197)	720	membrane [GO:0016020]
Q32BJ8	Q32BJ8	unreviewed	Q32BJ8_SHIDS	Threonine dehydratase operon activator protein	tdcR SDY_3311	Shigella dysenteriae serotype 1 (strain Sd197)	114	
Q329U1	Q329U1	unreviewed	Q329U1_SHIDS	Transport protein	yieO SDY_3993	Shigella dysenteriae serotype 1 (strain Sd197)	475	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]
Q329L0	Q329L0	unreviewed	Q329L0_SHIDS	Glycine transporter domain-containing protein	yicG SDY_4077	Shigella dysenteriae serotype 1 (strain Sd197)	223	plasma membrane [GO:0005886]
Q32AB8	Q32AB8	reviewed	ARGE_SHIDS	Acetylornithine deacetylase (AO) (Acetylornithinase) (EC 3.5.1.16) (N-acetylornithinase) (NAO)	argE SDY_3792	Shigella dysenteriae serotype 1 (strain Sd197)	383	cytoplasm [GO:0005737]; acetylornithine deacetylase activity [GO:0008777]; zinc ion binding [GO:0008270]; arginine biosynthetic process [GO:0006526]
Q32CW7	Q32CW7	unreviewed	Q32CW7_SHIDS	IS600 ORF1	SDY_2795	Shigella dysenteriae serotype 1 (strain Sd197)	87	DNA binding [GO:0003677]; transposase activity [GO:0004803]; DNA transposition [GO:0006313]
Q32IT2	Q32IT2	unreviewed	Q32IT2_SHIDS	Iso-IS1 ORF2	SDY_0571	Shigella dysenteriae serotype 1 (strain Sd197)	78	DNA binding [GO:0003677]; transposase activity [GO:0004803]; DNA transposition [GO:0006313]
Q32AH7	Q32AH7	unreviewed	Q32AH7_SHIDS	Sensor HydH response regulator of hydrogenase 3 activity	hydG SDY_3722	Shigella dysenteriae serotype 1 (strain Sd197)	441	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; sequence-specific DNA binding [GO:0043565]; phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]
Q32EN1	Q32EN1	unreviewed	Q32EN1_SHIDS	IS1 ORF2	insB SDY_2135	Shigella dysenteriae serotype 1 (strain Sd197)	125	DNA binding [GO:0003677]; transposase activity [GO:0004803]; DNA transposition [GO:0006313]
Q32CV4	Q32CV4	reviewed	RNC_SHIDS	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc SDY_2808	Shigella dysenteriae serotype 1 (strain Sd197)	226	cytoplasm [GO:0005737]; metal ion binding [GO:0046872]; ribonuclease III activity [GO:0004525]; rRNA binding [GO:0019843]; mRNA processing [GO:0006397]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]
