From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
K0F2S5	K0F2S5	unreviewed	K0F2S5_NOCB7	D-amino acid oxidase	O3I_030390	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	310	D-amino-acid oxidase activity [GO:0003884]; FAD binding [GO:0071949]; D-amino acid metabolic process [GO:0046416]
K0F4P8	K0F4P8	unreviewed	K0F4P8_NOCB7	DNA-directed RNA polymerase subunit beta	O3I_033490	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	158	
K0F3P1	K0F3P1	unreviewed	K0F3P1_NOCB7	Epocide hydrolase domain-containing protein	O3I_031050	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	383	ether hydrolase activity [GO:0016803]
K0EGL0	K0EGL0	unreviewed	K0EGL0_NOCB7	Antibiotic biosynthesis monooxygenase	O3I_002025	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	95	monooxygenase activity [GO:0004497]
K0EWF2	K0EWF2	unreviewed	K0EWF2_NOCB7	Glycine--tRNA ligase (EC 6.1.1.14) (Glycyl-tRNA synthetase) (GlyRS)	glyQS O3I_009800	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	463	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glycine-tRNA ligase activity [GO:0004820]; glycyl-tRNA aminoacylation [GO:0006426]
K0F3I6	K0F3I6	unreviewed	K0F3I6_NOCB7	Cobyric acid synthase	cobQ O3I_030725	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	517	ABC-type vitamin B12 transporter activity [GO:0015420]; catalytic activity [GO:0003824]; cobalamin biosynthetic process [GO:0009236]; glutamine metabolic process [GO:0006541]
K0EMC9	K0EMC9	unreviewed	K0EMC9_NOCB7	Glycerophosphoryl diester phosphodiesterase	O3I_000410	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	255	phosphoric diester hydrolase activity [GO:0008081]; lipid metabolic process [GO:0006629]
K0F6V7	K0F6V7	unreviewed	K0F6V7_NOCB7	Uncharacterized protein	O3I_035765	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	72	membrane [GO:0016020]
K0FBQ5	K0FBQ5	unreviewed	K0FBQ5_NOCB7	Nitrite-nitrate transporter	O3I_034845	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	492	membrane [GO:0016020]; nitrate transmembrane transporter activity [GO:0015112]
K0ESB8	K0ESB8	unreviewed	K0ESB8_NOCB7	Hemophore-related protein	O3I_003165	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	130	heme binding [GO:0020037]
K0F3C1	K0F3C1	unreviewed	K0F3C1_NOCB7	Ribonuclease J (RNase J) (EC 3.1.-.-)	rnj O3I_030275	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	659	cytoplasm [GO:0005737]; 5'-3' RNA exonuclease activity [GO:0004534]; RNA binding [GO:0003723]; RNA endonuclease activity [GO:0004521]; zinc ion binding [GO:0008270]; rRNA processing [GO:0006364]
K0ES98	K0ES98	unreviewed	K0ES98_NOCB7	Histidinol-phosphate aminotransferase	O3I_023665	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	369	pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; biosynthetic process [GO:0009058]
K0EUD0	K0EUD0	unreviewed	K0EUD0_NOCB7	Transcription repressor	O3I_015855	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	77	
K0EMC6	K0EMC6	unreviewed	K0EMC6_NOCB7	DUF2142 domain-containing protein	O3I_000880	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	528	membrane [GO:0016020]
K0F6P5	K0F6P5	unreviewed	K0F6P5_NOCB7	Bacterial transcription activator effector binding domain-containing protein	O3I_037175	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	147	
K0EXM3	K0EXM3	unreviewed	K0EXM3_NOCB7	Regulatory proteins IclR	O3I_018430	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	261	DNA binding [GO:0003677]; regulation of DNA-templated transcription [GO:0006355]
K0EW25	K0EW25	unreviewed	K0EW25_NOCB7	AsnC family transcriptional regulator	O3I_016465	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	174	sequence-specific DNA binding [GO:0043565]
K0EQY6	K0EQY6	unreviewed	K0EQY6_NOCB7	Integral membrane protein	O3I_000990	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	115	membrane [GO:0016020]
K0F3T7	K0F3T7	unreviewed	K0F3T7_NOCB7	Uncharacterized protein	O3I_021485	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	176	
K0F089	K0F089	unreviewed	K0F089_NOCB7	Uncharacterized protein	O3I_023970	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	158	
K0EXB8	K0EXB8	unreviewed	K0EXB8_NOCB7	Activator of Hsp90 ATPase homologue 1-like C-terminal domain-containing protein	O3I_018650	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	144	
K0ET78	K0ET78	unreviewed	K0ET78_NOCB7	Putative membrane protein MmpS	O3I_025310	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	137	membrane [GO:0016020]
K0EVI3	K0EVI3	unreviewed	K0EVI3_NOCB7	Major facilitator superfamily protein	O3I_029170	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	471	membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]
K0EUC5	K0EUC5	unreviewed	K0EUC5_NOCB7	Arginine repressor	argR O3I_013540	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	162	cytoplasm [GO:0005737]; arginine binding [GO:0034618]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; arginine biosynthetic process [GO:0006526]; protein complex oligomerization [GO:0051259]
K0F9G5	K0F9G5	unreviewed	K0F9G5_NOCB7	Nitronate monooxygenase domain-containing protein	O3I_030735	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	304	nitronate monooxygenase activity [GO:0018580]
K0F1W5	K0F1W5	unreviewed	K0F1W5_NOCB7	Anti-sigma factor	O3I_025770	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	116	
K0EXM5	K0EXM5	unreviewed	K0EXM5_NOCB7	Pyridoxal phosphate homeostasis protein (PLP homeostasis protein)	O3I_011750	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	254	pyridoxal phosphate binding [GO:0030170]
K0EW26	K0EW26	unreviewed	K0EW26_NOCB7	Large ribosomal subunit protein bL27	rpmA O3I_009040	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	88	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
K0F0D7	K0F0D7	unreviewed	K0F0D7_NOCB7	Putative Chromosome partitioning protein	O3I_024220	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)	596	
