From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
A0A044TKS4	A0A044TKS4		A0A044TKS4_ONCVO	deleted				
A0A044VHN8	A0A044VHN8		A0A044VHN8_ONCVO	deleted				
A0A044RH23	A0A044RH23		A0A044RH23_ONCVO	deleted				
A0A044TWN3	A0A044TWN3		A0A044TWN3_ONCVO	deleted				
A0A044UKG8	A0A044UKG8		A0A044UKG8_ONCVO	deleted				
A0A044UL22	A0A044UL22		A0A044UL22_ONCVO	deleted				
A0A044SXD4	A0A044SXD4		A0A044SXD4_ONCVO	deleted				
A0A044R4X9	A0A044R4X9		A0A044R4X9_ONCVO	deleted				
A0A044RH12	A0A044RH12		A0A044RH12_ONCVO	deleted				
A0A044V723	A0A044V723		A0A044V723_ONCVO	deleted				
A0A044TN05	A0A044TN05		A0A044TN05_ONCVO	deleted				
A0A2K6VZN8	A0A2K6VZN8	unreviewed	A0A2K6VZN8_ONCVO	BHLH domain-containing protein		Onchocerca volvulus	404	protein dimerization activity [GO:0046983]
A0A044RZM6	A0A044RZM6		A0A044RZM6_ONCVO	deleted				
A0A2K6W5I7	A0A2K6W5I7	unreviewed	A0A2K6W5I7_ONCVO	Uncharacterized protein		Onchocerca volvulus	95	
A0A044TY84	A0A044TY84		A0A044TY84_ONCVO	deleted				
A0A044S2Z2	A0A044S2Z2		A0A044S2Z2_ONCVO	deleted				
A0A2K6WJA5	A0A2K6WJA5	unreviewed	A0A2K6WJA5_ONCVO	Nematode cuticle collagen N-terminal domain-containing protein		Onchocerca volvulus	88	membrane [GO:0016020]
A0A044SIF1	A0A044SIF1		A0A044SIF1_ONCVO	deleted				
A0A044RHW9	A0A044RHW9		A0A044RHW9_ONCVO	deleted				
A0A044VGZ7	A0A044VGZ7		A0A044VGZ7_ONCVO	deleted				
A0A2K6VS30	A0A2K6VS30	unreviewed	A0A2K6VS30_ONCVO	Uncharacterized protein		Onchocerca volvulus	709	
A0A044QUI8	A0A044QUI8		A0A044QUI8_ONCVO	deleted				
A0A044THG5	A0A044THG5		A0A044THG5_ONCVO	deleted				
A0A044VFW4	A0A044VFW4		A0A044VFW4_ONCVO	deleted				
A0A044RJN3	A0A044RJN3		A0A044RJN3_ONCVO	deleted				
A0A044UPG0	A0A044UPG0		A0A044UPG0_ONCVO	deleted				
A0A044RZ67	A0A044RZ67		A0A044RZ67_ONCVO	deleted				
A0A044V0F3	A0A044V0F3		A0A044V0F3_ONCVO	deleted				
A0A2K6W540	A0A2K6W540	unreviewed	A0A2K6W540_ONCVO	Uncharacterized protein		Onchocerca volvulus	97	
A0A044SNG8	A0A044SNG8		A0A044SNG8_ONCVO	deleted				
A0A044TVC2	A0A044TVC2		A0A044TVC2_ONCVO	deleted				
A0A044S3G4	A0A044S3G4		A0A044S3G4_ONCVO	deleted				
A0A044UZ43	A0A044UZ43		A0A044UZ43_ONCVO	deleted				
A0A044RDP7	A0A044RDP7		A0A044RDP7_ONCVO	deleted				
A0A044RSN4	A0A044RSN4		A0A044RSN4_ONCVO	deleted				
