From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
A0A150ASL8	A0A150ASL8	unreviewed	A0A150ASL8_9PEZI	Apoptotic chromatin condensation inducer in the nucleus	MMYC01_200139	Madurella mycetomatis	635	nucleic acid binding [GO:0003676]
A0A175VUR2	A0A175VUR2	unreviewed	A0A175VUR2_9PEZI	Protein kinase domain-containing protein	MMYC01_209320	Madurella mycetomatis	379	
A0A175VTA7	A0A175VTA7	unreviewed	A0A175VTA7_9PEZI	isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase)	MMYC01_209103	Madurella mycetomatis	1086	aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]; isoleucyl-tRNA aminoacylation [GO:0006428]
A0A175W962	A0A175W962	unreviewed	A0A175W962_9PEZI	Kinesin light chain	MMYC01_204239	Madurella mycetomatis	1337	
A0A175W9B7	A0A175W9B7	unreviewed	A0A175W9B7_9PEZI	Lipocalin-like domain-containing protein	MMYC01_203280	Madurella mycetomatis	155	
A0A175VQ29	A0A175VQ29	unreviewed	A0A175VQ29_9PEZI	Insulin-degrading enzyme	MMYC01_209877	Madurella mycetomatis	1084	metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; proteolysis [GO:0006508]
A0A175WJ59	A0A175WJ59	unreviewed	A0A175WJ59_9PEZI	Lovastatin diketide synthase LovF	MMYC01_200634	Madurella mycetomatis	2655	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]; fatty acid biosynthetic process [GO:0006633]; secondary metabolite biosynthetic process [GO:0044550]
A0A175W8X0	A0A175W8X0	unreviewed	A0A175W8X0_9PEZI	Small ribosomal subunit protein uS7 domain-containing protein	MMYC01_202286	Madurella mycetomatis	212	small ribosomal subunit [GO:0015935]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A175W7R7	A0A175W7R7	unreviewed	A0A175W7R7_9PEZI	Uncharacterized protein	MMYC01_203134	Madurella mycetomatis	328	
A0A175W9P0	A0A175W9P0	unreviewed	A0A175W9P0_9PEZI	Trans-aconitate 2-methyltransferase	MMYC01_202912	Madurella mycetomatis	308	S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]; methylation [GO:0032259]
A0A175WA19	A0A175WA19	unreviewed	A0A175WA19_9PEZI	Alkaline ceramidase 3	MMYC01_202913	Madurella mycetomatis	206	membrane [GO:0016020]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]; ceramide metabolic process [GO:0006672]
A0A175WCZ8	A0A175WCZ8	unreviewed	A0A175WCZ8_9PEZI	Protein SUPPRESSOR OF FRI 4	MMYC01_202764	Madurella mycetomatis	345	DNA binding [GO:0003677]; metal ion binding [GO:0046872]
A0A175W0I6	A0A175W0I6	unreviewed	A0A175W0I6_9PEZI	Porphobilinogen deaminase (EC 2.5.1.61) (Hydroxymethylbilane synthase) (Pre-uroporphyrinogen synthase)	MMYC01_205761	Madurella mycetomatis	340	hydroxymethylbilane synthase activity [GO:0004418]; protoporphyrinogen IX biosynthetic process [GO:0006782]
A0A175VWJ8	A0A175VWJ8	unreviewed	A0A175VWJ8_9PEZI	Protein dml-1	MMYC01_207623	Madurella mycetomatis	519	mitochondrion [GO:0005739]
A0A175W1U5	A0A175W1U5	unreviewed	A0A175W1U5_9PEZI	Uncharacterized protein	MMYC01_206388	Madurella mycetomatis	166	membrane [GO:0016020]
A0A150AST1	A0A150AST1	unreviewed	A0A150AST1_9PEZI	Delta(24)-sterol reductase	MMYC01_200005	Madurella mycetomatis	485	flavin adenine dinucleotide binding [GO:0050660]
A0A175VZP4	A0A175VZP4	unreviewed	A0A175VZP4_9PEZI	WW domain-containing oxidoreductase	MMYC01_207255	Madurella mycetomatis	337	
A0A175WDB5	A0A175WDB5	unreviewed	A0A175WDB5_9PEZI	Mediator of RNA polymerase II transcription subunit 18 (Mediator complex subunit 18)	MED18 MMYC01_202038	Madurella mycetomatis	259	mediator complex [GO:0016592]; transcription coregulator activity [GO:0003712]; regulation of transcription by RNA polymerase II [GO:0006357]
A0A175W7N0	A0A175W7N0	unreviewed	A0A175W7N0_9PEZI	Nipped-B-like protein B	MMYC01_205210	Madurella mycetomatis	294	
A0A175VSC9	A0A175VSC9	unreviewed	A0A175VSC9_9PEZI	Neurofibromin	MMYC01_209510	Madurella mycetomatis	2601	
A0A175VPB7	A0A175VPB7	unreviewed	A0A175VPB7_9PEZI	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit	MMYC01_209955 MMYC01_210272	Madurella mycetomatis	168	mitochondrial inner membrane [GO:0005743]
A0A175VQN3	A0A175VQN3	unreviewed	A0A175VQN3_9PEZI	Uncharacterized protein	MMYC01_210137	Madurella mycetomatis	444	
A0A175W022	A0A175W022	unreviewed	A0A175W022_9PEZI	ATP-dependent RNA helicase (EC 3.6.4.13)	MMYC01_207617	Madurella mycetomatis	762	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]
A0A175WFZ9	A0A175WFZ9	unreviewed	A0A175WFZ9_9PEZI	Hexose transporter 2	MMYC01_200880	Madurella mycetomatis	411	membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]
A0A175WGF0	A0A175WGF0	unreviewed	A0A175WGF0_9PEZI	Pre-mRNA-splicing factor 38B	MMYC01_200818	Madurella mycetomatis	365	
A0A175VU41	A0A175VU41	unreviewed	A0A175VU41_9PEZI	E3 ubiquitin-protein ligase ICP0	MMYC01_207552 MMYC01_209477	Madurella mycetomatis	366	ligase activity [GO:0016874]
A0A175W910	A0A175W910	unreviewed	A0A175W910_9PEZI	Protein red1	MMYC01_204983	Madurella mycetomatis	1216	
