From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
Q8DRP6	Q8DRP6	unreviewed	Q8DRP6_STRR6	Degenerate transposase (Orf2)	spr0017	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	68	
Q8DQB9	Q8DQB9	unreviewed	Q8DQB9_STRR6	ABC transporter membrane-spanning permease-ribose/galactose transport	ABC-MSP spr0750	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	318	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]
Q8DPY5	Q8DPY5	unreviewed	Q8DPY5_STRR6	ABC transporter membrane-spanning permease-iron transport	ABC-MSP spr0935	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	339	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; siderophore-dependent iron import into cell [GO:0033214]
Q8DQH1	Q8DQH1	unreviewed	Q8DQH1_STRR6	DEAD-box ATP-dependent RNA helicase CshB (EC 3.6.4.13)	rheB cshB spr0670	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	447	cytosol [GO:0005829]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; RNA helicase activity [GO:0003724]; RNA strand annealing activity [GO:0033592]; response to cold [GO:0009409]; RNA catabolic process [GO:0006401]
Q8CWV1	Q8CWV1	reviewed	RL30_STRR6	Large ribosomal subunit protein uL30 (50S ribosomal protein L30)	rpmD spr0207	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	60	cytosolic large ribosomal subunit [GO:0022625]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
Q8DRN2	Q8DRN2	unreviewed	Q8DRN2_STRR6	Acyl carrier protein (ACP)	acpP spr0038	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	77	cytosol [GO:0005829]; acyl binding [GO:0000035]; acyl carrier activity [GO:0000036]; lipid A biosynthetic process [GO:0009245]
P66921	P66921	reviewed	THIE2_STRR6	Thiamine-phosphate synthase 2 (TP synthase 2) (TPS 2) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase 2) (TMP pyrophosphorylase 2) (TMP-PPase 2)	thiE2 spr0637	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	210	cytoplasm [GO:0005737]; magnesium ion binding [GO:0000287]; thiamine-phosphate diphosphorylase activity [GO:0004789]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]
Q8CYS4	Q8CYS4	unreviewed	Q8CYS4_STRR6	Uncharacterized protein	spr0968	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	316	membrane [GO:0016020]
Q8DQQ7	Q8DQQ7	unreviewed	Q8DQQ7_STRR6	Nitroreductase (EC 1.-.-.-)	nrd spr0546	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	201	oxidoreductase activity [GO:0016491]
Q8DPW4	Q8DPW4	unreviewed	Q8DPW4_STRR6	ABC transporter substrate binding protein	ABC-SBP spr0975	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	344	
Q8DQK4	Q8DQK4	reviewed	THIE1_STRR6	Thiamine-phosphate synthase 1 (TP synthase 1) (TPS 1) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase 1) (TMP pyrophosphorylase 1) (TMP-PPase 1)	thiE1 spr0630	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	209	cytoplasm [GO:0005737]; magnesium ion binding [GO:0000287]; thiamine-phosphate diphosphorylase activity [GO:0004789]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]
