From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
C0NRS2	C0NRS2	unreviewed	C0NRS2_AJECG	XAP5 domain-containing protein	HCBG_05852	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	378	nucleus [GO:0005634]
C0NBS0	C0NBS0	unreviewed	C0NBS0_AJECG	Cellular morphogenesis protein	HCBG_00566	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	1234	membrane [GO:0016020]
C0NHV8	C0NHV8	unreviewed	C0NHV8_AJECG	glutamate decarboxylase (EC 4.1.1.15)	HCBG_02930	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	543	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]; glutamate metabolic process [GO:0006536]
C0NR91	C0NR91	unreviewed	C0NR91_AJECG	DNA-directed RNA polymerase I subunit RPA12	HCBG_05521	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	81	nucleus [GO:0005634]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]
C0P0J5	C0P0J5	unreviewed	C0P0J5_AJECG	Extracellular dioxygenase	HCBG_08925	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	379	iron ion binding [GO:0005506]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]
C0NIJ6	C0NIJ6	unreviewed	C0NIJ6_AJECG	Serine-threonine rich protein	HCBG_02253	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	317	
C0NLE9	C0NLE9	unreviewed	C0NLE9_AJECG	Histone deacetylase complex subunit SAP30 Sin3 binding domain-containing protein	HCBG_04329	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	226	nucleus [GO:0005634]
C0NLY7	C0NLY7	unreviewed	C0NLY7_AJECG	DNA ligase (EC 6.5.1.1)	HCBG_04517	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	888	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA ligase (ATP) activity [GO:0003910]; DNA biosynthetic process [GO:0071897]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]
C0NP98	C0NP98	unreviewed	C0NP98_AJECG	Clr5 domain-containing protein	HCBG_04978	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	258	
C0NIY3	C0NIY3	unreviewed	C0NIY3_AJECG	Condensin complex subunit 1	HCBG_03113	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	1207	chromosome [GO:0005694]; nucleus [GO:0005634]; cell division [GO:0051301]; mitotic chromosome condensation [GO:0007076]
