From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
O69460	O69460	reviewed	RECG_MYCLE	ATP-dependent DNA helicase RecG (EC 3.6.4.12)	recG ML1671 MLCB1243.01	Mycobacterium leprae (strain TN)	743	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]
Q9CD30	Q9CD30	unreviewed	Q9CD30_MYCLE	FtsK domain-containing protein	ML2535	Mycobacterium leprae (strain TN)	1329	membrane [GO:0016020]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]
Q9CD52	Q9CD52	reviewed	RSMA_MYCLE	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	rsmA ksgA ML0241	Mycobacterium leprae (strain TN)	306	cytoplasm [GO:0005737]; 16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity [GO:0052908]; RNA binding [GO:0003723]
O69481	O69481	reviewed	GCH1L_MYCLE	GTP cyclohydrolase 1 type 2 homolog	ML1639 MLCB1243.36	Mycobacterium leprae (strain TN)	385	metal ion binding [GO:0046872]
P53006	P53006	reviewed	ATPFD_MYCLE	ATP synthase subunit b-delta [Includes: ATP synthase subunit b (ATP synthase F(0) sector subunit b 2) (ATPase subunit I 2) (F-type ATPase subunit b 2) (F-ATPase subunit b 2); ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta)]	atpFH atpF atpH ML1142	Mycobacterium leprae (strain TN)	446	plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]
Q7APZ4	Q7APZ4	unreviewed	Q7APZ4_MYCLE	HTH merR-type domain-containing protein	ML2075	Mycobacterium leprae (strain TN)	251	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]
Q9CBQ0	Q9CBQ0	reviewed	RIR1_MYCLE	Ribonucleoside-diphosphate reductase subunit alpha (EC 1.17.4.1) (Ribonucleotide reductase R1 subunit)	nrdE ML1734	Mycobacterium leprae (strain TN)	721	ATP binding [GO:0005524]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]; deoxyribonucleotide biosynthetic process [GO:0009263]; DNA replication [GO:0006260]
Q9CBT1	Q9CBT1	unreviewed	Q9CBT1_MYCLE	Possible secreted hydrolase	ML1633	Mycobacterium leprae (strain TN)	535	membrane [GO:0016020]; hydrolase activity [GO:0016787]
Q49935	Q49935	unreviewed	Q49935_MYCLE	Probable antibiotic resistance membrane protein	ML2351	Mycobacterium leprae (strain TN)	288	ATP-binding cassette (ABC) transporter complex [GO:0043190]; ABC-type transporter activity [GO:0140359]; daunorubicin transport [GO:0043215]; doxorubicin transport [GO:1900753]; response to antibiotic [GO:0046677]
Q9Z5J1	Q9Z5J1	reviewed	NUSA_MYCLE	Transcription termination/antitermination protein NusA	nusA ML1558 MLCB596.12	Mycobacterium leprae (strain TN)	347	cytoplasm [GO:0005737]; DNA-binding transcription factor activity [GO:0003700]; RNA binding [GO:0003723]; DNA-templated transcription termination [GO:0006353]; transcription antitermination [GO:0031564]
