From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
A0A0A2V2E6	A0A0A2V2E6	unreviewed	A0A0A2V2E6_PARBA	Uncharacterized protein	PAAG_11149	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	71	
C1GW85	C1GW85	unreviewed	C1GW85_PARBA	Uncharacterized protein	PAAG_02780	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	245	
A0A0A2V2Y1	A0A0A2V2Y1	unreviewed	A0A0A2V2Y1_PARBA	Uncharacterized protein	PAAG_12640	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	178	
C1GW40	C1GW40	unreviewed	C1GW40_PARBA	Retrotransposon gag domain-containing protein	PAAG_02735	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	571	
C1H385	C1H385	unreviewed	C1H385_PARBA	Protein kinase domain-containing protein	PAAG_05228	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	220	
C1H030	C1H030	unreviewed	C1H030_PARBA	Integral membrane protein	PAAG_04124	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	435	membrane [GO:0016020]
C1GPY1	C1GPY1	unreviewed	C1GPY1_PARBA	Uncharacterized protein	PAAG_00576	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	71	
C1H3Z9	C1H3Z9	unreviewed	C1H3Z9_PARBA	Uncharacterized protein	PAAG_05492	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	327	
A0A0A2VII9	A0A0A2VII9	unreviewed	A0A0A2VII9_PARBA	Uncharacterized protein	PAAG_12611	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	65	
A0A0A2VJJ9	A0A0A2VJJ9	unreviewed	A0A0A2VJJ9_PARBA	Uncharacterized protein	PAAG_12258	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	104	
C1GS94	C1GS94	unreviewed	C1GS94_PARBA	Replication termination factor 2	PAAG_01389	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	323	nucleus [GO:0005634]; mitotic DNA replication termination [GO:1902979]
C1GW23	C1GW23	unreviewed	C1GW23_PARBA	Mannose-1-phosphate guanyltransferase (EC 2.7.7.13) (GDP-mannose pyrophosphorylase) (GTP-mannose-1-phosphate guanylyltransferase)	PAAG_02718	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	377	GTP binding [GO:0005525]; mannose-1-phosphate guanylyltransferase (GTP) activity [GO:0004475]; anatomical structure development [GO:0048856]; cell cycle [GO:0007049]; GDP-mannose biosynthetic process [GO:0009298]; sporulation [GO:0043934]
C1GXP1	C1GXP1	unreviewed	C1GXP1_PARBA	Large neutral amino acids transporter small subunit 2	PAAG_03615	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	646	membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]
C1H8F1	C1H8F1	unreviewed	C1H8F1_PARBA	Gamma-glutamyltranspeptidase	PAAG_06947	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	600	glutathione hydrolase activity [GO:0036374]; leukotriene C4 gamma-glutamyl transferase activity [GO:0103068]
C1GQD6	C1GQD6	unreviewed	C1GQD6_PARBA	Bifunctional purine biosynthesis protein ADE17	PAAG_00731	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	626	cytosol [GO:0005829]; IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
C1H7I8	C1H7I8	unreviewed	C1H7I8_PARBA	Uncharacterized protein	PAAG_06729	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	124	
C1GUY5	C1GUY5	unreviewed	C1GUY5_PARBA	GTP-binding protein ypt7	PAAG_02458	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	205	GTP binding [GO:0005525]; GTPase activity [GO:0003924]
C1H5B8	C1H5B8	unreviewed	C1H5B8_PARBA	Pyridoxamine 5'-phosphate oxidase putative domain-containing protein	PAAG_05959	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	260	
C1H3W5	C1H3W5	unreviewed	C1H3W5_PARBA	Cupin domain-containing protein	PAAG_05458	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	171	
C1HE50	C1HE50	unreviewed	C1HE50_PARBA	40S ribosomal protein S2	PAAG_09043	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	260	small ribosomal subunit [GO:0015935]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
C1GS45	C1GS45	unreviewed	C1GS45_PARBA	DUF2415 domain-containing protein	PAAG_01340	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	761	
C1HAN1	C1HAN1	unreviewed	C1HAN1_PARBA	Riboflavin aldehyde-forming enzyme	PAAG_07685	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	302	
C1H1U9	C1H1U9	unreviewed	C1H1U9_PARBA	NADH-ubiquinone oxidoreductase B12 subunit	PAAG_04885	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	83	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]; electron transport chain [GO:0022900]
C1H0N9	C1H0N9	unreviewed	C1H0N9_PARBA	CID domain-containing protein	PAAG_04333	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	617	membrane [GO:0016020]; intracellular calcium ion homeostasis [GO:0006874]
C1HDP8	C1HDP8	unreviewed	C1HDP8_PARBA	Peroxisomal multifunctional enzyme	PAAG_08859	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	901	peroxisome [GO:0005777]; oxidoreductase activity [GO:0016491]; cellular biosynthetic process [GO:0044249]; fatty acid beta-oxidation [GO:0006635]; organic substance biosynthetic process [GO:1901576]; secondary metabolite biosynthetic process [GO:0044550]
C1H1L7	C1H1L7	unreviewed	C1H1L7_PARBA	Protein arginine methyltransferase NDUFAF7 (EC 2.1.1.320)	PAAG_04803	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	502	mitochondrion [GO:0005739]; protein-arginine omega-N symmetric methyltransferase activity [GO:0035243]; methylation [GO:0032259]
C1GR18	C1GR18	unreviewed	C1GR18_PARBA	RING-type domain-containing protein	PAAG_00963	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	502	membrane [GO:0016020]
C1GWM2	C1GWM2	reviewed	SEY1_PARBA	Protein SEY1 (EC 3.6.5.-)	SEY1 PAAG_02917	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	873	endoplasmic reticulum membrane [GO:0005789]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; endoplasmic reticulum organization [GO:0007029]
C1GTS0	C1GTS0	unreviewed	C1GTS0_PARBA	Uncharacterized protein	PAAG_01915	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	74	
C1GS29	C1GS29	unreviewed	C1GS29_PARBA	Folic acid synthesis protein	PAAG_01324	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	629	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity [GO:0003848]; ATP binding [GO:0005524]; dihydropteroate synthase activity [GO:0004156]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; folic acid biosynthetic process [GO:0046656]; phosphorylation [GO:0016310]; tetrahydrofolate biosynthetic process [GO:0046654]
C1HAA5	C1HAA5	unreviewed	C1HAA5_PARBA	Major facilitator superfamily (MFS) profile domain-containing protein	PAAG_07559	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	524	membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]
A0A0A2V4A0	A0A0A2V4A0	unreviewed	A0A0A2V4A0_PARBA	Uncharacterized protein	PAAG_12190	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	59	
A0A0A2V475	A0A0A2V475	unreviewed	A0A0A2V475_PARBA	C2H2-type domain-containing protein	PAAG_12332	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	825	
C1GZY6	C1GZY6	unreviewed	C1GZY6_PARBA	Uncharacterized protein	PAAG_04080	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	146	
