From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
O94731	O94731	reviewed	TR851_SCHPO	Transport protein particle subunit trs85-1 (TRAPP subunit trs85-1)	trs85-1 SPBC1604.19c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	658	cell division site [GO:0032153]; cytosol [GO:0005829]; nucleus [GO:0005634]; TRAPPIII protein complex [GO:1990072]; intracellular protein transport [GO:0006886]; macroautophagy [GO:0016236]; meiotic cell cycle [GO:0051321]; vesicle-mediated transport [GO:0016192]
O74779	O74779	reviewed	MU164_SCHPO	Microtubule-associated protein mug164 (Meiotically up-regulated gene 164 protein)	mug164 SPBC25B2.07c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	517	astral microtubule [GO:0000235]; cytoplasmic microtubule [GO:0005881]; extrinsic component of mitochondrial outer membrane [GO:0031315]; microtubule cytoskeleton [GO:0015630]; microtubule binding [GO:0008017]; intracellular distribution of mitochondria [GO:0048312]; meiotic cell cycle [GO:0051321]
A6X978	A6X978	reviewed	YF12_SCHPO	Putative uncharacterized protein C9E9.02	SPAC9E9.02	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	98	
P87178	P87178	reviewed	YB1D_SCHPO	Uncharacterized protein C3D6.13c	SPBC3D6.13c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	726	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; protein disulfide isomerase activity [GO:0003756]; protein folding in endoplasmic reticulum [GO:0034975]
Q9USQ6	Q9USQ6	reviewed	SYJ2_SCHPO	Inositol-1,4,5-trisphosphate 5-phosphatase 2 (EC 3.1.3.36) (Synaptojanin-like protein 2)	syj2 SPBC577.13	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	889	cytoplasm [GO:0005737]; membrane [GO:0016020]; inositol-polyphosphate 5-phosphatase activity [GO:0004445]; phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity [GO:0043813]; phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity [GO:0004439]; phosphatidylinositol dephosphorylation [GO:0046856]; phosphatidylinositol metabolic process [GO:0046488]; protein transport [GO:0015031]
Q9P7Z3	Q9P7Z3	reviewed	EFM4_SCHPO	Protein-lysine N-methyltransferase efm4 (EC 2.1.1.-) (Elongation factor methyltransferase 4) (Secretion and early endocytosis protein 1 homolog)	see1 efm4 SPBC839.14c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	238	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; protein-lysine N-methyltransferase activity [GO:0016279]; methylation [GO:0032259]; regulation of cytoplasmic translation [GO:2000765]; vesicle-mediated transport [GO:0016192]
O14235	O14235	reviewed	POF5_SCHPO	Protein pof5	pof5 SPAC6F6.02c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	348	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; ubiquitin ligase complex [GO:0000151]; protein-macromolecule adaptor activity [GO:0030674]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]
Q10719	Q10719	reviewed	FUS1_SCHPO	Cell fusion protein fus1	fus1 SPAC20G4.02c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1372	cell division site [GO:0032153]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; mating projection [GO:0005937]; mating projection actin fusion focus [GO:1990819]; mating projection tip [GO:0043332]; actin binding [GO:0003779]; SH3 domain binding [GO:0017124]; small GTPase binding [GO:0031267]; barbed-end actin filament capping [GO:0051016]; cytogamy [GO:0000755]; mating projection actin fusion focus assembly [GO:1904600]
Q9P6Q5	Q9P6Q5	reviewed	DUT_SCHPO	Probable deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase)	SPAC644.05c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	140	cytosol [GO:0005829]; nucleus [GO:0005634]; dITP diphosphatase activity [GO:0035870]; dUTP diphosphatase activity [GO:0004170]; magnesium ion binding [GO:0000287]; dITP catabolic process [GO:0035863]; dUMP biosynthetic process [GO:0006226]; dUTP catabolic process [GO:0046081]
Q9C0X3	Q9C0X3	reviewed	YBBF_SCHPO	Putative uncharacterized protein C13G1.15c	SPBC13G1.15c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	111	cytosol [GO:0005829]; nucleus [GO:0005634]
O14273	O14273	reviewed	YET4_SCHPO	Meiotically up-regulated protein C8C9.04	SPAC8C9.04	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	647	cell division site [GO:0032153]; cell periphery [GO:0071944]; plasma membrane [GO:0005886]; meiotic cell cycle [GO:0051321]
C6Y4A3	C6Y4A3	reviewed	ATP19_SCHPO	ATP synthase subunit K, mitochondrial	atp19 SPAC25H1.10c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	68	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; proton motive force-driven ATP synthesis [GO:0015986]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; proton transmembrane transport [GO:1902600]
O74534	O74534	reviewed	SLY1_SCHPO	Protein sly1	sly1 SPCC74.01	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	639	cytosol [GO:0005829]; Golgi membrane [GO:0000139]; syntaxin binding [GO:0019905]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; intracellular protein transport [GO:0006886]; vesicle docking involved in exocytosis [GO:0006904]
P49740	P49740	reviewed	NDK_SCHPO	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6)	ndk1 SPAC806.07	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	151	cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; nucleus [GO:0005634]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleoside diphosphate kinase activity [GO:0004550]; CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; phosphorylation [GO:0016310]; UTP biosynthetic process [GO:0006228]
O13794	O13794	reviewed	YSH1_SCHPO	Endoribonuclease ysh1 (EC 3.1.27.-) (mRNA 3'-end-processing protein ysh1)	ysh1 SPAC17G6.16c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	757	cytosol [GO:0005829]; mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; nucleus [GO:0005634]; 5'-3' RNA exonuclease activity [GO:0004534]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; RNA endonuclease activity [GO:0004521]; co-transcriptional mRNA 3'-end processing, cleavage and polyadenylation pathway [GO:0180010]; mRNA polyadenylation [GO:0006378]
P0CY17	P0CY17	reviewed	MATMC_SCHPO	Mating-type M-specific polypeptide Mc (mat-Mc)	mat1-Mc matMc SPBC23G7.09	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	181	cytoplasm [GO:0005737]; RNA polymerase II transcription regulator complex [GO:0090575]; spindle pole body [GO:0005816]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II cis-regulatory region sequence-specific DNA binding, bending [GO:0044377]; sequence-specific DNA binding, bending [GO:0044374]; transcription coactivator activity [GO:0003713]; anatomical structure morphogenesis [GO:0009653]; cell differentiation [GO:0030154]; induction of conjugation with cellular fusion [GO:0010514]; mating type determination [GO:0007531]; positive regulation of induction of conjugation with cellular fusion [GO:1900237]; positive regulation of meiotic cell cycle [GO:0051446]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]
O13748	O13748	reviewed	NTM1_SCHPO	Alpha N-terminal protein methyltransferase 1 (EC 2.1.1.244) (Translation associated element 1) (X-Pro-Lys N-terminal protein methyltransferase 1) (NTM1)	tae1 ntm1 SPAC16E8.14c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	219	cytoplasm [GO:0005737]; cytosol [GO:0005829]; N-terminal protein N-methyltransferase activity [GO:0071885]; cytoplasmic translation [GO:0002181]; methylation [GO:0032259]
Q9P7I1	Q9P7I1	reviewed	KHA1_SCHPO	K(+)/H(+) antiporter 1	kha1 SPAC105.01c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	889	plasma membrane [GO:0005886]; potassium:proton antiporter activity [GO:0015386]; intracellular potassium ion homeostasis [GO:0030007]
O94521	O94521	reviewed	PLR2_SCHPO	Probable pyridoxal reductase 2 (PL reductase 2) (PL-red 2) (EC 1.1.1.65)	SPCC1281.04	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	333	cytoplasm [GO:0005737]; nucleus [GO:0005634]; aldo-keto reductase (NADP) activity [GO:0004033]; pyridoxine:NADP 4-dehydrogenase activity [GO:0050236]; pyridoxal biosynthetic process [GO:0042821]
O94676	O94676	reviewed	UTP22_SCHPO	U3 small nucleolar RNA-associated protein 22 (U3 snoRNA-associated protein 22)	utp22 SPBC776.08c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1097	CURI complex [GO:0032545]; nucleolus [GO:0005730]; nucleus [GO:0005634]; small-subunit processome [GO:0032040]; UTP-C complex [GO:0034456]; snoRNA binding [GO:0030515]; maturation of SSU-rRNA [GO:0030490]; rRNA processing [GO:0006364]; tRNA export from nucleus [GO:0006409]
P00046	P00046	reviewed	CYC_SCHPO	Cytochrome c	cyc1 SPCC191.07	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	109	mitochondrial intermembrane space [GO:0005758]; mitochondrial respirasome [GO:0005746]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; mitochondrial ATP synthesis coupled electron transport [GO:0042775]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]
Q09836	Q09836	reviewed	ATP10_SCHPO	Probable mitochondrial ATPase complex subunit atp10	atp10 SPAC4G8.11c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	267	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; unfolded protein binding [GO:0051082]; mitochondrial proton-transporting ATP synthase complex assembly [GO:0033615]
P05734	P05734	reviewed	RL19A_SCHPO	Large ribosomal subunit protein eL19A (60S ribosomal protein L19-A) (SP-L15)	rpl1901 rpl19 rpl19-1 rpl19a SPBC56F2.02	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	193	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]
Q9USK2	Q9USK2	reviewed	SET9_SCHPO	Histone-lysine N-methyltransferase set9 (EC 2.1.1.372) (Lysine N-methyltransferase 5) (SET domain protein 9)	set9 kmt5 SPCC4B3.12	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	441	cell division site [GO:0032153]; chromatin [GO:0000785]; cytosol [GO:0005829]; mitotic spindle pole body [GO:0044732]; nucleus [GO:0005634]; histone H4K20 methyltransferase activity [GO:0042799]; histone H4K20 trimethyltransferase activity [GO:0140943]; nucleosome binding [GO:0031491]; methylation [GO:0032259]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; protein localization [GO:0008104]
Q9P6P3	Q9P6P3	reviewed	PPK15_SCHPO	Serine/threonine-protein kinase ppk15 (EC 2.7.11.1)	ppk15 SPAC1E11.03 SPAC823.03	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	534	cell tip [GO:0051286]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitotic spindle pole body [GO:0044732]; nucleus [GO:0005634]; ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; phosphorylation [GO:0016310]; regulation of establishment or maintenance of cell polarity [GO:0032878]; signaling [GO:0023052]
