From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
Q57VD2	Q57VD2	unreviewed	Q57VD2_TRYB2	Protoheme IX farnesyltransferase, mitochondrial (Heme O synthase)	Tb05.30H13.320 Tb927.5.1310	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	371	mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; protoheme IX farnesyltransferase activity [GO:0008495]; heme A biosynthetic process [GO:0006784]
Q38FC4	Q38FC4	unreviewed	Q38FC4_TRYB2	T. brucei spp.-specific protein	Tb09.160.2730	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	159	membrane [GO:0016020]
Q57Z95	Q57Z95	unreviewed	Q57Z95_TRYB2	Rieske domain-containing protein	Tb03.30P12.1250 Tb927.3.2160	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	467	ciliary plasm [GO:0097014]; cytoplasm [GO:0005737]; 2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]
Q389C1	Q389C1	unreviewed	Q389C1_TRYB2	Uncharacterized protein	Tb10.389.1520	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	369	ciliary plasm [GO:0097014]; cytoplasm [GO:0005737]; nuclear lumen [GO:0031981]
Q388Q4	Q388Q4	unreviewed	Q388Q4_TRYB2	Uncharacterized protein	Tb10.05.0160	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	522	axoneme [GO:0005930]
Q38G15	Q38G15	unreviewed	Q38G15_TRYB2	Uncharacterized protein	Tb09.v1.0050	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	36	membrane [GO:0016020]
Q386P7	Q386P7	unreviewed	Q386P7_TRYB2	Diphthamide synthesis protein	Tb11.02.0230	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	657	cytoplasm [GO:0005737]; 2-(3-amino-3-carboxypropyl)histidine synthase activity [GO:0090560]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; protein histidyl modification to diphthamide [GO:0017183]
Q57Y64	Q57Y64	unreviewed	Q57Y64_TRYB2	Mic1 domain-containing protein	Tb07.15M23.310 Tb927.7.6650	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	941	late endosome membrane [GO:0031902]; Mon1-Ccz1 complex [GO:0035658]; regulation of autophagy [GO:0010506]
Q580Z1	Q580Z1	unreviewed	Q580Z1_TRYB2	Exonuclease domain-containing protein	Tb08.10J17.670 Tb927.8.3710	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	789	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; 3'-5' exonuclease activity [GO:0008408]; exonuclease activity [GO:0004527]; nucleic acid binding [GO:0003676]; snRNA 3'-end processing [GO:0034472]
Q4FKA6	Q4FKA6	unreviewed	Q4FKA6_TRYB2	Translation initiation factor eIF2B delta subunit, putative	Tb11.1400 Tb11.39.0006	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	628	cytoplasm [GO:0005737]; eukaryotic translation initiation factor 2B complex [GO:0005851]; GTP binding [GO:0005525]; translation initiation factor activity [GO:0003743]; regulation of translation [GO:0006417]; translational initiation [GO:0006413]
Q38AJ4	Q38AJ4	unreviewed	Q38AJ4_TRYB2	ABC transporter, putative	Tb10.6k15.2900	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	668	cytoplasmic side of plasma membrane [GO:0009898]; membrane [GO:0016020]; plasma membrane [GO:0005886]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; phosphatidylserine floppase activity [GO:0090556]; transmembrane transport [GO:0055085]
Q383X1	Q383X1	unreviewed	Q383X1_TRYB2	Uncharacterized protein	Tb11.01.1340	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	143	membrane [GO:0016020]
Q57UN3	Q57UN3	unreviewed	Q57UN3_TRYB2	Uncharacterized protein	Tb07.5F10.600 Tb927.7.4030	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	538	nucleus [GO:0005634]
Q57WF0	Q57WF0	unreviewed	Q57WF0_TRYB2	Palmitoyltransferase (EC 2.3.1.225)	Tb07.28B13.730 Tb927.7.3350	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	357	cell cortex [GO:0005938]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; protein-cysteine S-palmitoyltransferase activity [GO:0019706]; endocytosis [GO:0006897]; post-transcriptional regulation of gene expression [GO:0010608]; protein palmitoylation [GO:0018345]; protein targeting to membrane [GO:0006612]
Q381V3	Q381V3	unreviewed	Q381V3_TRYB2	Uncharacterized protein	Tb11.01.6450	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	712	nucleoplasm [GO:0005654]
Q38D42	Q38D42	unreviewed	Q38D42_TRYB2	Uncharacterized protein	Tb09.211.4680	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	520	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; nuclear envelope [GO:0005635]
Q57V01	Q57V01	unreviewed	Q57V01_TRYB2	GMP synthase (glutamine-hydrolyzing) (EC 6.3.5.2) (Glutamine amidotransferase)	Tb07.43M14.550 Tb927.7.2100	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	658	cytoplasm [GO:0005737]; cytosol [GO:0005829]; ATP binding [GO:0005524]; GMP synthase (glutamine-hydrolyzing) activity [GO:0003922]; GMP synthase activity [GO:0003921]; glutamine metabolic process [GO:0006541]; GMP biosynthetic process [GO:0006177]; GMP salvage [GO:0032263]; purine ribonucleotide biosynthetic process [GO:0009152]
Q57WK3	Q57WK3	unreviewed	Q57WK3_TRYB2	PDEase domain-containing protein	Tb08.28A12.290 Tb927.8.8270	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	928	3',5'-cyclic-nucleotide phosphodiesterase activity [GO:0004114]; signal transduction [GO:0007165]
Q4GY69	Q4GY69	unreviewed	Q4GY69_TRYB2	Expression site-associated gene (ESAG) protein, putative expression site-associated gene 1 (ESAG1) protein, putative	TB927.1.5120	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	327	
