From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
A0A3P7F1B2	A0A3P7F1B2	unreviewed	A0A3P7F1B2_WUCBA	Uncharacterized protein	WBA_LOCUS12579	Wuchereria bancrofti	286	membrane [GO:0016020]
A0A3P7EII0	A0A3P7EII0	unreviewed	A0A3P7EII0_WUCBA	Uncharacterized protein	WBA_LOCUS11647	Wuchereria bancrofti	130	
A0A3P7E7L0	A0A3P7E7L0	unreviewed	A0A3P7E7L0_WUCBA	Uncharacterized protein	WBA_LOCUS8792	Wuchereria bancrofti	364	
J9E8M1	J9E8M1	unreviewed	J9E8M1_WUCBA	Phosphomevalonate kinase (EC 2.7.4.2)	WBA_LOCUS12813 WUBG_10444	Wuchereria bancrofti	199	cytosol [GO:0005829]; ATP binding [GO:0005524]; phosphomevalonate kinase activity [GO:0004631]; cholesterol biosynthetic process [GO:0006695]; isopentenyl diphosphate biosynthetic process, mevalonate pathway [GO:0019287]; phosphorylation [GO:0016310]
A0A3P7EH20	A0A3P7EH20	unreviewed	A0A3P7EH20_WUCBA	Ig-like domain-containing protein	WBA_LOCUS8865	Wuchereria bancrofti	338	
A0A3P7FHX8	A0A3P7FHX8	unreviewed	A0A3P7FHX8_WUCBA	Uncharacterized protein	WBA_LOCUS3824	Wuchereria bancrofti	126	
A0A3P7EFZ5	A0A3P7EFZ5	unreviewed	A0A3P7EFZ5_WUCBA	P-type phospholipid transporter	WBA_LOCUS8465	Wuchereria bancrofti	294	membrane [GO:0016020]; nucleotide binding [GO:0000166]
A0A3P7G9I2	A0A3P7G9I2	unreviewed	A0A3P7G9I2_WUCBA	Uncharacterized protein	WBA_LOCUS10574	Wuchereria bancrofti	193	
A0A3P7EYV2	A0A3P7EYV2	unreviewed	A0A3P7EYV2_WUCBA	ATP citrate synthase	WBA_LOCUS11964	Wuchereria bancrofti	266	
A0A3P7DR30	A0A3P7DR30	unreviewed	A0A3P7DR30_WUCBA	Uncharacterized protein	WBA_LOCUS5816	Wuchereria bancrofti	137	membrane [GO:0016020]
A0A3P7DZQ5	A0A3P7DZQ5	unreviewed	A0A3P7DZQ5_WUCBA	RRM domain-containing protein	WBA_LOCUS9035	Wuchereria bancrofti	104	RNA binding [GO:0003723]
A0A3P7EAL8	A0A3P7EAL8	unreviewed	A0A3P7EAL8_WUCBA	Globin family profile domain-containing protein	WBA_LOCUS6435	Wuchereria bancrofti	132	heme binding [GO:0020037]; oxygen binding [GO:0019825]
