From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
X8FB01	X8FB01		X8FB01_MYCUL	deleted				
X8F1U7	X8F1U7		X8F1U7_MYCUL	deleted				
X8FJP9	X8FJP9		X8FJP9_MYCUL	deleted				
X8FGG3	X8FGG3		X8FGG3_MYCUL	deleted				
X8FBJ0	X8FBJ0		X8FBJ0_MYCUL	deleted				
X8F720	X8F720		X8F720_MYCUL	deleted				
X8F5K8	X8F5K8		X8F5K8_MYCUL	deleted				
X8FP37	X8FP37		X8FP37_MYCUL	deleted				
X8FB73	X8FB73		X8FB73_MYCUL	deleted				
X8F5D3	X8F5D3		X8F5D3_MYCUL	deleted				
X8EYV2	X8EYV2		X8EYV2_MYCUL	deleted				
X8FBV0	X8FBV0		X8FBV0_MYCUL	deleted				
X8FAS3	X8FAS3		X8FAS3_MYCUL	deleted				
X8FCY6	X8FCY6		X8FCY6_MYCUL	deleted				
X8F9X2	X8F9X2		X8F9X2_MYCUL	deleted				
X8FCY1	X8FCY1		X8FCY1_MYCUL	deleted				
X8FBM2	X8FBM2		X8FBM2_MYCUL	deleted				
X8F5M8	X8F5M8		X8F5M8_MYCUL	deleted				
X8EX50	X8EX50		X8EX50_MYCUL	deleted				
X8FIQ6	X8FIQ6		X8FIQ6_MYCUL	deleted				
X8FJP1	X8FJP1		X8FJP1_MYCUL	deleted				
X8FC22	X8FC22		X8FC22_MYCUL	deleted				
X8FKA2	X8FKA2		X8FKA2_MYCUL	deleted				
X8F1N9	X8F1N9		X8F1N9_MYCUL	deleted				
X8FJF3	X8FJF3		X8FJF3_MYCUL	deleted				
X8F448	X8F448		X8F448_MYCUL	deleted				
X8FLA8	X8FLA8		X8FLA8_MYCUL	deleted				
X8FCW7	X8FCW7		X8FCW7_MYCUL	deleted				
X8FIW6	X8FIW6		X8FIW6_MYCUL	deleted				
X8FKI3	X8FKI3		X8FKI3_MYCUL	deleted				
X8F0R6	X8F0R6		X8F0R6_MYCUL	deleted				
X8F7F2	X8F7F2		X8F7F2_MYCUL	deleted				
X8FEM0	X8FEM0		X8FEM0_MYCUL	deleted				
X8FFX5	X8FFX5		X8FFX5_MYCUL	deleted				
X8F2F7	X8F2F7		X8F2F7_MYCUL	deleted				
X8F4A0	X8F4A0		X8F4A0_MYCUL	deleted				
X8FDL6	X8FDL6		X8FDL6_MYCUL	deleted				
X8FFK1	X8FFK1		X8FFK1_MYCUL	deleted				
X8EY11	X8EY11		X8EY11_MYCUL	deleted				
X8FLW2	X8FLW2		X8FLW2_MYCUL	deleted				
X8F6T0	X8F6T0		X8F6T0_MYCUL	deleted				
X8FLM9	X8FLM9		X8FLM9_MYCUL	deleted				
X8FN73	X8FN73		X8FN73_MYCUL	deleted				
X8FCU1	X8FCU1		X8FCU1_MYCUL	deleted				
X8F735	X8F735		X8F735_MYCUL	deleted				
X8EZI7	X8EZI7		X8EZI7_MYCUL	deleted				
X8FHV3	X8FHV3		X8FHV3_MYCUL	deleted				
X8FN76	X8FN76		X8FN76_MYCUL	deleted				
X8F8T3	X8F8T3		X8F8T3_MYCUL	deleted				
X8F822	X8F822		X8F822_MYCUL	deleted				
X8FN15	X8FN15		X8FN15_MYCUL	deleted				
X8F4T8	X8F4T8		X8F4T8_MYCUL	deleted				
X8F031	X8F031		X8F031_MYCUL	deleted				
X8F116	X8F116		X8F116_MYCUL	deleted				
X8FBL5	X8FBL5		X8FBL5_MYCUL	deleted				
X8F9V8	X8F9V8		X8F9V8_MYCUL	deleted				
X8FBD3	X8FBD3		X8FBD3_MYCUL	deleted				
X8F660	X8F660		X8F660_MYCUL	deleted				
X8FCP6	X8FCP6		X8FCP6_MYCUL	deleted				
X8F5T2	X8F5T2		X8F5T2_MYCUL	deleted				
X8FES8	X8FES8		X8FES8_MYCUL	deleted				
X8FB82	X8FB82		X8FB82_MYCUL	deleted				
X8EZG5	X8EZG5		X8EZG5_MYCUL	deleted				
X8F7H4	X8F7H4		X8F7H4_MYCUL	deleted				
X8FG07	X8FG07		X8FG07_MYCUL	deleted				
X8F524	X8F524		X8F524_MYCUL	deleted				
X8F997	X8F997		X8F997_MYCUL	deleted				
X8F1U4	X8F1U4		X8F1U4_MYCUL	deleted				
X8FJU2	X8FJU2		X8FJU2_MYCUL	deleted				
X8FB07	X8FB07		X8FB07_MYCUL	deleted				
X8F712	X8F712		X8F712_MYCUL	deleted				
X8F3G1	X8F3G1		X8F3G1_MYCUL	deleted				
X8EYZ8	X8EYZ8		X8EYZ8_MYCUL	deleted				
X8FCH0	X8FCH0		X8FCH0_MYCUL	deleted				
X8F5Z3	X8F5Z3		X8F5Z3_MYCUL	deleted				
X8F380	X8F380		X8F380_MYCUL	deleted				
X8F1Y1	X8F1Y1		X8F1Y1_MYCUL	deleted				
X8F3W5	X8F3W5		X8F3W5_MYCUL	deleted				
X8FIM5	X8FIM5		X8FIM5_MYCUL	deleted				
X8FKE4	X8FKE4		X8FKE4_MYCUL	deleted				
X8FDS2	X8FDS2		X8FDS2_MYCUL	deleted				
X8F9P1	X8F9P1		X8F9P1_MYCUL	deleted				
X8FFK5	X8FFK5		X8FFK5_MYCUL	deleted				
X8FCX5	X8FCX5		X8FCX5_MYCUL	deleted				
X8FLE6	X8FLE6		X8FLE6_MYCUL	deleted				
X8FGB0	X8FGB0		X8FGB0_MYCUL	deleted				
X8F4F3	X8F4F3		X8F4F3_MYCUL	deleted				
X8F4N4	X8F4N4		X8F4N4_MYCUL	deleted				
X8F6X4	X8F6X4		X8F6X4_MYCUL	deleted				
X8FIU0	X8FIU0		X8FIU0_MYCUL	deleted				
X8FD19	X8FD19		X8FD19_MYCUL	deleted				
X8FDH2	X8FDH2		X8FDH2_MYCUL	deleted				
X8F1H7	X8F1H7		X8F1H7_MYCUL	deleted				
X8EXZ3	X8EXZ3		X8EXZ3_MYCUL	deleted				
X8FF11	X8FF11		X8FF11_MYCUL	deleted				
X8FLC0	X8FLC0		X8FLC0_MYCUL	deleted				
X8FAQ0	X8FAQ0		X8FAQ0_MYCUL	deleted				
X8F1T1	X8F1T1		X8F1T1_MYCUL	deleted				
X8FKA9	X8FKA9		X8FKA9_MYCUL	deleted				
