From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
O25935	O25935	unreviewed	O25935_HELPY	Uncharacterized protein	HP_1384	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	68	
O25011	O25011	reviewed	MSRAB_HELPY	Peptide methionine sulfoxide reductase MsrA/MsrB [Includes: Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase); Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)]	msrAB msrA HP_0224	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	359	L-methionine:thioredoxin-disulfide S-oxidoreductase activity [GO:0033744]; peptide-methionine (R)-S-oxide reductase activity [GO:0033743]; peptide-methionine (S)-S-oxide reductase activity [GO:0008113]; protein modification process [GO:0036211]; protein repair [GO:0030091]; response to oxidative stress [GO:0006979]
O25709	O25709	unreviewed	O25709_HELPY	Uncharacterized protein	HP_1076	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	171	
O25583	O25583	unreviewed	O25583_HELPY	Geranyltranstransferase (IspA)	HP_0929	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	303	prenyltransferase activity [GO:0004659]; isoprenoid biosynthetic process [GO:0008299]
P56397	P56397	reviewed	UNG_HELPY	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)	ung HP_1347	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	233	cytoplasm [GO:0005737]; uracil DNA N-glycosylase activity [GO:0004844]; base-excision repair, AP site formation via deaminated base removal [GO:0097510]
O25415	O25415	unreviewed	O25415_HELPY	HD domain-containing protein	HP_0711	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	406	
O25346	O25346	unreviewed	O25346_HELPY	DUF262 domain-containing protein	HP_0629	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	681	
O26035	O26035	unreviewed	O26035_HELPY	Riboflavin biosynthesis protein (RibG)	HP_1505	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	344	diaminohydroxyphosphoribosylaminopyrimidine deaminase activity [GO:0008835]
O25497	O25497	unreviewed	O25497_HELPY	Osmoprotection protein (ProV)	HP_0819	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	216	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
O25137	O25137	unreviewed	O25137_HELPY	Outer membrane protein C	HP_0373	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	700	
P56137	P56137	reviewed	PURA_HELPY	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA HP_0255	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	411	cytoplasm [GO:0005737]; adenylosuccinate synthase activity [GO:0004019]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; 'de novo' AMP biosynthetic process [GO:0044208]; IMP metabolic process [GO:0046040]
O07680	O07680	reviewed	Y1070_HELPY	Uncharacterized protein HP_1070 (ORFX)	HP_1070	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	84	
O25781	O25781	reviewed	G6PI_HELPY	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	pgi HP_1166	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	545	cytosol [GO:0005829]; carbohydrate derivative binding [GO:0097367]; glucose-6-phosphate isomerase activity [GO:0004347]; monosaccharide binding [GO:0048029]; gluconeogenesis [GO:0006094]; glucose 6-phosphate metabolic process [GO:0051156]; glycolytic process [GO:0006096]
O26082	O26082	unreviewed	O26082_HELPY	Iron(III) ABC transporter, periplasmic iron-binding protein (CeuE)	HP_1561	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	335	
O25871	O25871	unreviewed	O25871_HELPY	Heptosyltransferase	HP_1284	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	346	cytosol [GO:0005829]; ADP-heptose-lipopolysaccharide heptosyltransferase activity [GO:0008713]; lipopolysaccharide core region biosynthetic process [GO:0009244]
O25295	O25295	unreviewed	O25295_HELPY	Conserved hypothetical integral membrane protein	HP_0571	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	192	plasma membrane [GO:0005886]
