From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
P52697	P52697	reviewed	6PGL_ECOLI	6-phosphogluconolactonase (6-P-gluconolactonase) (Pgl) (EC 3.1.1.31)	pgl ybhE b0767 JW0750	Escherichia coli (strain K12)	331	cytosol [GO:0005829]; 6-phosphogluconolactonase activity [GO:0017057]; glucose metabolic process [GO:0006006]; pentose-phosphate shunt [GO:0006098]
P37748	P37748	reviewed	RFC_ECOLI	O-antigen polymerase	rfc yefF b2035 JW2020	Escherichia coli (strain K12)	388	plasma membrane [GO:0005886]; lipopolysaccharide biosynthetic process [GO:0009103]
P29745	P29745	reviewed	PEPT_ECOLI	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)	pepT b1127 JW1113	Escherichia coli (strain K12)	408	cytosol [GO:0005829]; metallopeptidase activity [GO:0008237]; protein homodimerization activity [GO:0042803]; tripeptide aminopeptidase activity [GO:0045148]; zinc ion binding [GO:0008270]; peptide catabolic process [GO:0043171]; peptide metabolic process [GO:0006518]; proteolysis [GO:0006508]
P55734	P55734	reviewed	YGAP_ECOLI	Inner membrane protein YgaP	ygaP b2668 JW2643	Escherichia coli (strain K12)	174	plasma membrane [GO:0005886]; thiosulfate sulfurtransferase activity [GO:0004792]
P43672	P43672	reviewed	UUP_ECOLI	ATP-binding protein Uup (EC 3.6.1.-)	uup ycbH ycbI b0949 JW0932	Escherichia coli (strain K12)	635	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; ribosome binding [GO:0043022]; postreplication repair [GO:0006301]; response to radiation [GO:0009314]
P0ADE8	P0ADE8	reviewed	YGFZ_ECOLI	tRNA-modifying protein YgfZ	ygfZ yzzW b2898 JW2866	Escherichia coli (strain K12)	326	cytosol [GO:0005829]; folic acid binding [GO:0005542]; iron-sulfur cluster assembly [GO:0016226]; RNA modification [GO:0009451]; tRNA processing [GO:0008033]
P0ADX1	P0ADX1	reviewed	YHFA_ECOLI	Protein YhfA	yhfA b3356 JW3319	Escherichia coli (strain K12)	134	
P0A6C5	P0A6C5	reviewed	ARGA_ECOLI	Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS) (NAGS)	argA b2818 JW2786	Escherichia coli (strain K12)	443	cytoplasm [GO:0005737]; acetyl-CoA:L-glutamate N-acetyltransferase activity [GO:0004042]; glutamate N-acetyltransferase activity [GO:0004358]; methione N-acyltransferase activity [GO:0103045]; arginine biosynthetic process [GO:0006526]
P25519	P25519	reviewed	HFLX_ECOLI	GTPase HflX (GTP-binding protein HflX)	hflX b4173 JW4131	Escherichia coli (strain K12)	426	cytoplasm [GO:0005737]; cytosol [GO:0005829]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; guanosine tetraphosphate binding [GO:0097216]; metal ion binding [GO:0046872]; ribosomal large subunit binding [GO:0043023]; ribosome binding [GO:0043022]; rRNA binding [GO:0019843]; rescue of stalled ribosome [GO:0072344]; response to heat [GO:0009408]; ribosome disassembly [GO:0032790]
P64619	P64619	reviewed	YHDU_ECOLI	Inner membrane protein YhdU	yhdU b3263 JW3231	Escherichia coli (strain K12)	59	plasma membrane [GO:0005886]
