From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
Q58307	Q58307	reviewed	FLAF_METJA	Putative flagella-related protein F	flaF MJ0897	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	139	archaeal-type flagellum [GO:0097589]; membrane [GO:0016020]; structural molecule activity [GO:0005198]; archaeal or bacterial-type flagellum-dependent cell motility [GO:0097588]
Q58473	Q58473	reviewed	RIO2_METJA	RIO-type serine/threonine-protein kinase Rio2 (EC 2.7.11.1)	rio2 MJ1073	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	270	cytosol [GO:0005829]; preribosome, small subunit precursor [GO:0030688]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; maturation of SSU-rRNA [GO:0030490]; phosphorylation [GO:0016310]
Q58839	Q58839	reviewed	FEN_METJA	Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (Flap structure-specific endonuclease 1)	fen MJ1444	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	326	5'-3' exonuclease activity [GO:0008409]; 5'-flap endonuclease activity [GO:0017108]; DNA binding [GO:0003677]; magnesium ion binding [GO:0000287]; DNA repair [GO:0006281]; DNA replication, removal of RNA primer [GO:0043137]
Q58344	Q58344	reviewed	Y934_METJA	Uncharacterized polyferredoxin-like protein MJ0934	MJ0934	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	209	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]
Q57855	Q57855	reviewed	Y412_METJA	Uncharacterized ABC transporter ATP-binding protein MJ0412	MJ0412	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	267	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
Q57564	Q57564	reviewed	ASST_METJA	L-aspartate semialdehyde sulfurtransferase (EC 2.8.1.16)	MJ0100	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	509	transferase activity [GO:0016740]; methionine biosynthetic process [GO:0009086]
Q57627	Q57627	reviewed	Y163_METJA	Uncharacterized protein MJ0163	MJ0163	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	187	membrane [GO:0016020]
Q58050	Q58050	reviewed	SYL_METJA	Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	leuS MJ0633	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	942	cytoplasm [GO:0005737]; aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; leucine-tRNA ligase activity [GO:0004823]; leucyl-tRNA aminoacylation [GO:0006429]
Q57582	Q57582	reviewed	MCRW_METJA	Methyl-coenzyme M reductase II operon protein D	mrtD mtrD MJ0118	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	167	methanogenesis [GO:0015948]
Q57577	Q57577	reviewed	ACDD_METJA	Acetyl-CoA decarbonylase/synthase complex subunit delta (ACDS complex subunit delta) (Corrinoid/iron-sulfur component small subunit)	cdhD MJ0113	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	405	one-carbon metabolic process [GO:0006730]
