From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
A0A0N4UDR1	A0A0N4UDR1	unreviewed	A0A0N4UDR1_DRAME	BTB domain-containing protein	DME_LOCUS588	Dracunculus medinensis (Guinea worm)	378	cytoplasm [GO:0005737]; membrane [GO:0016020]
A0A0N4UBK5	A0A0N4UBK5	unreviewed	A0A0N4UBK5_DRAME	Myosin motor domain-containing protein	DME_LOCUS8472	Dracunculus medinensis (Guinea worm)	357	myosin complex [GO:0016459]; actin binding [GO:0003779]; ATP binding [GO:0005524]; cytoskeletal motor activity [GO:0003774]
A0A0N4UDW9	A0A0N4UDW9	unreviewed	A0A0N4UDW9_DRAME	MFS domain-containing protein	DME_LOCUS9287	Dracunculus medinensis (Guinea worm)	426	membrane [GO:0016020]
A0A0N4UQA6	A0A0N4UQA6	unreviewed	A0A0N4UQA6_DRAME	Cytochrome b-c1 complex subunit Rieske, mitochondrial (EC 7.1.1.8)	DME_LOCUS3694	Dracunculus medinensis (Guinea worm)	204	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]; 2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; ubiquinol-cytochrome-c reductase activity [GO:0008121]
A0A0N4ULK9	A0A0N4ULK9	unreviewed	A0A0N4ULK9_DRAME	Nucleolar complex protein 2 homolog	DME_LOCUS2602	Dracunculus medinensis (Guinea worm)	567	nucleus [GO:0005634]
A0A0N4UF33	A0A0N4UF33	unreviewed	A0A0N4UF33_DRAME	N-acetyltransferase domain-containing protein	DME_LOCUS964	Dracunculus medinensis (Guinea worm)	283	nucleus [GO:0005634]; acyltransferase activity [GO:0016746]; metal ion binding [GO:0046872]; cell cycle [GO:0007049]
A0A0N4U464	A0A0N4U464	unreviewed	A0A0N4U464_DRAME	RRM domain-containing protein	DME_LOCUS5920	Dracunculus medinensis (Guinea worm)	544	nucleus [GO:0005634]; RNA binding [GO:0003723]; mRNA processing [GO:0006397]
A0A0N4UAR4	A0A0N4UAR4	unreviewed	A0A0N4UAR4_DRAME	Histidine acid phosphatase	DME_LOCUS8138	Dracunculus medinensis (Guinea worm)	198	
A0A0N4U344	A0A0N4U344	unreviewed	A0A0N4U344_DRAME	Ig-like domain-containing protein	DME_LOCUS5496	Dracunculus medinensis (Guinea worm)	114	
A0A0N4UAC7	A0A0N4UAC7	unreviewed	A0A0N4UAC7_DRAME	WH1 domain-containing protein	DME_LOCUS457	Dracunculus medinensis (Guinea worm)	543	actin binding [GO:0003779]
A0A0N4UG05	A0A0N4UG05	unreviewed	A0A0N4UG05_DRAME	DNA-directed RNA polymerase subunit beta (EC 2.7.7.6)	DME_LOCUS9508	Dracunculus medinensis (Guinea worm)	1165	DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; metal ion binding [GO:0046872]; ribonucleoside binding [GO:0032549]; DNA-templated transcription [GO:0006351]
A0A0N4UA23	A0A0N4UA23	unreviewed	A0A0N4UA23_DRAME	WD_REPEATS_REGION domain-containing protein	DME_LOCUS7975	Dracunculus medinensis (Guinea worm)	326	cilium [GO:0005929]; cytoplasmic dynein complex [GO:0005868]; dynein heavy chain binding [GO:0045504]; dynein light chain binding [GO:0045503]; intraciliary transport [GO:0042073]
A0A158Q3Z7	A0A158Q3Z7	unreviewed	A0A158Q3Z7_DRAME	Protein kinase domain-containing protein	DME_LOCUS7692	Dracunculus medinensis (Guinea worm)	745	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]
