From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
Q4CYB7	Q4CYB7	unreviewed	Q4CYB7_TRYCC	Ribosomal protein L38, putative	Tc00.1047053503881.39	Trypanosoma cruzi (strain CL Brener)	82	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
Q4DNY3	Q4DNY3	unreviewed	Q4DNY3_TRYCC	Paraflagellar rod protein, putative	Tc00.1047053509099.30	Trypanosoma cruzi (strain CL Brener)	741	motile cilium [GO:0031514]; calmodulin binding [GO:0005516]
Q4E0E7	Q4E0E7	unreviewed	Q4E0E7_TRYCC	Mucin TcMUCII, putative	Tc00.1047053508999.60	Trypanosoma cruzi (strain CL Brener)	175	
Q4DPK8	Q4DPK8	unreviewed	Q4DPK8_TRYCC	Vesicle-associated membrane protein, putative	Tc00.1047053507801.179	Trypanosoma cruzi (strain CL Brener)	222	membrane [GO:0016020]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; vesicle-mediated transport [GO:0016192]
Q4D439	Q4D439	unreviewed	Q4D439_TRYCC	Ubiquitin-conjugating enzyme-like, putative	Tc00.1047053503999.50 Tc00.1047053509591.10	Trypanosoma cruzi (strain CL Brener)	138	
Q4DZM9	Q4DZM9	unreviewed	Q4DZM9_TRYCC	ADP-ribosylation factor-like protein, putative	Tc00.1047053504147.160	Trypanosoma cruzi (strain CL Brener)	179	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein transport [GO:0015031]
Q4E5T8	Q4E5T8	unreviewed	Q4E5T8_TRYCC	Uncharacterized protein	Tc00.1047053508221.850	Trypanosoma cruzi (strain CL Brener)	174	membrane [GO:0016020]
Q4CXU1	Q4CXU1	unreviewed	Q4CXU1_TRYCC	RNA cytidine acetyltransferase (EC 2.3.1.-) (18S rRNA cytosine acetyltransferase)	Tc00.1047053509177.30	Trypanosoma cruzi (strain CL Brener)	1043	nucleolus [GO:0005730]; ATP binding [GO:0005524]; N-acetyltransferase activity [GO:0008080]; ribosomal small subunit biogenesis [GO:0042274]; rRNA modification [GO:0000154]; tRNA acetylation [GO:0051391]
Q4DDR6	Q4DDR6	unreviewed	Q4DDR6_TRYCC	Mucin-associated surface protein (MASP), putative	Tc00.1047053508493.110	Trypanosoma cruzi (strain CL Brener)	493	
Q4E0U2	Q4E0U2	unreviewed	Q4E0U2_TRYCC	Transmembrane protein	Tc00.1047053509965.170	Trypanosoma cruzi (strain CL Brener)	305	membrane [GO:0016020]
Q4DQJ6	Q4DQJ6	unreviewed	Q4DQJ6_TRYCC	Cytochrome c oxidase subunit IX, putative	Tc00.1047053507723.100	Trypanosoma cruzi (strain CL Brener)	124	membrane [GO:0016020]
Q4D593	Q4D593	unreviewed	Q4D593_TRYCC	Uncharacterized protein	Tc00.1047053505965.80	Trypanosoma cruzi (strain CL Brener)	221	
Q4DQA3	Q4DQA3	unreviewed	Q4DQA3_TRYCC	Mucin-associated surface protein (MASP), putative	Tc00.1047053506757.50	Trypanosoma cruzi (strain CL Brener)	215	membrane [GO:0016020]
Q4CWZ8	Q4CWZ8	unreviewed	Q4CWZ8_TRYCC	Enriched in surface-labeled proteome protein 18	Tc00.1047053508661.70	Trypanosoma cruzi (strain CL Brener)	253	membrane [GO:0016020]
Q4DVB5	Q4DVB5	unreviewed	Q4DVB5_TRYCC	Mucin-associated surface protein (MASP), putative	Tc00.1047053508761.70	Trypanosoma cruzi (strain CL Brener)	401	
Q4DGC4	Q4DGC4	unreviewed	Q4DGC4_TRYCC	Mucin-associated surface protein (MASP), putative	Tc00.1047053510371.100	Trypanosoma cruzi (strain CL Brener)	379	
Q4CX50	Q4CX50	unreviewed	Q4CX50_TRYCC	tRNA-dihydrouridine synthase 2, putative	Tc00.1047053504203.29	Trypanosoma cruzi (strain CL Brener)	430	cytoplasm [GO:0005737]; flavin adenine dinucleotide binding [GO:0050660]; tRNA dihydrouridine synthase activity [GO:0017150]
Q4E2C7	Q4E2C7	unreviewed	Q4E2C7_TRYCC	Microtubule-associated protein	Tc00.1047053509979.379	Trypanosoma cruzi (strain CL Brener)	335	
Q4D7U9	Q4D7U9	unreviewed	Q4D7U9_TRYCC	Transmembrane protein	Tc00.1047053506591.10	Trypanosoma cruzi (strain CL Brener)	178	membrane [GO:0016020]
Q4D563	Q4D563	unreviewed	Q4D563_TRYCC	Uncharacterized protein	Tc00.1047053506883.90	Trypanosoma cruzi (strain CL Brener)	464	membrane [GO:0016020]
Q4D969	Q4D969	unreviewed	Q4D969_TRYCC	Uncharacterized protein	Tc00.1047053506691.70	Trypanosoma cruzi (strain CL Brener)	267	
Q4E1F9	Q4E1F9	unreviewed	Q4E1F9_TRYCC	90 kDa surface protein, putative	Tc00.1047053510483.280	Trypanosoma cruzi (strain CL Brener)	342	
Q4D3B3	Q4D3B3	unreviewed	Q4D3B3_TRYCC	Short-chain dehydrogenase	Tc00.1047053508413.20	Trypanosoma cruzi (strain CL Brener)	428	
Q4D8E2	Q4D8E2	unreviewed	Q4D8E2_TRYCC	Kinesin, putative	Tc00.1047053510611.30	Trypanosoma cruzi (strain CL Brener)	1002	ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; microtubule-based movement [GO:0007018]
Q4DNJ3	Q4DNJ3	unreviewed	Q4DNJ3_TRYCC	Basal body-orientation factor 1	Tc00.1047053509791.30	Trypanosoma cruzi (strain CL Brener)	583	
Q4CLF6	Q4CLF6	unreviewed	Q4CLF6_TRYCC	Dispersed gene family protein 1 (DGF-1), putative	Tc00.1047053511103.9	Trypanosoma cruzi (strain CL Brener)	627	
Q4CL36	Q4CL36	unreviewed	Q4CL36_TRYCC	NADH-dependent fumarate reductase, putative	Tc00.1047053439653.10	Trypanosoma cruzi (strain CL Brener)	142	oxidoreductase activity [GO:0016491]
Q4DEE4	Q4DEE4	unreviewed	Q4DEE4_TRYCC	Actin-like protein, putative	Tc00.1047053506405.30	Trypanosoma cruzi (strain CL Brener)	372	membrane-bounded organelle [GO:0043227]
Q4D162	Q4D162	unreviewed	Q4D162_TRYCC	Uncharacterized protein	Tc00.1047053509745.40	Trypanosoma cruzi (strain CL Brener)	503	
Q4D100	Q4D100	unreviewed	Q4D100_TRYCC	Aminomethyltransferase (EC 2.1.2.10) (Glycine cleavage system T protein)	Tc00.1047053504017.40	Trypanosoma cruzi (strain CL Brener)	373	mitochondrion [GO:0005739]; aminomethyltransferase activity [GO:0004047]; transaminase activity [GO:0008483]; glycine catabolic process [GO:0006546]
Q4DHH3	Q4DHH3	unreviewed	Q4DHH3_TRYCC	Tyrosine specific protein phosphatases domain-containing protein	Tc00.1047053510265.70	Trypanosoma cruzi (strain CL Brener)	755	phosphatase activity [GO:0016791]; dephosphorylation [GO:0016311]
Q4DWH5	Q4DWH5	unreviewed	Q4DWH5_TRYCC	HECT-type E3 ubiquitin transferase (EC 2.3.2.26)	Tc00.1047053511725.160	Trypanosoma cruzi (strain CL Brener)	1632	ubiquitin protein ligase activity [GO:0061630]; ubiquitin-dependent protein catabolic process [GO:0006511]
Q4CVN9	Q4CVN9	unreviewed	Q4CVN9_TRYCC	Mucin TcMUCII, putative	Tc00.1047053510015.20	Trypanosoma cruzi (strain CL Brener)	242	
Q4E2H3	Q4E2H3	unreviewed	Q4E2H3_TRYCC	Mucin TcMUCII, putative	Tc00.1047053509525.120	Trypanosoma cruzi (strain CL Brener)	215	
Q4DLH6	Q4DLH6	unreviewed	Q4DLH6_TRYCC	Leucine-rich repeat protein (LRRP)	Tc00.1047053503823.50	Trypanosoma cruzi (strain CL Brener)	365	cilium [GO:0005929]
Q4CUJ7	Q4CUJ7	unreviewed	Q4CUJ7_TRYCC	Uncharacterized protein	Tc00.1047053503851.40	Trypanosoma cruzi (strain CL Brener)	867	
