From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
A0A0D2H3U9	A0A0D2H3U9	unreviewed	A0A0D2H3U9_9EURO	5-oxoprolinase	Z517_00937	Fonsecaea pedrosoi CBS 271.37	1305	hydrolase activity [GO:0016787]
A0A0D2H3K8	A0A0D2H3K8	unreviewed	A0A0D2H3K8_9EURO	Uncharacterized protein	Z517_00840	Fonsecaea pedrosoi CBS 271.37	564	catalytic activity [GO:0003824]
A0A0D2G2S6	A0A0D2G2S6	unreviewed	A0A0D2G2S6_9EURO	Importin N-terminal domain-containing protein	Z517_11809	Fonsecaea pedrosoi CBS 271.37	1057	nucleus [GO:0005634]; small GTPase binding [GO:0031267]; intracellular protein transport [GO:0006886]
A0A0D2FGF3	A0A0D2FGF3	unreviewed	A0A0D2FGF3_9EURO	Branched-chain-amino-acid aminotransferase (EC 2.6.1.42)	Z517_01174	Fonsecaea pedrosoi CBS 271.37	426	L-isoleucine transaminase activity [GO:0052656]; L-leucine transaminase activity [GO:0052654]; L-leucine:2-oxoglutarate aminotransferase activity [GO:0050048]; L-valine transaminase activity [GO:0052655]; amino acid biosynthetic process [GO:0008652]; branched-chain amino acid biosynthetic process [GO:0009082]
A0A0D2DGT3	A0A0D2DGT3	unreviewed	A0A0D2DGT3_9EURO	Heterokaryon incompatibility domain-containing protein	Z517_09335	Fonsecaea pedrosoi CBS 271.37	230	
A0A0D2GMS8	A0A0D2GMS8	unreviewed	A0A0D2GMS8_9EURO	PNPLA domain-containing protein	Z517_06460	Fonsecaea pedrosoi CBS 271.37	983	metal ion binding [GO:0046872]
A0A0D2DTT9	A0A0D2DTT9	unreviewed	A0A0D2DTT9_9EURO	TauD/TfdA-like domain-containing protein	Z517_04241	Fonsecaea pedrosoi CBS 271.37	506	dioxygenase activity [GO:0051213]; metal ion binding [GO:0046872]
A0A0D2GJQ0	A0A0D2GJQ0	unreviewed	A0A0D2GJQ0_9EURO	Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating])	Z517_08639	Fonsecaea pedrosoi CBS 271.37	299	nicotinate-nucleotide diphosphorylase (carboxylating) activity [GO:0004514]; NAD biosynthetic process [GO:0009435]
A0A0D2G1L6	A0A0D2G1L6	unreviewed	A0A0D2G1L6_9EURO	Pyruvate decarboxylase (EC 4.1.1.1)	Z517_11468	Fonsecaea pedrosoi CBS 271.37	578	magnesium ion binding [GO:0000287]; pyruvate decarboxylase activity [GO:0004737]; thiamine pyrophosphate binding [GO:0030976]
A0A0D2GNQ9	A0A0D2GNQ9	unreviewed	A0A0D2GNQ9_9EURO	Transcription factor 25	Z517_05610	Fonsecaea pedrosoi CBS 271.37	898	cytoplasm [GO:0005737]
