From	To
Q9BZJ8	CHEMBL4523918
P51817	CHEMBL5818
Q9UDW1	CHEMBL2388
P0DMM9	CHEMBL1743293
Q7Z7B1	CHEMBL4523365
Q96FL8	CHEMBL1743126
P35030	CHEMBL4551
P08514	CHEMBL212
P98077	CHEMBL3299
P20853	CHEMBL4523986
O60235	CHEMBL1795138
Q9NS67	CHEMBL4523923
P30530	CHEMBL4895
P00338	CHEMBL4835
P05771	CHEMBL3045
O14842	CHEMBL4422
Q99523	CHEMBL3091
P30518	CHEMBL1790
O60733	CHEMBL3213
P13010	CHEMBL4106136
P21462	CHEMBL3359
P01100	CHEMBL5029
P04839	CHEMBL1287627
P11802	CHEMBL331
P22102	CHEMBL3972
Q9Y6E7	CHEMBL2163185
Q9BUT1	CHEMBL5169190
P23469	CHEMBL4850
Q6P587	CHEMBL4523346
P27487	CHEMBL284
Q13443	CHEMBL5982
Q9NS61	CHEMBL2189164
Q8WVB3	CHEMBL5169180
Q96RU2	CHEMBL2157853
Q99439	CHEMBL4295930
P00558	CHEMBL2886
Q9Y657	CHEMBL4523509
O94966	CHEMBL4523156
Q9UBX1	CHEMBL2517
P35348	CHEMBL229
Q53EL6	CHEMBL1781868
Q9BQT8	CHEMBL4680040
P08151	CHEMBL5461
O95456	CHEMBL3885624
P49336	CHEMBL5719
P16471	CHEMBL5588
Q96JH7	CHEMBL4630849
P14555	CHEMBL3474
P06737	CHEMBL2568
Q00653	CHEMBL3003
Q96DB2	CHEMBL3310
Q9UBC3	CHEMBL6095
Q96P11	CHEMBL4802014
P01106	CHEMBL1250348
P47871	CHEMBL1985
P08648	CHEMBL3955
P13051	CHEMBL3277
O96020	CHEMBL2094126
O96020	CHEMBL4523633
O96020	CHEMBL4523635
O76082	CHEMBL2073693
P51810	CHEMBL4523867
Q8TBE9	CHEMBL2401602
Q8TDN1	CHEMBL2362996
P19793	CHEMBL2061
P04054	CHEMBL4426
P46098	CHEMBL1899
Q9HB55	CHEMBL5792
P49768	CHEMBL2473
P24903	CHEMBL4523986
Q99895	CHEMBL2386
P27338	CHEMBL2039
Q9UBN7	CHEMBL1865
P20701	CHEMBL1803
O00338	CHEMBL1743295
Q9Y466	CHEMBL1961788
Q9BV47	CHEMBL2295562
Q96PD7	CHEMBL5853
P43304	CHEMBL3391681
O75795	CHEMBL4978
Q8NCG7	CHEMBL5521
O00625	CHEMBL2010627
P11940	CHEMBL1293286
Q13153	CHEMBL4600
Q96PD4	CHEMBL4630880
P16671	CHEMBL1744526
P17858	CHEMBL2191
Q16819	CHEMBL4105775
P02788	CHEMBL4523161
P26715	CHEMBL4630892
O75351	CHEMBL2311229
Q6V1X1	CHEMBL4657
P25788	CHEMBL2364701
P25788	CHEMBL3831201
Q00975	CHEMBL4478
Q9NQY0	CHEMBL4295959
Q02161	CHEMBL3712996
Q13002	CHEMBL3683
P59768	CHEMBL3883319
Q12974	CHEMBL1075105
Q6IQ23	CHEMBL4296241
P30838	CHEMBL3578
P02489	CHEMBL4296283
A4QPH2	CHEMBL4105789
P98073	CHEMBL1741195
P02585	CHEMBL3831282
Q969Z3	CHEMBL4523423
Q5VYK3	CHEMBL4295853
P62070	CHEMBL4879446
O95870	CHEMBL6168
Q9NYY1	CHEMBL3713449
Q9Y3S1	CHEMBL5639
Q03013	CHEMBL2100
P20393	CHEMBL1961783
