From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
P71336	P71336	reviewed	Y052_HAEIN	Uncharacterized protein HI_0052	HI_0052	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	328	outer membrane-bounded periplasmic space [GO:0030288]; organic substance transport [GO:0071702]; transmembrane transport [GO:0055085]
P44987	P44987	reviewed	BIOB_HAEIN	Biotin synthase (EC 2.8.1.6)	bioB HI_1022	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	333	2 iron, 2 sulfur cluster binding [GO:0051537]; 4 iron, 4 sulfur cluster binding [GO:0051539]; biotin synthase activity [GO:0004076]; iron ion binding [GO:0005506]; biotin biosynthetic process [GO:0009102]
P44009	P44009	reviewed	APHA_HAEIN	Class B acid phosphatase (CBAP) (EC 3.1.3.2)	aphA napA HI_0494/HI_0495	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	236	outer membrane-bounded periplasmic space [GO:0030288]; acid phosphatase activity [GO:0003993]; metal ion binding [GO:0046872]
P44715	P44715	reviewed	PTFAH_HAEIN	Multiphosphoryl transfer protein (MTP) (Diphosphoryl transfer protein) (DTP) (Phosphotransferase FPr protein) (Pseudo-HPr) [Includes: Phosphocarrier protein HPr (Protein H); PTS system fructose-specific EIIA component (EIIA-Fru) (EIII-Fru) (Fructose-specific phosphotransferase enzyme IIA component)]	fruB HI_0448	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	499	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; kinase activity [GO:0016301]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; phosphorylation [GO:0016310]
P43867	P43867	reviewed	CLPP_HAEIN	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp)	clpP HI_0714	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	193	cytoplasm [GO:0005737]; endopeptidase Clp complex [GO:0009368]; ATP-dependent peptidase activity [GO:0004176]; ATPase binding [GO:0051117]; serine-type endopeptidase activity [GO:0004252]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]
Q57201	Q57201	reviewed	Y1457_HAEIN	Uncharacterized protein HI_1457	HI_1457	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	178	cell outer membrane [GO:0009279]; porin activity [GO:0015288]
P71348	P71348	reviewed	ALAA_HAEIN	Glutamate-pyruvate aminotransferase AlaA (EC 2.6.1.2)	alaA HI_0286	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	404	L-alanine:2-oxoglutarate aminotransferase activity [GO:0004021]; pyridoxal phosphate binding [GO:0030170]; D-alanine biosynthetic process [GO:0030632]
P44571	P44571	reviewed	RIBA_HAEIN	GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)	ribA HI_0212	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	216	cytosol [GO:0005829]; GTP binding [GO:0005525]; GTP cyclohydrolase II activity [GO:0003935]; zinc ion binding [GO:0008270]; riboflavin biosynthetic process [GO:0009231]
P45215	P45215	reviewed	Y1459_HAEIN	Probable RNA polymerase sigma factor HI_1459	HI_1459	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	194	DNA binding [GO:0003677]; sigma factor activity [GO:0016987]; DNA-templated transcription initiation [GO:0006352]; regulation of DNA-templated transcription [GO:0006355]
P45070	P45070	reviewed	LPXC_HAEIN	UDP-3-O-acyl-N-acetylglucosamine deacetylase (UDP-3-O-acyl-GlcNAc deacetylase) (EC 3.5.1.108) (UDP-3-O-[R-3-hydroxymyristoyl]-N-acetylglucosamine deacetylase)	lpxC envA HI_1144	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	305	metal ion binding [GO:0046872]; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity [GO:0008759]; UDP-3-O-acyl-N-acetylglucosamine deacetylase activity [GO:0103117]; lipid A biosynthetic process [GO:0009245]
