From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
A0A1D8PT36	A0A1D8PT36	unreviewed	A0A1D8PT36_CANAL	Mhp1p	MHP1 CAALFM_CR05920CA orf19.13942	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	1209	cellular response to starvation [GO:0009267]; filamentous growth [GO:0030447]; filamentous growth of a population of unicellular organisms in response to biotic stimulus [GO:0036180]; filamentous growth of a population of unicellular organisms in response to starvation [GO:0036170]
A0A1D8PJ24	A0A1D8PJ24	unreviewed	A0A1D8PJ24_CANAL	Uncharacterized protein	CAALFM_C301060WA orf19.2509.1	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	69	
P46598	P46598	reviewed	HSP90_CANAL	Heat shock protein 90 homolog	HSP90 CAALFM_C702030WA CaJ7.0234 CaO19.13868 CaO19.6515	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	707	cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular vesicle [GO:1903561]; fungal-type cell wall [GO:0009277]; hyphal cell wall [GO:0030446]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]; cellular response to heat [GO:0034605]; filamentous growth [GO:0030447]; filamentous growth of a population of unicellular organisms [GO:0044182]; intracellular steroid hormone receptor signaling pathway [GO:0030518]; negative regulation of filamentous growth of a population of unicellular organisms [GO:1900429]; protein folding [GO:0006457]; protein stabilization [GO:0050821]; regulation of apoptotic process [GO:0042981]
A0A1D8PJF4	A0A1D8PJF4	unreviewed	A0A1D8PJF4_CANAL	Uncharacterized protein	CAALFM_C302330CA orf19.9179	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	310	
A0A1D8PPT1	A0A1D8PPT1	unreviewed	A0A1D8PPT1_CANAL	Uncharacterized protein	CAALFM_C602110WA orf19.10992	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	363	
A0A1D8PS74	A0A1D8PS74	unreviewed	A0A1D8PS74_CANAL	ER membrane protein complex subunit 5	CAALFM_CR02380CA orf19.11214	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	135	EMC complex [GO:0072546]; establishment of localization [GO:0051234]
A0A1D8PEY7	A0A1D8PEY7	unreviewed	A0A1D8PEY7_CANAL	BED-type domain-containing protein	CAALFM_C110410WA orf19.8596	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	320	DNA binding [GO:0003677]; metal ion binding [GO:0046872]
A0A1D8PPH7	A0A1D8PPH7	unreviewed	A0A1D8PPH7_CANAL	VASt domain-containing protein	CAALFM_C600890WA orf19.7736	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	754	cortical endoplasmic reticulum [GO:0032541]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-plasma membrane contact site [GO:0140268]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; sterol binding [GO:0032934]; sterol transfer activity [GO:0120015]; intracellular sterol transport [GO:0032366]
Q59M47	Q59M47	unreviewed	Q59M47_CANAL	Armadillo-like helical domain-containing protein	CAALFM_CR05500CA orf19.13274	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	878	
A0A1D8PM89	A0A1D8PM89	unreviewed	A0A1D8PM89_CANAL	Uncharacterized protein	CAALFM_C405160CA orf19.8365	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	515	cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; ESCRT III complex [GO:0000815]; multivesicular body [GO:0005771]; late endosome to vacuole transport via multivesicular body sorting pathway [GO:0032511]; vesicle budding from membrane [GO:0006900]
Q59SC9	Q59SC9	unreviewed	Q59SC9_CANAL	Uncharacterized protein	CAALFM_C208920WA orf19.7847	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	582	
A0A1D8PQR7	A0A1D8PQR7	unreviewed	A0A1D8PQR7_CANAL	PWWP domain-containing protein	CAALFM_C700910CA orf19.7023	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	393	nucleus [GO:0005634]; chromatin remodeling [GO:0006338]
A0A1D8PGZ6	A0A1D8PGZ6	unreviewed	A0A1D8PGZ6_CANAL	Ino eighty subunit 1	CAALFM_C203900CA orf19.8455	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	786	Ino80 complex [GO:0031011]
Q59VF9	Q59VF9	reviewed	RSA3_CANAL	Ribosome assembly protein 3	RSA3 CAALFM_C104710CA CaO19.773 CaO19.8395	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	195	nucleolus [GO:0005730]; preribosome, large subunit precursor [GO:0030687]; ribosomal large subunit assembly [GO:0000027]
Q5AMR4	Q5AMR4	unreviewed	Q5AMR4_CANAL	Exosome non-catalytic core subunit	CAALFM_C402090CA orf19.12051	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	240	chromatin [GO:0000785]; cytoplasmic exosome (RNase complex) [GO:0000177]; nuclear exosome (RNase complex) [GO:0000176]; nucleolus [GO:0005730]; exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000467]; nonfunctional rRNA decay [GO:0070651]; nuclear mRNA surveillance [GO:0071028]; nuclear mRNA surveillance of mRNA 3'-end processing [GO:0071031]; nuclear polyadenylation-dependent CUT catabolic process [GO:0071039]; nuclear polyadenylation-dependent tRNA catabolic process [GO:0071038]; nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay [GO:0070478]; nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5' [GO:0034427]; nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481]; polyadenylation-dependent snoRNA 3'-end processing [GO:0071051]; rRNA catabolic process [GO:0016075]; termination of RNA polymerase II transcription, exosome-dependent [GO:0030847]; U1 snRNA 3'-end processing [GO:0034473]; U4 snRNA 3'-end processing [GO:0034475]; U5 snRNA 3'-end processing [GO:0034476]
Q5AJD9	Q5AJD9	unreviewed	Q5AJD9_CANAL	Acyl-coenzyme A oxidase	POX1-3 CAALFM_C301960CA orf19.9221	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	709	peroxisome [GO:0005777]; acyl-CoA oxidase activity [GO:0003997]; FAD binding [GO:0071949]; fatty acid binding [GO:0005504]; flavin adenine dinucleotide binding [GO:0050660]; fatty acid beta-oxidation using acyl-CoA oxidase [GO:0033540]; lipid homeostasis [GO:0055088]
Q59WJ4	Q59WJ4	reviewed	PFS2_CANAL	Polyadenylation factor subunit 2	PFS2 CAALFM_C111090CA CaO19.2307 CaO19.9843	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	543	chromatin [GO:0000785]; mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; chromosome segregation [GO:0007059]; co-transcriptional mRNA 3'-end processing, cleavage and polyadenylation pathway [GO:0180010]; mRNA polyadenylation [GO:0006378]
Q5A1M9	Q5A1M9	unreviewed	Q5A1M9_CANAL	18S rRNA (Guanine1575-N7)-methyltransferase	BUD23 CAALFM_C501060CA orf19.9522	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	271	cytoplasm [GO:0005737]; nucleolus [GO:0005730]; tRNA methyltransferase complex [GO:0043527]; rRNA (guanine) methyltransferase activity [GO:0016435]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; ribosomal small subunit export from nucleus [GO:0000056]; rRNA (guanine-N7)-methylation [GO:0070476]
Q59XL0	Q59XL0	reviewed	IFF6_CANAL	Cell wall protein IFF6 (Adhesin-like protein IFF6) (Hyphally regulated cell wall protein 10)	IFF6 HYR10 CAALFM_C209130CA CaO19.11553 CaO19.4072	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	1085	cell surface [GO:0009986]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; side of membrane [GO:0098552]
A0A1D8PJ90	A0A1D8PJ90	unreviewed	A0A1D8PJ90_CANAL	Peptidase A2 domain-containing protein	CAALFM_C301670WA orf19.9246	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	265	cellular anatomical entity [GO:0110165]; aspartic-type endopeptidase activity [GO:0004190]; proteolysis [GO:0006508]
A0A1D8PGA6	A0A1D8PGA6	unreviewed	A0A1D8PGA6_CANAL	Proteasome regulatory particle lid subunit	RPN9 CAALFM_C201320WA orf19.9545	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	413	cytosol [GO:0005829]; nucleus [GO:0005634]; proteasome regulatory particle, lid subcomplex [GO:0008541]; structural molecule activity [GO:0005198]; ubiquitin-dependent protein catabolic process [GO:0006511]
A0A1D8PJC5	A0A1D8PJC5	unreviewed	A0A1D8PJC5_CANAL	Phospholipid/glycerol acyltransferase domain-containing protein	CAALFM_C302010CA orf19.9216	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	341	endomembrane system [GO:0012505]; endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; acyltransferase activity [GO:0016746]; phosphatidylinositol acyl-chain remodeling [GO:0036149]
Q59V92	Q59V92	unreviewed	Q59V92_CANAL	Type II HSP40 co-chaperone	SIS1 CAALFM_CR06080WA orf19.11342	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	343	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; nucleus [GO:0005634]; protein aggregate center [GO:0140453]; misfolded protein binding [GO:0051787]; protein-folding chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]; chaperone cofactor-dependent protein refolding [GO:0051085]; misfolded protein transport [GO:0070843]; mitochondria-associated ubiquitin-dependent protein catabolic process [GO:0072671]; nuclear protein quality control by the ubiquitin-proteasome system [GO:0071630]; translational initiation [GO:0006413]; tRNA import into nucleus [GO:0035719]
A0A1D8PFH2	A0A1D8PFH2	unreviewed	A0A1D8PFH2_CANAL	Ribosome biosynthesis protein	CAALFM_C112680WA orf19.13712	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	517	nucleolus [GO:0005730]; unfolded protein binding [GO:0051082]; ribosome biogenesis [GO:0042254]
Q5A287	Q5A287	reviewed	SFL1_CANAL	Transcription factor SFL1	SFL1 CAALFM_CR05990CA CaO19.454 CaO19.8085	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	805	nuclear chromosome [GO:0000228]; nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; filamentous growth [GO:0030447]; filamentous growth of a population of unicellular organisms [GO:0044182]; flocculation [GO:0000128]; negative regulation of filamentous growth of a population of unicellular organisms [GO:1900429]; negative regulation of transcription by RNA polymerase II [GO:0000122]; quorum sensing [GO:0009372]; regulation of transcription by RNA polymerase II [GO:0006357]
A0A1D8PS67	A0A1D8PS67	unreviewed	A0A1D8PS67_CANAL	Cex1p	CEX1 CAALFM_CR02250CA orf19.11229	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	745	cytoplasm [GO:0005737]; tRNA export from nucleus [GO:0006409]
A0A1D8PNH1	A0A1D8PNH1	unreviewed	A0A1D8PNH1_CANAL	PH domain-containing protein	OPY1 CAALFM_C502370CA orf19.11720	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	448	
A0A1D8PL40	A0A1D8PL40	unreviewed	A0A1D8PL40_CANAL	Uncharacterized protein	CAALFM_C400730CA orf19.11645	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	130	
A0A1D8PM62	A0A1D8PM62	unreviewed	A0A1D8PM62_CANAL	Ribonuclease III	DCR1 CAALFM_C404830WA orf19.11277	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	611	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; double-stranded RNA binding [GO:0003725]; ribonuclease III activity [GO:0004525]; RNA-dependent RNA polymerase activity [GO:0003968]; miRNA processing [GO:0035196]; rRNA processing [GO:0006364]; siRNA processing [GO:0030422]; termination of RNA polymerase II transcription [GO:0006369]; U4 snRNA 3'-end processing [GO:0034475]
Q5AHG8	Q5AHG8	unreviewed	Q5AHG8_CANAL	Mitochondrial 54S ribosomal protein YmL24/YmL14	CAALFM_C203950WA orf19.8448	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	265	mitochondrial large ribosomal subunit [GO:0005762]; structural constituent of ribosome [GO:0003735]
Q59SS6	Q59SS6	unreviewed	Q59SS6_CANAL	Uncharacterized protein	CAALFM_C303740WA orf19.14205	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	109	
Q5AGB5	Q5AGB5	unreviewed	Q5AGB5_CANAL	Uncharacterized protein	CAALFM_C502520WA orf19.11740	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	301	
P0CY31	P0CY31	reviewed	SEC4_CANAL	Ras-related protein SEC4	SEC4 CAALFM_CR01750CA Ca49C4.03c CaO19.10103 CaO19.2571	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	210	cellular bud tip [GO:0005934]; endosome [GO:0005768]; extracellular vesicle [GO:1903561]; incipient cellular bud site [GO:0000131]; mating projection tip [GO:0043332]; plasma membrane [GO:0005886]; spitzenkorper [GO:0031521]; transport vesicle membrane [GO:0030658]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ascospore-type prospore assembly [GO:0031321]; autophagy [GO:0006914]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; membrane addition at site of cytokinesis [GO:0007107]; protein localization to plasma membrane [GO:0072659]; protein secretion [GO:0009306]; regulation of exocytosis [GO:0017157]; vesicle docking involved in exocytosis [GO:0006904]; vesicle fusion [GO:0006906]; vesicle targeting [GO:0006903]
A0A1D8PJX4	A0A1D8PJX4	unreviewed	A0A1D8PJX4_CANAL	Bifunctional glutathione transferase/peroxidase	GTT12 CAALFM_C303600CA orf19.7992	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	249	transferase activity [GO:0016740]
Q5AD39	Q5AD39	unreviewed	Q5AD39_CANAL	peptide-methionine (S)-S-oxide reductase (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase)	MXR1 CAALFM_C200960CA orf19.9576	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	185	cytoplasm [GO:0005737]; L-methionine-(S)-S-oxide reductase activity [GO:0036456]; peptide-methionine (S)-S-oxide reductase activity [GO:0008113]; cellular response to oxidative stress [GO:0034599]
A0A1D8PTB6	A0A1D8PTB6	unreviewed	A0A1D8PTB6_CANAL	Protein kish	CAALFM_CR06850CA orf19.1848.1	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	71	Golgi membrane [GO:0000139]; intracellular transport [GO:0046907]; protein secretion [GO:0009306]
Q5ADR1	Q5ADR1	unreviewed	Q5ADR1_CANAL	precorrin-2 dehydrogenase (EC 1.3.1.76)	MET8 CAALFM_C307210WA orf19.14072	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	285	ferrochelatase activity [GO:0004325]; precorrin-2 dehydrogenase activity [GO:0043115]; siroheme biosynthetic process [GO:0019354]
