From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
A0A132P316	A0A132P316	unreviewed	A0A132P316_ENTFC	L-ascorbate 6-phosphate lactonase, UlaG (L-ascorbate-6-phosphate lactonase (EC 3.1.1.-))	ulaG AWT83_14410 B1P95_11100 B4W81_13650 CUM68_00190 CUN04_12890 DPX30_05500 EB12_01306 EB44_01288 EFM1CSP_05160 EfmJHP36_13430 FHK66_01290 GBM44_05270 GBM73_04495 IQN16_04845 J8Y33_002367 KT858_002072 KYX88_12300 M3X98_12710	Enterococcus faecium (Streptococcus faecium)	355	hydrolase activity [GO:0016787]
A0A132PAD8	A0A132PAD8	unreviewed	A0A132PAD8_ENTFC	Aspartate carbamoyltransferase (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)	pyrB AWT83_12765 B1P95_01850 B4W81_12010 BU183_07905 CQR37_03690 CUM68_01260 CUN04_10800 CUS10_04365 DPX30_07890 EB12_00960 EB44_00948 EfmJHP36_16830 FHK66_02990 FIU59_01375 GBM44_06915 GBM73_02920 IQN16_06465 J8Y33_001110 KT858_002013 KYX88_09800 M3X98_05105	Enterococcus faecium (Streptococcus faecium)	308	amino acid binding [GO:0016597]; aspartate carbamoyltransferase activity [GO:0004070]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; amino acid metabolic process [GO:0006520]
A0A132Z0F8	A0A132Z0F8	unreviewed	A0A132Z0F8_ENTFC	LacI family DNA-binding transcriptional regulator (LacI family transcriptional regulator)	AWT83_13705 B1P95_08925 B4W81_13035 CUM68_01660 CUN04_03875 CUS10_09755 DPX30_06080 EB12_01146 EB44_01132 EfmJHP36_14850 FIU59_00715 GBM44_05920 GBM73_03895 IQN16_05505 J8Y33_001870 KT858_002444 KYX88_05710	Enterococcus faecium (Streptococcus faecium)	315	DNA binding [GO:0003677]; regulation of DNA-templated transcription [GO:0006355]
A0A5P3FYP0	A0A5P3FYP0		A0A5P3FYP0_ENTFC	deleted				
A0A132Z6C3	A0A132Z6C3	unreviewed	A0A132Z6C3_ENTFC	Dihydroxyacetone kinase subunit DhaL (Dihydroxyacetone kinase subunit L)	dhaL B1P95_00015 B4W81_02290 BU183_11595 DPX30_01875 EFM1CSP_02770 EfmJHP36_06720 GBM73_07935 IQN16_01725 J8Y33_001259 KT858_000350 KYX88_03145 M3X98_00970	Enterococcus faecium (Streptococcus faecium)	201	glycerone kinase activity [GO:0004371]; glycerol metabolic process [GO:0006071]; phosphorylation [GO:0016310]
A0A133CDK7	A0A133CDK7	unreviewed	A0A133CDK7_ENTFC	Class C sortase	B1P95_02325 B4W81_01650 CUN04_11745 DPX30_02590 GBM44_02545 GBM73_07245 IQN16_02380 J8Y33_002213 KT858_001277 KYX88_02150	Enterococcus faecium (Streptococcus faecium)	297	membrane [GO:0016020]; hydrolase activity [GO:0016787]
A0A242FSQ3	A0A242FSQ3	unreviewed	A0A242FSQ3_ENTFC	Phage capsid protein	B4W81_14740	Enterococcus faecium (Streptococcus faecium)	386	
A0A133CUZ5	A0A133CUZ5	unreviewed	A0A133CUZ5_ENTFC	DNA-binding response regulator (Response regulator transcription factor) (Two-component system response regulator)	AWT83_09580 B1P95_12310 B4W81_14985 BU183_02155 CQR37_11130 CUN04_09635 DPX30_09955 EFM1CSP_07740 EfmJHP36_21860 FIU59_09000 GBM44_09330 GBM73_16750 IQN16_09040 J8Y33_001982 KT858_000784 KYX88_11150 M3X98_12790	Enterococcus faecium (Streptococcus faecium)	234	DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]
A0A133CZ88	A0A133CZ88	unreviewed	A0A133CZ88_ENTFC	ATP-binding cassette domain-containing protein (Iron ABC transporter ATP-binding protein)	fetC B4W81_03800 DPX30_00620 EfmJHP36_01140 GBM44_00725 GBM73_09155 IQN16_00545 J8Y33_002180 KYX88_08720 M3X98_07500	Enterococcus faecium (Streptococcus faecium)	251	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
A0A133CTF0	A0A133CTF0	unreviewed	A0A133CTF0_ENTFC	MBL fold metallo-hydrolase	B4W81_00510 CUM68_11335 CUN04_11680 DPX30_04085 EfmJHP36_10640 FHK66_13610 GBM44_03600 GBM73_06195 IQN16_03410 J8Y33_000358 KT858_000175 KYX88_10335	Enterococcus faecium (Streptococcus faecium)	246	hydrolase activity [GO:0016787]
A0A132P1J7	A0A132P1J7	unreviewed	A0A132P1J7_ENTFC	PTS glucose transporter subunit IIA (Sugar permease)	AWT83_15690 B1P95_15050 B4W81_16375 DTX73_14585 EFM1CSP_17535 GBM73_14920 IQN16_15065 J8Y33_002760 KT858_002761	Enterococcus faecium (Streptococcus faecium)	158	transferase activity [GO:0016740]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]
A0A132P9I5	A0A132P9I5	unreviewed	A0A132P9I5_ENTFC	DNA-binding protein (Excisionase) (Helix-turn-helix domain-containing protein) (MerR family transcriptional regulator)	AWT83_11025 B1P95_08725 B4W81_10505 CUM68_03650 CUS10_02655 DPX30_08720 EB12_00669 EB44_00660 EfmJHP36_19890 GBM44_08420 IQN16_08180 KT858_001224	Enterococcus faecium (Streptococcus faecium)	150	DNA binding [GO:0003677]
A0A133CHF6	A0A133CHF6	unreviewed	A0A133CHF6_ENTFC	Tetratricopeptide repeat protein	B4W81_02485 CUM68_13175 CUN04_08070 CUS10_11355 DPX30_01675 EB44_01625 EfmJHP36_06350 GBM44_01690 GBM73_08120 IQN16_01545 J8Y33_000779 KT858_000386 KYX88_02405	Enterococcus faecium (Streptococcus faecium)	135	
