From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
U7PZF4	U7PZF4	unreviewed	U7PZF4_SPOS1	Uncharacterized protein	HMPREF1624_02198	Sporothrix schenckii (strain ATCC 58251 / de Perez 2211183) (Rose-picker's disease fungus)	170	
U7Q6G7	U7Q6G7	unreviewed	U7Q6G7_SPOS1	40S ribosomal protein S6	HMPREF1624_01769	Sporothrix schenckii (strain ATCC 58251 / de Perez 2211183) (Rose-picker's disease fungus)	207	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
U7PZ56	U7PZ56	unreviewed	U7PZ56_SPOS1	Spindle pole body component	HMPREF1624_02128	Sporothrix schenckii (strain ATCC 58251 / de Perez 2211183) (Rose-picker's disease fungus)	1034	cytoplasm [GO:0005737]; gamma-tubulin complex [GO:0000930]; microtubule [GO:0005874]; spindle pole [GO:0000922]; spindle pole body [GO:0005816]; gamma-tubulin binding [GO:0043015]; microtubule nucleation [GO:0007020]
U7PSH5	U7PSH5	unreviewed	U7PSH5_SPOS1	Protein kinase domain-containing protein	HMPREF1624_05390	Sporothrix schenckii (strain ATCC 58251 / de Perez 2211183) (Rose-picker's disease fungus)	278	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]
U7Q1E9	U7Q1E9	unreviewed	U7Q1E9_SPOS1	Uncharacterized protein	HMPREF1624_02941	Sporothrix schenckii (strain ATCC 58251 / de Perez 2211183) (Rose-picker's disease fungus)	228	
U7PT43	U7PT43	unreviewed	U7PT43_SPOS1	Lysophospholipase NTE1 (EC 3.1.1.5) (Intracellular phospholipase B)	HMPREF1624_06055	Sporothrix schenckii (strain ATCC 58251 / de Perez 2211183) (Rose-picker's disease fungus)	1547	endoplasmic reticulum membrane [GO:0005789]; lysophospholipase activity [GO:0004622]; phosphatidyl phospholipase B activity [GO:0102545]; glycerolipid metabolic process [GO:0046486]; lipid catabolic process [GO:0016042]
U7PWU8	U7PWU8	unreviewed	U7PWU8_SPOS1	SET domain-containing protein	HMPREF1624_04123	Sporothrix schenckii (strain ATCC 58251 / de Perez 2211183) (Rose-picker's disease fungus)	986	methyltransferase activity [GO:0008168]; methylation [GO:0032259]
U7PNU1	U7PNU1	unreviewed	U7PNU1_SPOS1	Major facilitator superfamily (MFS) profile domain-containing protein	HMPREF1624_06645	Sporothrix schenckii (strain ATCC 58251 / de Perez 2211183) (Rose-picker's disease fungus)	558	membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]
U7Q9J8	U7Q9J8	unreviewed	U7Q9J8_SPOS1	Indole-diterpene biosynthesis protein PaxU	HMPREF1624_01746	Sporothrix schenckii (strain ATCC 58251 / de Perez 2211183) (Rose-picker's disease fungus)	346	membrane [GO:0016020]
U7Q4D9	U7Q4D9	unreviewed	U7Q4D9_SPOS1	Major facilitator superfamily (MFS) profile domain-containing protein	HMPREF1624_01024	Sporothrix schenckii (strain ATCC 58251 / de Perez 2211183) (Rose-picker's disease fungus)	671	membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]
