From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
Q55F26	Q55F26	unreviewed	Q55F26_DICDI	AAA+ ATPase domain-containing protein	DDB_G0268924	Dictyostelium discoideum (Social amoeba)	1772	nuclear body [GO:0016604]; ATP hydrolysis activity [GO:0016887]; helicase activity [GO:0004386]; RNA binding [GO:0003723]; transcription termination site sequence-specific DNA binding [GO:0001147]; termination of RNA polymerase II transcription [GO:0006369]
Q55DD8	Q55DD8	unreviewed	Q55DD8_DICDI	Uncharacterized protein	DDB_G0270916	Dictyostelium discoideum (Social amoeba)	257	membrane [GO:0016020]
Q54DN3	Q54DN3	reviewed	XPO7_DICDI	Exportin-7 (Exp7)	xpo7 Ranbp7 DDB_G0291986	Dictyostelium discoideum (Social amoeba)	1007	cytoplasm [GO:0005737]; nuclear pore [GO:0005643]; nucleus [GO:0005634]; nuclear export signal receptor activity [GO:0005049]; mRNA transport [GO:0051028]; protein export from nucleus [GO:0006611]
P34127	P34127	reviewed	MYBA_DICDI	Myb-like protein A	mybA DDB_G0293900	Dictyostelium discoideum (Social amoeba)	1230	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; mitotic cell cycle [GO:0000278]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]
Q54ZT6	Q54ZT6	unreviewed	Q54ZT6_DICDI	Peptidase A2 domain-containing protein	DDB_G0277283	Dictyostelium discoideum (Social amoeba)	632	membrane [GO:0016020]; aspartic-type endopeptidase activity [GO:0004190]; proteolysis [GO:0006508]
Q54K04	Q54K04	unreviewed	Q54K04_DICDI	EGF-like domain-containing protein	DDB_G0287703	Dictyostelium discoideum (Social amoeba)	1461	membrane [GO:0016020]; sexual reproduction [GO:0019953]
Q54U77	Q54U77	unreviewed	Q54U77_DICDI	EGF-like domain-containing protein	DDB_G0281231	Dictyostelium discoideum (Social amoeba)	1506	membrane [GO:0016020]
Q54KB7	Q54KB7	reviewed	DHE3_DICDI	Glutamate dehydrogenase, mitochondrial (GDH) (EC 1.4.1.3)	gluD DDB_G0287469	Dictyostelium discoideum (Social amoeba)	502	extracellular matrix [GO:0031012]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; phagocytic vesicle [GO:0045335]; ATP binding [GO:0005524]; glutamate dehydrogenase (NAD+) activity [GO:0004352]; glutamate dehydrogenase (NADP+) activity [GO:0004354]; glutamate dehydrogenase [NAD(P)+] activity [GO:0004353]; glutamate catabolic process [GO:0006538]
Q54HB0	Q54HB0	unreviewed	Q54HB0_DICDI	RNA polymerase I-specific transcription initiation factor RRN3	DDB_G0289587	Dictyostelium discoideum (Social amoeba)	706	nucleus [GO:0005634]; RNA polymerase I core binding [GO:0001042]; RNA polymerase I general transcription initiation factor activity [GO:0001181]; transcription initiation at RNA polymerase I promoter [GO:0006361]
Q769F7	Q769F7	unreviewed	Q769F7_DICDI	Emp24/gp25L/p24 family protein	empC DDB_G0278969	Dictyostelium discoideum (Social amoeba)	214	COPII-coated ER to Golgi transport vesicle [GO:0030134]; cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; intracellular protein transport [GO:0006886]
Q869W7	Q869W7	reviewed	S35B4_DICDI	UDP-N-acetylglucosamine transporter slc35b4 (Solute carrier family 35 member B4)	slc35b4 DDB_G0275061	Dictyostelium discoideum (Social amoeba)	351	Golgi membrane [GO:0000139]; UDP-N-acetylglucosamine transmembrane transporter activity [GO:0005462]; carbohydrate transport [GO:0008643]
Q54LT5	Q54LT5	reviewed	Y6967_DICDI	Uncharacterized transmembrane protein DDB_G0286421	DDB_G0286421	Dictyostelium discoideum (Social amoeba)	76	membrane [GO:0016020]
Q54NB3	Q54NB3	unreviewed	Q54NB3_DICDI	RRM domain-containing protein	DDB_G0285363	Dictyostelium discoideum (Social amoeba)	348	nucleus [GO:0005634]; mRNA binding [GO:0003729]; mRNA export from nucleus [GO:0006406]
Q55DY4	Q55DY4	unreviewed	Q55DY4_DICDI	Uncharacterized protein	DDB_G0269478	Dictyostelium discoideum (Social amoeba)	64	
Q553T8	Q553T8	unreviewed	Q553T8_DICDI	Uncharacterized protein	DDB_G0275369	Dictyostelium discoideum (Social amoeba)	46	membrane [GO:0016020]
C7FZX8	C7FZX8	unreviewed	C7FZX8_DICDI	SAP DNA-binding domain-containing protein	DDB_G0295817	Dictyostelium discoideum (Social amoeba)	728	
Q55F13	Q55F13	unreviewed	Q55F13_DICDI	TH1 family protein	DDB_G0268678	Dictyostelium discoideum (Social amoeba)	660	NELF complex [GO:0032021]; RNA binding [GO:0003723]; negative regulation of transcription elongation by RNA polymerase II [GO:0034244]
Q7KWM2	Q7KWM2	unreviewed	Q7KWM2_DICDI	FNIP repeat-containing protein	DDB_G0276827	Dictyostelium discoideum (Social amoeba)	414	
Q54C79	Q54C79	unreviewed	Q54C79_DICDI	SET domain-containing protein	DDB_G0293118	Dictyostelium discoideum (Social amoeba)	512	methyltransferase activity [GO:0008168]
Q54WE0	Q54WE0	unreviewed	Q54WE0_DICDI	Saposin B-type domain-containing protein	DDB_G0279713	Dictyostelium discoideum (Social amoeba)	244	lysosome [GO:0005764]; sphingolipid metabolic process [GO:0006665]
Q555G3	Q555G3	unreviewed	Q555G3_DICDI	Uncharacterized protein	DDB_G0274891	Dictyostelium discoideum (Social amoeba)	566	membrane [GO:0016020]
Q55FM0	Q55FM0	reviewed	EMC89_DICDI	ER membrane protein complex subunit 8/9 homolog	DDB_G0268048	Dictyostelium discoideum (Social amoeba)	192	EMC complex [GO:0072546]
Q75JQ1	Q75JQ1	reviewed	SYDC1_DICDI	Aspartate--tRNA ligase, cytoplasmic 1 (EC 6.1.1.12) (Aspartyl-tRNA synthetase 1) (AspRS 1)	aspS1 DDB_G0272236	Dictyostelium discoideum (Social amoeba)	576	aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; phagocytic vesicle [GO:0045335]; aspartate-tRNA ligase activity [GO:0004815]; ATP binding [GO:0005524]; RNA binding [GO:0003723]; aspartyl-tRNA aminoacylation [GO:0006422]; response to bacterium [GO:0009617]
Q54Y52	Q54Y52	unreviewed	Q54Y52_DICDI	Uncharacterized protein	DDB_G0278411	Dictyostelium discoideum (Social amoeba)	334	membrane [GO:0016020]
Q54MP1	Q54MP1	unreviewed	Q54MP1_DICDI	LNR domain-containing protein	gpt1 DDB_G0285815	Dictyostelium discoideum (Social amoeba)	1238	Golgi apparatus [GO:0005794]; membrane [GO:0016020]; UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase activity [GO:0003976]; carbohydrate phosphorylation [GO:0046835]; N-glycan processing to lysosome [GO:0016256]; protein N-linked glycosylation via asparagine [GO:0018279]
