From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
E9AGQ3	E9AGQ3	unreviewed	E9AGQ3_LEIIN	Putative elongation factor Tu	LINJ_18_0740	Leishmania infantum	466	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
A4HZX5	A4HZX5	unreviewed	A4HZX5_LEIIN	Uncharacterized protein	LINJ_22_0850	Leishmania infantum	1326	
A4I5R0	A4I5R0	unreviewed	A4I5R0_LEIIN	Uncharacterized protein	LINJ_30_2330	Leishmania infantum	354	
A4I1G7	A4I1G7	unreviewed	A4I1G7_LEIIN	GATOR complex protein MIO zinc-ribbon like domain-containing protein	LINJ_25_1270	Leishmania infantum	1604	
A4I6R9	A4I6R9	unreviewed	A4I6R9_LEIIN	Uncharacterized protein	LINJ_31_1450	Leishmania infantum	1157	
A4IDN5	A4IDN5	unreviewed	A4IDN5_LEIIN	Myosin heavy chain kinase a-like protein (EC 2.7.11.7)	LINJ_36_4780	Leishmania infantum	335	ATP binding [GO:0005524]; myosin heavy chain kinase activity [GO:0016905]; phosphorylation [GO:0016310]
A4ICG7	A4ICG7	unreviewed	A4ICG7_LEIIN	Folylpolyglutamate synthetase (EC 6.3.2.17)	FPGS LINJ_36_2740	Leishmania infantum	540	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; tetrahydrofolylpolyglutamate synthase activity [GO:0004326]
A4I5A1	A4I5A1	unreviewed	A4I5A1_LEIIN	Uncharacterized protein	LINJ_30_0750	Leishmania infantum	277	
A4HSM4	A4HSM4	unreviewed	A4HSM4_LEIIN	Uncharacterized protein	LINJ_05_1020	Leishmania infantum	919	
A4HWP0	A4HWP0	unreviewed	A4HWP0_LEIIN	Uncharacterized protein	LINJ_15_1580	Leishmania infantum	198	GINS complex [GO:0000811]; DNA replication [GO:0006260]
E9AHQ5	E9AHQ5	unreviewed	E9AHQ5_LEIIN	Uncharacterized protein	LINJ_33_2500	Leishmania infantum	563	
A4I508	A4I508	unreviewed	A4I508_LEIIN	Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase)	LINJ_30_0130	Leishmania infantum	536	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; lysine-tRNA ligase activity [GO:0004824]; nucleic acid binding [GO:0003676]; lysyl-tRNA aminoacylation [GO:0006430]
A4I8S9	A4I8S9	unreviewed	A4I8S9_LEIIN	Uncharacterized protein	LINJ_33_0680	Leishmania infantum	489	
A0A381ME06	A0A381ME06	unreviewed	A0A381ME06_LEIIN	Uncharacterized protein	LINJ.12.0661	Leishmania infantum	439	
A4HS81	A4HS81	unreviewed	A4HS81_LEIIN	Tyrosine phospatase-like protein (EC 3.1.3.48)	LINJ_04_0840	Leishmania infantum	692	protein tyrosine phosphatase activity [GO:0004725]
A4IC96	A4IC96	unreviewed	A4IC96_LEIIN	Ribosome biogenesis protein NSA2 homolog	LINJ_36_6680	Leishmania infantum	260	nucleolus [GO:0005730]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA processing [GO:0006364]
A4I841	A4I841	unreviewed	A4I841_LEIIN	CSN8/PSMD8/EIF3K domain-containing protein	LINJ_32_2330	Leishmania infantum	233	eukaryotic translation initiation factor 3 complex [GO:0005852]; ribosome binding [GO:0043022]; translation initiation factor activity [GO:0003743]; regulation of translational initiation [GO:0006446]
A4HX56	A4HX56	unreviewed	A4HX56_LEIIN	Putative kinesin (EC 3.6.4.4)	LINJ_16_1680	Leishmania infantum	1082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; microtubule-based movement [GO:0007018]
E9AGK4	E9AGK4	unreviewed	E9AGK4_LEIIN	Pyrroline-5-carboxylate reductase (EC 1.5.1.2)	P5CR LINJ_13_1420	Leishmania infantum	272	pyrroline-5-carboxylate reductase activity [GO:0004735]; L-proline biosynthetic process [GO:0055129]
A4IAK5	A4IAK5	unreviewed	A4IAK5_LEIIN	Serine/threonine-protein kinase TOR (EC 2.7.11.1)	TOR2 LINJ_34_4160	Leishmania infantum	2438	protein-containing complex [GO:0032991]; ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein-containing complex binding [GO:0044877]; phosphorylation [GO:0016310]; response to stimulus [GO:0050896]
A4HT56	A4HT56	unreviewed	A4HT56_LEIIN	Putative tRNA-methyl transferase (EC 2.1.1.61)	LINJ_07_0280	Leishmania infantum	613	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity [GO:0004808]
A4I428	A4I428	unreviewed	A4I428_LEIIN	Putative sodium/sulphate symporter	LINJ_28_3160	Leishmania infantum	734	membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]
A4HZY9	A4HZY9	unreviewed	A4HZY9_LEIIN	Uncharacterized protein	LINJ_22_1000	Leishmania infantum	495	
A4HRR1	A4HRR1	unreviewed	A4HRR1_LEIIN	Uncharacterized protein	LINJ_02_0630	Leishmania infantum	910	nucleolus [GO:0005730]; small-subunit processome [GO:0032040]; ribosome biogenesis [GO:0042254]
A4I8I8	A4I8I8	unreviewed	A4I8I8_LEIIN	Uncharacterized protein	LINJ_32_3850	Leishmania infantum	727	
A4IA32	A4IA32	unreviewed	A4IA32_LEIIN	Kinesin	LINJ_34_2390	Leishmania infantum	1342	hyaluronic acid binding [GO:0005540]
A4HW27	A4HW27	unreviewed	A4HW27_LEIIN	Protein kinase domain-containing protein	LINJ_14_0890	Leishmania infantum	593	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]
A4I379	A4I379	unreviewed	A4I379_LEIIN	Uncharacterized protein	LINJ_28_0060	Leishmania infantum	485	
A4HXE5	A4HXE5	unreviewed	A4HXE5_LEIIN	Serine/threonine-protein kinase PLK (EC 2.7.11.21) (Polo-like kinase)	LINJ_17_0770	Leishmania infantum	701	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; phosphorylation [GO:0016310]
A4I7T9	A4I7T9	unreviewed	A4I7T9_LEIIN	Uncharacterized protein	LINJ_32_1280	Leishmania infantum	797	
A4I7I8	A4I7I8	unreviewed	A4I7I8_LEIIN	Uncharacterized protein	LINJ_32_0250	Leishmania infantum	1086	cilium [GO:0005929]
A4IAN6	A4IAN6	unreviewed	A4IAN6_LEIIN	Uncharacterized protein	LINJ_34_2920	Leishmania infantum	254	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
A4I8V3	A4I8V3	unreviewed	A4I8V3_LEIIN	Dnaj chaperone-like protein	LINJ_33_0940	Leishmania infantum	581	
A4HRS6	A4HRS6	unreviewed	A4HRS6_LEIIN	DNA-directed RNA polymerase III subunit RPC3 (RNA polymerase III subunit C3)	LINJ_02_0730	Leishmania infantum	328	RNA polymerase III complex [GO:0005666]; single-stranded DNA binding [GO:0003697]
A4IDX1	A4IDX1	unreviewed	A4IDX1_LEIIN	Uncharacterized protein	LINJ_36_5810	Leishmania infantum	235	
A4I4K3	A4I4K3	unreviewed	A4I4K3_LEIIN	Uncharacterized protein	LINJ_29_1540	Leishmania infantum	539	
A4I891	A4I891	unreviewed	A4I891_LEIIN	Uncharacterized protein	LINJ_32_2840	Leishmania infantum	1128	
A4I2P8	A4I2P8	unreviewed	A4I2P8_LEIIN	ATP-binding cassette protein subfamily A, member 8	putative ABCA8 LINJ_27_0830	Leishmania infantum	1843	membrane [GO:0016020]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
A4HYS5	A4HYS5	unreviewed	A4HYS5_LEIIN	Phosphopantetheinyl transferase-like protein (EC 2.7.8.-)	LINJ_20_0840	Leishmania infantum	273	holo-[acyl-carrier-protein] synthase activity [GO:0008897]; magnesium ion binding [GO:0000287]
A4IDK5	A4IDK5	unreviewed	A4IDK5_LEIIN	Mitochondrial_RNA_binding_complex_1_subunit_-_putative	LINJ_36_2440	Leishmania infantum	325	
A4HX20	A4HX20	unreviewed	A4HX20_LEIIN	Uncharacterized protein	LINJ_16_1280	Leishmania infantum	1814	
A4HUD3	A4HUD3	unreviewed	A4HUD3_LEIIN	Uncharacterized protein	LINJ_10_0250	Leishmania infantum	418	
A4HWU5	A4HWU5	unreviewed	A4HWU5_LEIIN	Amastin_surface_glycoprotein_-_putative	LINJ_16_0480	Leishmania infantum	184	
A4IE10	A4IE10	unreviewed	A4IE10_LEIIN	Uncharacterized protein	LINJ_36_6230	Leishmania infantum	623	
A4IA49	A4IA49	unreviewed	A4IA49_LEIIN	Putative gpi transamidase component	GPI16 LINJ_34_2560	Leishmania infantum	737	
A4HYE4	A4HYE4	unreviewed	A4HYE4_LEIIN	Uncharacterized protein	LINJ_19_1250	Leishmania infantum	171	
A4I6S2	A4I6S2	unreviewed	A4I6S2_LEIIN	Proteophosphoglycan ppg4	LINJ_31_1470	Leishmania infantum	440	cilium [GO:0005929]
A4I4C4	A4I4C4	unreviewed	A4I4C4_LEIIN	Uncharacterized protein	LINJ_29_0740	Leishmania infantum	855	
A4HTA0	A4HTA0	unreviewed	A4HTA0_LEIIN	Uncharacterized protein	LINJ_07_0840	Leishmania infantum	150	protein serine/threonine phosphatase inhibitor activity [GO:0004865]
