From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
P9WGU1	P9WGU1	reviewed	PSTS1_MYCTU	Phosphate-binding protein PstS 1 (PBP 1) (PhoS1) (PstS-1) (38-kDa glycolipoprotein) (38-kDa lipoprotein) (P38) (Antigen Ag78) (Protein antigen B) (Pab)	pstS1 phoS1 Rv0934 MTCY08D9.05c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	374	ATP-binding cassette (ABC) transporter complex [GO:0043190]; cell surface [GO:0009986]; cytosol [GO:0005829]; extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]; phosphate ion binding [GO:0042301]; cell adhesion [GO:0007155]; cellular response to phosphate starvation [GO:0016036]; phosphate ion transmembrane transport [GO:0035435]; phosphate ion transport [GO:0006817]
P9WJJ3	P9WJJ3	reviewed	NADE_MYCTU	Glutamine-dependent NAD(+) synthetase (EC 6.3.5.1) (NAD(+) synthase [glutamine-hydrolyzing])	nadE Rv2438c MTCY428.08	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	679	cytoplasm [GO:0005737]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; glutaminase activity [GO:0004359]; identical protein binding [GO:0042802]; NAD+ synthase (glutamine-hydrolyzing) activity [GO:0003952]; NAD+ synthase activity [GO:0008795]; NAD biosynthetic process [GO:0009435]
O86372	O86372	reviewed	BDGAL_MYCTU	Beta-D-galactosidase Rv1717 (EC 3.2.1.23) (Beta-D-galactopyranosidase)	Rv1717	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	116	extracellular region [GO:0005576]; hydrolase activity, acting on glycosyl bonds [GO:0016798]; metabolic process [GO:0008152]
O53534	O53534	unreviewed	O53534_MYCTU	Metallo-beta-lactamase domain-containing protein	Rv2260	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	211	peptidoglycan-based cell wall [GO:0009274]
P9WKS3	P9WKS3	reviewed	Y738_MYCTU	Uncharacterized protein Rv0738	Rv0738	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	182	metal ion binding [GO:0046872]
P9WH03	P9WH03	reviewed	RNC_MYCTU	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc Rv2925c MTCY338.14c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	240	cytoplasm [GO:0005737]; double-stranded RNA binding [GO:0003725]; metal ion binding [GO:0046872]; ribonuclease III activity [GO:0004525]; mRNA processing [GO:0006397]; regulation of gene expression [GO:0010468]; RNA processing [GO:0006396]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]
O06263	O06263	unreviewed	O06263_MYCTU	Hypothetical alanine and valine rich protein	Rv3446c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	404	
P9WNN7	P9WNN7	reviewed	ECH12_MYCTU	Probable enoyl-CoA hydratase EchA12 (EC 4.2.1.17)	echA12 fadB2 Rv1472 MTV007.19	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	285	plasma membrane [GO:0005886]; enoyl-CoA hydratase activity [GO:0004300]; fatty acid beta-oxidation [GO:0006635]
L7N6A9	L7N6A9	unreviewed	L7N6A9_MYCTU	PE family protein	Rv1116A	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	91	
O53972	O53972	unreviewed	O53972_MYCTU	Mce-family protein Mce3F	mce3F Rv1971	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	437	membrane [GO:0016020]
