From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
A0A0H3GUN7	A0A0H3GUN7	unreviewed	A0A0H3GUN7_KLEPH	Presumed capsid scaffolding protein (GpO)	KPHS_17210	Klebsiella pneumoniae subsp. pneumoniae (strain HS11286)	277	viral capsid assembly [GO:0019069]
A0A0H3GZU3	A0A0H3GZU3	unreviewed	A0A0H3GZU3_KLEPH	High-affinity branched-chain amino acid ABC transporter periplasmic substrate-binding protein	KPHS_32960	Klebsiella pneumoniae subsp. pneumoniae (strain HS11286)	352	amino acid transport [GO:0006865]
A0A0H3GQ26	A0A0H3GQ26	unreviewed	A0A0H3GQ26_KLEPH	Uncharacterized protein	KPHS_27300	Klebsiella pneumoniae subsp. pneumoniae (strain HS11286)	47	
A0A0H3GUG8	A0A0H3GUG8	unreviewed	A0A0H3GUG8_KLEPH	Uncharacterized protein	KPHS_32640	Klebsiella pneumoniae subsp. pneumoniae (strain HS11286)	38	
A0A0H3GYE7	A0A0H3GYE7	unreviewed	A0A0H3GYE7_KLEPH	Uncharacterized protein	KPHS_44980	Klebsiella pneumoniae subsp. pneumoniae (strain HS11286)	51	membrane [GO:0016020]
A0A0H3GTJ2	A0A0H3GTJ2	unreviewed	A0A0H3GTJ2_KLEPH	Uncharacterized protein	KPHS_26480	Klebsiella pneumoniae subsp. pneumoniae (strain HS11286)	79	
A0A0H3GUJ3	A0A0H3GUJ3	unreviewed	A0A0H3GUJ3_KLEPH	Family 1 glycoside hydrolase	KPHS_16810	Klebsiella pneumoniae subsp. pneumoniae (strain HS11286)	458	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]
A0A0H3GMV3	A0A0H3GMV3	unreviewed	A0A0H3GMV3_KLEPH	Uncharacterized protein	KPHS_06690	Klebsiella pneumoniae subsp. pneumoniae (strain HS11286)	59	
A0A0H3GX51	A0A0H3GX51	unreviewed	A0A0H3GX51_KLEPH	Heat shock protein	KPHS_25110	Klebsiella pneumoniae subsp. pneumoniae (strain HS11286)	157	
A0A0H3GUK6	A0A0H3GUK6	unreviewed	A0A0H3GUK6_KLEPH	DNA-binding transcriptional activator GcvA	KPHS_42400	Klebsiella pneumoniae subsp. pneumoniae (strain HS11286)	274	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-templated transcription [GO:0006351]
A0A0H3GHS0	A0A0H3GHS0	unreviewed	A0A0H3GHS0_KLEPH	DUF2164 domain-containing protein	KPHS_06120	Klebsiella pneumoniae subsp. pneumoniae (strain HS11286)	79	
