From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
Q8ZLJ3	Q8ZLJ3	unreviewed	Q8ZLJ3_SALTY	Inner membrane protein	yhgE STM3499	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	569	membrane [GO:0016020]
Q8ZNN9	Q8ZNN9	unreviewed	Q8ZNN9_SALTY	Sugar kinase	yegV STM2144	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	321	cytosol [GO:0005829]; kinase activity [GO:0016301]; phosphorylation [GO:0016310]
Q8ZQ38	Q8ZQ38	unreviewed	Q8ZQ38_SALTY	Transcriptional repressor (TetR/AcrR family)	ycdC STM1122	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	212	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]; negative regulation of DNA-templated transcription [GO:0045892]; regulation of DNA-templated transcription [GO:0006355]
Q7CR63	Q7CR63	unreviewed	Q7CR63_SALTY	Phosphatidate cytidylyltransferase (EC 2.7.7.41)	cdsA STM0222	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	285	plasma membrane [GO:0005886]; phosphatidate cytidylyltransferase activity [GO:0004605]; CDP-diacylglycerol biosynthetic process [GO:0016024]
Q8ZRW6	Q8ZRW6	unreviewed	Q8ZRW6_SALTY	Secreted protein	STM0081	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	138	
Q8ZPZ1	Q8ZPZ1	reviewed	RLUE_SALTY	Ribosomal large subunit pseudouridine synthase E (EC 5.4.99.20) (rRNA pseudouridylate synthase E) (rRNA-uridine isomerase E)	rluE STM1237	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	221	RNA binding [GO:0003723]; rRNA pseudouridine synthase activity [GO:0120159]; pseudouridine synthesis [GO:0001522]; rRNA processing [GO:0006364]
Q8ZNI9	Q8ZNI9	unreviewed	Q8ZNI9_SALTY	Phage protein	STM2236	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	172	
Q7CPE2	Q7CPE2	reviewed	ATPB_SALTY	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	atpD STM3865	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	460	plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]
Q8ZPA4	Q8ZPA4	unreviewed	Q8ZPA4_SALTY	Inner membrane protein	STM1632	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	114	membrane [GO:0016020]
Q7CQ43	Q7CQ43	unreviewed	Q7CQ43_SALTY	Phosphoesterase (EC 3.1.4.-)	yfcE STM2347	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	183	hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]
Q8ZPG0	Q8ZPG0	unreviewed	Q8ZPG0_SALTY	Translation initiation inhibitor	STM1549	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	129	cytosol [GO:0005829]; deaminase activity [GO:0019239]; organonitrogen compound catabolic process [GO:1901565]
Q7CQ76	Q7CQ76	unreviewed	Q7CQ76_SALTY	Cobalamin synthesis protein	yeiR STM2212	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	328	cytoplasm [GO:0005737]
Q8ZLU9	Q8ZLU9	unreviewed	Q8ZLU9_SALTY	PTS family galactitol-specific enzyme IIB	STM3259	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	94	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]
Q8ZKV5	Q8ZKV5	unreviewed	Q8ZKV5_SALTY	GntR family regulatory protein	yieP STM3888	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	234	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-templated transcription [GO:0006351]
Q8ZKT7	Q8ZKT7	reviewed	SQUS_SALTY	Sulfoquinovose isomerase (SQ isomerase) (EC 5.3.1.31) (Sulfoquinovose-sulfofructose isomerase) (SQ-SF isomerase)	yihS STM4021	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	413	sulfoquinovose isomerase activity [GO:0061593]; 6-sulfoquinovose(1-) catabolic process to glycerone phosphate and 3-sulfolactaldehyde [GO:0061720]; carbohydrate metabolic process [GO:0005975]
