From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
A0A077YVU9	A0A077YVU9	unreviewed	A0A077YVU9_TRITR	Twinfilin 1	TTRE_0000041101	Trichuris trichiura (Whipworm) (Trichocephalus trichiurus)	381	cytoskeleton [GO:0005856]; actin binding [GO:0003779]; negative regulation of actin filament polymerization [GO:0030837]
A0A077Z013	A0A077Z013	unreviewed	A0A077Z013_TRITR	Zinc finger protein	TTRE_0000021401	Trichuris trichiura (Whipworm) (Trichocephalus trichiurus)	371	
A0A077Z7Q8	A0A077Z7Q8	unreviewed	A0A077Z7Q8_TRITR	Pro isomerase domain containing protein	TTRE_0000481201	Trichuris trichiura (Whipworm) (Trichocephalus trichiurus)	478	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding [GO:0006457]
A0A077Z2D3	A0A077Z2D3	unreviewed	A0A077Z2D3_TRITR	GPN-loop GTPase 2	TTRE_0000214101	Trichuris trichiura (Whipworm) (Trichocephalus trichiurus)	253	GTP binding [GO:0005525]; hydrolase activity [GO:0016787]
A0A077ZMI1	A0A077ZMI1	unreviewed	A0A077ZMI1_TRITR	NADH ubiquinone oxidoreductase ASHI subunit	TTRE_0000937701	Trichuris trichiura (Whipworm) (Trichocephalus trichiurus)	187	mitochondrion [GO:0005739]
A0A077YWC9	A0A077YWC9	unreviewed	A0A077YWC9_TRITR	Dolichyl P Man:Man(7)GlcNAc(2) PP dolichyl	TTRE_0000029801	Trichuris trichiura (Whipworm) (Trichocephalus trichiurus)	365	membrane [GO:0016020]; dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichol alpha-1,6-mannosyltransferase [GO:0052917]
A0A077ZE76	A0A077ZE76	unreviewed	A0A077ZE76_TRITR	Lustrin cystein domain containing protein	TTRE_0000699101	Trichuris trichiura (Whipworm) (Trichocephalus trichiurus)	171	
A0A077ZH26	A0A077ZH26	unreviewed	A0A077ZH26_TRITR	Uncharacterized protein	TTRE_0000744401	Trichuris trichiura (Whipworm) (Trichocephalus trichiurus)	355	
A0A077YXJ7	A0A077YXJ7	unreviewed	A0A077YXJ7_TRITR	GRAM domain containing protein	TTRE_0000106901	Trichuris trichiura (Whipworm) (Trichocephalus trichiurus)	510	endoplasmic reticulum membrane [GO:0005789]; organelle membrane contact site [GO:0044232]
A0A077ZEA0	A0A077ZEA0	unreviewed	A0A077ZEA0_TRITR	PAP2 superfamily protein	TTRE_0000702201	Trichuris trichiura (Whipworm) (Trichocephalus trichiurus)	395	membrane [GO:0016020]; phospholipid metabolic process [GO:0006644]
A0A077Z283	A0A077Z283	unreviewed	A0A077Z283_TRITR	Dual specificity phosphatase	TTRE_0000286701	Trichuris trichiura (Whipworm) (Trichocephalus trichiurus)	189	protein tyrosine/serine/threonine phosphatase activity [GO:0008138]; dephosphorylation [GO:0016311]
A0A077Z6E7	A0A077Z6E7	unreviewed	A0A077Z6E7_TRITR	Rab proteins geranylgeranyltransferase component A 1	TTRE_0000367101	Trichuris trichiura (Whipworm) (Trichocephalus trichiurus)	386	GDP-dissociation inhibitor activity [GO:0005092]; GTPase activator activity [GO:0005096]; transferase activity [GO:0016740]; small GTPase mediated signal transduction [GO:0007264]
A0A077ZMU8	A0A077ZMU8	unreviewed	A0A077ZMU8_TRITR	Uncharacterized protein	TTRE_0000836801	Trichuris trichiura (Whipworm) (Trichocephalus trichiurus)	214	
