From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
A0A0J9XPS3	A0A0J9XPS3	unreviewed	A0A0J9XPS3_BRUMA	Bm2786, isoform a (Bm2786, isoform a; Cuticle collagen 14, putative)	bma-col-14 Bma-col-14 Bm2786 BM_Bm2786	Brugia malayi (Filarial nematode worm)	322	membrane [GO:0016020]; structural constituent of cuticle [GO:0042302]; anatomical structure development [GO:0048856]
A0A5S6PF42	A0A5S6PF42	unreviewed	A0A5S6PF42_BRUMA	Uncharacterized protein	Bm17998	Brugia malayi (Filarial nematode worm)	81	
A0A0H5SIY5	A0A0H5SIY5	unreviewed	A0A0H5SIY5_BRUMA	Bm1828 (Bm1828; FXNA, putative)	Bm1828 BM_Bm1828	Brugia malayi (Filarial nematode worm)	902	membrane [GO:0016020]; metalloexopeptidase activity [GO:0008235]; proteolysis [GO:0006508]
A0A5S6PKV7	A0A5S6PKV7	unreviewed	A0A5S6PKV7_BRUMA	Synaptotagmin	Bma-snt-1	Brugia malayi (Filarial nematode worm)	454	membrane [GO:0016020]
A0A0J9Y2T9	A0A0J9Y2T9	unreviewed	A0A0J9Y2T9_BRUMA	Bm11061 (Serpentine receptor, class x protein 12, putative)	bma-srx-14.6 Bm11061 BM_Bm11061	Brugia malayi (Filarial nematode worm)	306	membrane [GO:0016020]
A0A5S6PC59	A0A5S6PC59	unreviewed	A0A5S6PC59_BRUMA	Palmitoyltransferase	Bma-spe-10	Brugia malayi (Filarial nematode worm)	213	
A0A5S6PYD2	A0A5S6PYD2	unreviewed	A0A5S6PYD2_BRUMA	Uncharacterized protein	Bm9933	Brugia malayi (Filarial nematode worm)	261	
A0A0H5S7V7	A0A0H5S7V7	unreviewed	A0A0H5S7V7_BRUMA	Bm3273 (Bm3273; Cuticlin 1, putative)	Bm3273 BM_Bm3273	Brugia malayi (Filarial nematode worm)	420	membrane [GO:0016020]
A0A5S6PK68	A0A5S6PK68	unreviewed	A0A5S6PK68_BRUMA	BMA-GLB-18	Bma-glb-13	Brugia malayi (Filarial nematode worm)	255	heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]
A0A5S6PTL4	A0A5S6PTL4	unreviewed	A0A5S6PTL4_BRUMA	Bm6966	Bm6966	Brugia malayi (Filarial nematode worm)	213	membrane [GO:0016020]
A0A1P6BJX9	A0A1P6BJX9	unreviewed	A0A1P6BJX9_BRUMA	BMA-SEL-5, isoform e (BMA-SEL-5, isoform e; Protein kinase domain-containing protein)	Bma-sel-5 BM_Bm9199	Brugia malayi (Filarial nematode worm)	612	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]
A0A0K0JQL3	A0A0K0JQL3	unreviewed	A0A0K0JQL3_BRUMA	Bm7021	Bm7021 Bm7021 BM_Bm7021	Brugia malayi (Filarial nematode worm)	171	
A0A5S6PEU6	A0A5S6PEU6	unreviewed	A0A5S6PEU6_BRUMA	G_PROTEIN_RECEP_F1_2 domain-containing protein	Bm17990	Brugia malayi (Filarial nematode worm)	465	membrane [GO:0016020]; G protein-coupled receptor activity [GO:0004930]
A0A0J9XMF3	A0A0J9XMF3	unreviewed	A0A0J9XMF3_BRUMA	BMA-LIT-1, isoform c (Mitogen-activated protein kinase)	bma-lit-1 Bma-lit-1 Bm6215 BM_Bm6215	Brugia malayi (Filarial nematode worm)	331	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]
A0A0K0J2S9	A0A0K0J2S9	unreviewed	A0A0K0J2S9_BRUMA	Sphingomyelin phosphodiesterase (EC 3.1.4.12)	Bma-asm-1 Bm1724 BM_Bm1724	Brugia malayi (Filarial nematode worm)	636	extracellular region [GO:0005576]; lysosome [GO:0005764]; hydrolase activity, acting on glycosyl bonds [GO:0016798]; metal ion binding [GO:0046872]; sphingomyelin phosphodiesterase activity [GO:0004767]; ceramide biosynthetic process [GO:0046513]; sphingomyelin catabolic process [GO:0006685]
A0A0K0JRX8	A0A0K0JRX8	unreviewed	A0A0K0JRX8_BRUMA	Bm7337 (RING-type domain-containing protein)	Bm7337 BM_Bm7337	Brugia malayi (Filarial nematode worm)	432	membrane [GO:0016020]; metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; positive regulation of ERAD pathway [GO:1904294]
A0A5S6PLD0	A0A5S6PLD0	unreviewed	A0A5S6PLD0_BRUMA	Uncharacterized protein	Bm384	Brugia malayi (Filarial nematode worm)	129	
A0A0I9N5E3	A0A0I9N5E3	unreviewed	A0A0I9N5E3_BRUMA	Bm3124	Bm3124 BM_Bm3124	Brugia malayi (Filarial nematode worm)	374	acetylcholine-gated channel complex [GO:0005892]
A0A1I9G6L9	A0A1I9G6L9	unreviewed	A0A1I9G6L9_BRUMA	Bm3567, isoform e	Bm3567 BM_Bm3567	Brugia malayi (Filarial nematode worm)	581	nucleus [GO:0005634]; RNA binding [GO:0003723]
A0A0J9XMI5	A0A0J9XMI5	unreviewed	A0A0J9XMI5_BRUMA	Bm87	Bm87 BM_Bm87	Brugia malayi (Filarial nematode worm)	66	
A0A0H5S2E0	A0A0H5S2E0	unreviewed	A0A0H5S2E0_BRUMA	Bm6817	Bm6817 BM_Bm6817	Brugia malayi (Filarial nematode worm)	254	protein tyrosine/serine/threonine phosphatase activity [GO:0008138]; dephosphorylation [GO:0016311]
A0A0K0IZA8	A0A0K0IZA8	unreviewed	A0A0K0IZA8_BRUMA	Bm1386	Bm1386 BM_Bm1386	Brugia malayi (Filarial nematode worm)	232	membrane [GO:0016020]
A0A0J9YAL4	A0A0J9YAL4	unreviewed	A0A0J9YAL4_BRUMA	Bm13430	Bm13430 BM_Bm13430	Brugia malayi (Filarial nematode worm)	41	
A0A0H5S117	A0A0H5S117	unreviewed	A0A0H5S117_BRUMA	Mitochondrial proton/calcium exchanger protein (Leucine zipper-EF-hand-containing transmembrane protein 1)	bma-letm-1 Bma-letm-1 Bm4564 BM_Bm4564	Brugia malayi (Filarial nematode worm)	751	mitochondrial inner membrane [GO:0005743]; antiporter activity [GO:0015297]; calcium ion binding [GO:0005509]; ribosome binding [GO:0043022]
A0A0K0J919	A0A0K0J919	unreviewed	A0A0K0J919_BRUMA	Bm3154	Bm3154 Bm3154 BM_Bm3154	Brugia malayi (Filarial nematode worm)	176	
