From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
A0A0K0DZE2	A0A0K0DZE2	unreviewed	A0A0K0DZE2_STRER	G-protein coupled receptors family 1 profile domain-containing protein		Strongyloides stercoralis (Threadworm)	329	membrane [GO:0016020]
A0A0K0EJT6	A0A0K0EJT6	unreviewed	A0A0K0EJT6_STRER	Protein phosphatase (EC 3.1.3.16)		Strongyloides stercoralis (Threadworm)	330	metal ion binding [GO:0046872]; myosin phosphatase activity [GO:0017018]
A0A0K0ELT3	A0A0K0ELT3	unreviewed	A0A0K0ELT3_STRER	CN hydrolase domain-containing protein		Strongyloides stercoralis (Threadworm)	394	nitrogen compound metabolic process [GO:0006807]
A0A0K0E5G9	A0A0K0E5G9	unreviewed	A0A0K0E5G9_STRER	DNA-directed RNA polymerase III subunit RPC5		Strongyloides stercoralis (Threadworm)	443	nucleus [GO:0005634]; DNA-templated transcription [GO:0006351]
A0A0K0E271	A0A0K0E271	unreviewed	A0A0K0E271_STRER	FH2 domain-containing protein		Strongyloides stercoralis (Threadworm)	956	
A0A0K0ETL6	A0A0K0ETL6	unreviewed	A0A0K0ETL6_STRER	Uncharacterized protein		Strongyloides stercoralis (Threadworm)	364	endosome [GO:0005768]
A0A0K0EKG7	A0A0K0EKG7	unreviewed	A0A0K0EKG7_STRER	Uncharacterized protein		Strongyloides stercoralis (Threadworm)	340	membrane [GO:0016020]
A0A0K0ET28	A0A0K0ET28	unreviewed	A0A0K0ET28_STRER	EF-hand domain-containing protein		Strongyloides stercoralis (Threadworm)	618	calcium ion binding [GO:0005509]
A0A0K0EDB7	A0A0K0EDB7	unreviewed	A0A0K0EDB7_STRER	Aa_trans domain-containing protein		Strongyloides stercoralis (Threadworm)	443	membrane [GO:0016020]
A0A0K0DWN4	A0A0K0DWN4	unreviewed	A0A0K0DWN4_STRER	Uncharacterized protein		Strongyloides stercoralis (Threadworm)	1661	
A0A0K0DXZ8	A0A0K0DXZ8	unreviewed	A0A0K0DXZ8_STRER	VPS9 domain-containing protein		Strongyloides stercoralis (Threadworm)	681	guanyl-nucleotide exchange factor activity [GO:0005085]; vesicle-mediated transport [GO:0016192]
A0A0K0EGM2	A0A0K0EGM2	unreviewed	A0A0K0EGM2_STRER	C2H2-type domain-containing protein		Strongyloides stercoralis (Threadworm)	1042	
A0A0K0E5U4	A0A0K0E5U4	unreviewed	A0A0K0E5U4_STRER	Integrase catalytic domain-containing protein		Strongyloides stercoralis (Threadworm)	587	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]
A0A0K0EH34	A0A0K0EH34	unreviewed	A0A0K0EH34_STRER	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1		Strongyloides stercoralis (Threadworm)	723	membrane [GO:0016020]
A0A0K0ERD0	A0A0K0ERD0	unreviewed	A0A0K0ERD0_STRER	Uncharacterized protein		Strongyloides stercoralis (Threadworm)	79	
A0A0K0E9N5	A0A0K0E9N5	unreviewed	A0A0K0E9N5_STRER	Epidermal retinol dehydrogenase 2		Strongyloides stercoralis (Threadworm)	317	membrane [GO:0016020]; oxidoreductase activity [GO:0016491]
A0A0K0ENE9	A0A0K0ENE9	unreviewed	A0A0K0ENE9_STRER	Uncharacterized protein		Strongyloides stercoralis (Threadworm)	95	membrane [GO:0016020]; RNA endonuclease activity [GO:0004521]; nucleic acid phosphodiester bond hydrolysis [GO:0090305]
A0A0K0ER26	A0A0K0ER26	unreviewed	A0A0K0ER26_STRER	Uncharacterized protein		Strongyloides stercoralis (Threadworm)	408	
A0A0K0EIW5	A0A0K0EIW5	unreviewed	A0A0K0EIW5_STRER	Uncharacterized protein		Strongyloides stercoralis (Threadworm)	140	
A0A0K0E9B7	A0A0K0E9B7	unreviewed	A0A0K0E9B7_STRER	Vinculin		Strongyloides stercoralis (Threadworm)	900	cytoplasm [GO:0005737]; actin filament binding [GO:0051015]; cadherin binding [GO:0045296]; cell adhesion [GO:0007155]
A0A0K0E8K1	A0A0K0E8K1	unreviewed	A0A0K0E8K1_STRER	ADP-ribosylation factor-like protein 1		Strongyloides stercoralis (Threadworm)	180	GTP binding [GO:0005525]; GTPase activity [GO:0003924]
A0A0K0DVY6	A0A0K0DVY6	unreviewed	A0A0K0DVY6_STRER	Transmembrane protein 50A		Strongyloides stercoralis (Threadworm)	156	membrane [GO:0016020]
A0A0K0EK16	A0A0K0EK16	unreviewed	A0A0K0EK16_STRER	Plus3 domain-containing protein		Strongyloides stercoralis (Threadworm)	639	
A0A0K0E137	A0A0K0E137	unreviewed	A0A0K0E137_STRER	Utp21 domain-containing protein		Strongyloides stercoralis (Threadworm)	916	small-subunit processome [GO:0032040]; rRNA processing [GO:0006364]
A0A0K0DSQ1	A0A0K0DSQ1	unreviewed	A0A0K0DSQ1_STRER	Uncharacterized protein		Strongyloides stercoralis (Threadworm)	619	
A0A0K0EHJ9	A0A0K0EHJ9	unreviewed	A0A0K0EHJ9_STRER	Transporter		Strongyloides stercoralis (Threadworm)	656	membrane [GO:0016020]; symporter activity [GO:0015293]
A0A0K0E5K2	A0A0K0E5K2	unreviewed	A0A0K0E5K2_STRER	SSD domain-containing protein		Strongyloides stercoralis (Threadworm)	1017	membrane [GO:0016020]
