From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
Q5FA40	Q5FA40	unreviewed	Q5FA40_NEIG1	Spermidine/putrescine import ATP-binding protein PotA (EC 7.6.2.11)	potA NGO_0192	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	374	ATP-binding cassette (ABC) transporter complex [GO:0043190]; ABC-type polyamine transporter activity [GO:0015417]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
Q5F8Z8	Q5F8Z8	unreviewed	Q5F8Z8_NEIG1	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	NGO_0611	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	255	membrane [GO:0016020]; 1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]; CDP-diacylglycerol biosynthetic process [GO:0016024]
Q5F8N7	Q5F8N7	unreviewed	Q5F8N7_NEIG1	Phage associated protein	NGO_0731	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	94	
A0A0H4ISJ9	A0A0H4ISJ9	unreviewed	A0A0H4ISJ9_NEIG1	7-carboxy-7-deazaguanine synthase (CDG synthase) (EC 4.3.99.3) (Queuosine biosynthesis protein QueE)	queE NGO_00720	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	212	4 iron, 4 sulfur cluster binding [GO:0051539]; carbon-nitrogen lyase activity [GO:0016840]; magnesium ion binding [GO:0000287]; S-adenosyl-L-methionine binding [GO:1904047]; queuosine biosynthetic process [GO:0008616]
Q5F8V6	Q5F8V6	unreviewed	Q5F8V6_NEIG1	NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5)	NGO_0654	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	263	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glutaminase activity [GO:0004359]; NAD+ synthase (glutamine-hydrolyzing) activity [GO:0003952]; NAD+ synthase activity [GO:0008795]; NAD biosynthetic process [GO:0009435]
A0A0H4J5E3	A0A0H4J5E3	unreviewed	A0A0H4J5E3_NEIG1	Phage associated protein	NGO_02605	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	93	
Q5F5P4	Q5F5P4	unreviewed	Q5F5P4_NEIG1	Peptidoglycan-binding protein LysM	NGO_1873	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	407	
Q5F8G8	Q5F8G8	unreviewed	Q5F8G8_NEIG1	Nickel-dependent hydrogenase b-type cytochrome subunit	NGO_0805	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	218	plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; respiratory electron transport chain [GO:0022904]
Q5F4Z5	Q5F4Z5	unreviewed	Q5F4Z5_NEIG1	ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein)	atpE NGO_2145	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	78	plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]; lipid binding [GO:0008289]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]
A0A0H4J5Y6	A0A0H4J5Y6	unreviewed	A0A0H4J5Y6_NEIG1	Membrane protein	NGO_10085	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	115	cell outer membrane [GO:0009279]
Q5F5P8	Q5F5P8	unreviewed	Q5F5P8_NEIG1	16S rRNA (cytosine(967)-C(5))-methyltransferase (EC 2.1.1.176) (16S rRNA m5C967 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmB)	NGO_1869	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	419	cytoplasm [GO:0005737]; RNA binding [GO:0003723]; rRNA methyltransferase activity [GO:0008649]; regulation of DNA-templated transcription [GO:0006355]
A0A0H4J5D6	A0A0H4J5D6	unreviewed	A0A0H4J5D6_NEIG1	Dioxygenase	NGO_02015	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	68	dioxygenase activity [GO:0051213]
Q5FAI0	Q5FAI0	unreviewed	Q5FAI0_NEIG1	Glucosamine-fructose-6-phosphate aminotransferase	NGO_0039	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	127	transaminase activity [GO:0008483]
Q5F784	Q5F784	unreviewed	Q5F784_NEIG1	MORN repeat variant family protein	NGO_1299	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	245	
Q5F6I1	Q5F6I1	unreviewed	Q5F6I1_NEIG1	Membrane protein	NGO_1577	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	236	cell outer membrane [GO:0009279]
Q5F6D2	Q5F6D2	unreviewed	Q5F6D2_NEIG1	HicB-like antitoxin of toxin-antitoxin system domain-containing protein	NGO_1627	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	133	
Q5F5H3	Q5F5H3	unreviewed	Q5F5H3_NEIG1	Pilus assembly protein PilS	NGO_1953	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	86	
A0A0H4IVL2	A0A0H4IVL2	unreviewed	A0A0H4IVL2_NEIG1	Membrane protein	NGO_10515	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	71	membrane [GO:0016020]
Q5F5W6	Q5F5W6	reviewed	LPXD_NEIG1	UDP-3-O-acylglucosamine N-acyltransferase (EC 2.3.1.191)	lpxD NGO1803	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	347	N-acyltransferase activity [GO:0016410]; lipid A biosynthetic process [GO:0009245]
Q5F999	Q5F999	unreviewed	Q5F999_NEIG1	Phage gp6-like head-tail connector family protein	NGO_0500	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	176	
Q5FA36	Q5FA36	unreviewed	Q5FA36_NEIG1	Ammonium transporter	NGO_0198	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	434	plasma membrane [GO:0005886]; ammonium transmembrane transporter activity [GO:0008519]
Q5F931	Q5F931	reviewed	UVRB_NEIG1	UvrABC system protein B (Protein UvrB) (Excinuclease ABC subunit B)	uvrB NGO0573	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	675	cytoplasm [GO:0005737]; excinuclease repair complex [GO:0009380]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; excinuclease ABC activity [GO:0009381]; nucleotide-excision repair [GO:0006289]; SOS response [GO:0009432]
Q5F6Q6	Q5F6Q6	reviewed	RS20_NEIG1	Small ribosomal subunit protein bS20 (30S ribosomal protein S20)	rpsT NGO1493	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	87	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
Q5F5X6	Q5F5X6	unreviewed	Q5F5X6_NEIG1	Membrane protein	NGO_1792	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	159	membrane [GO:0016020]
Q5F913	Q5F913	reviewed	ISPG_NEIG1	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) (EC 1.17.7.3) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)	ispG NGO0594	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	421	4 iron, 4 sulfur cluster binding [GO:0051539]; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity [GO:0046429]; iron ion binding [GO:0005506]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]
Q5F6I0	Q5F6I0	unreviewed	Q5F6I0_NEIG1	CysB family transcriptional regulator	cysB NGO_1578	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	316	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-templated transcription [GO:0006351]
Q5FA21	Q5FA21	reviewed	HIS5_NEIG1	Imidazole glycerol phosphate synthase subunit HisH (EC 4.3.2.10) (IGP synthase glutaminase subunit) (EC 3.5.1.2) (IGP synthase subunit HisH) (ImGP synthase subunit HisH) (IGPS subunit HisH)	hisH NGO0213	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	212	cytoplasm [GO:0005737]; glutaminase activity [GO:0004359]; imidazoleglycerol-phosphate synthase activity [GO:0000107]; lyase activity [GO:0016829]; glutamine metabolic process [GO:0006541]; histidine biosynthetic process [GO:0000105]
Q5F7X7	Q5F7X7	unreviewed	Q5F7X7_NEIG1	Uncharacterized protein	NGO_1034	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	114	
Q5FAK1	Q5FAK1	unreviewed	Q5FAK1_NEIG1	Phage associated protein	NGO_0010	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	66	
Q5F9G1	Q5F9G1	unreviewed	Q5F9G1_NEIG1	Alpha/beta hydrolase	NGO_0434	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	213	hydrolase activity [GO:0016787]
Q5F5A9	Q5F5A9	reviewed	CAPP_NEIG1	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	ppc NGO2020	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	900	magnesium ion binding [GO:0000287]; phosphoenolpyruvate carboxylase activity [GO:0008964]; carbon fixation [GO:0015977]; oxaloacetate metabolic process [GO:0006107]; tricarboxylic acid cycle [GO:0006099]
Q5F829	Q5F829	reviewed	ISPD_NEIG1	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase) (MCT)	ispD NGO0972	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	229	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity [GO:0050518]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]
A0A0H4IT43	A0A0H4IT43	unreviewed	A0A0H4IT43_NEIG1	Membrane protein	NGO_07985	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	92	membrane [GO:0016020]
Q5F697	Q5F697	unreviewed	Q5F697_NEIG1	branched-chain-amino-acid transaminase (EC 2.6.1.42)	NGO_1665	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	332	L-isoleucine transaminase activity [GO:0052656]; L-leucine transaminase activity [GO:0052654]; L-valine transaminase activity [GO:0052655]; isoleucine biosynthetic process [GO:0009097]; leucine biosynthetic process [GO:0009098]; valine biosynthetic process [GO:0009099]
Q5F9Z5	Q5F9Z5	reviewed	KTHY_NEIG1	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	tmk NGO0239	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	206	ATP binding [GO:0005524]; thymidylate kinase activity [GO:0004798]; dTDP biosynthetic process [GO:0006233]; dTTP biosynthetic process [GO:0006235]; phosphorylation [GO:0016310]
Q5F933	Q5F933	unreviewed	Q5F933_NEIG1	Peptidase M23 domain-containing protein	NGO_0571	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	598	
Q5F8X9	Q5F8X9	unreviewed	Q5F8X9_NEIG1	Chaperone protein HscB	NGO_0630	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	117	ATPase activator activity [GO:0001671]; protein-folding chaperone binding [GO:0051087]; [2Fe-2S] cluster assembly [GO:0044571]; protein complex oligomerization [GO:0051259]
Q5F990	Q5F990	unreviewed	Q5F990_NEIG1	HTH cro/C1-type domain-containing protein	NGO_0509	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	93	DNA binding [GO:0003677]
Q5F9G5	Q5F9G5	unreviewed	Q5F9G5_NEIG1	Uncharacterized protein	NGO_0429	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	45	
Q5F7Z2	Q5F7Z2	unreviewed	Q5F7Z2_NEIG1	Phage associated protein	NGO_1012	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	346	nucleoid [GO:0009295]
Q5F906	Q5F906	unreviewed	Q5F906_NEIG1	Integration host factor subunit beta (IHF-beta)	ihfB himD NGO_0603	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	104	chromosome [GO:0005694]; DNA binding [GO:0003677]; structural constituent of chromatin [GO:0030527]; DNA recombination [GO:0006310]; regulation of DNA-templated transcription [GO:0006355]; regulation of translation [GO:0006417]
Q5F5Q3	Q5F5Q3	reviewed	SMG_NEIG1	Protein Smg homolog	smg NGO1864	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	153	
Q5FA81	Q5FA81	unreviewed	Q5FA81_NEIG1	FAD-binding domain-containing protein	NGO_0148	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	71	FAD binding [GO:0071949]
Q5F7B3	Q5F7B3	unreviewed	Q5F7B3_NEIG1	TspB	NGO_1167 NGO_1265	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	506	membrane [GO:0016020]
Q5F606	Q5F606	unreviewed	Q5F606_NEIG1	DUF2247 family protein	NGO_1760	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	157	
Q5F5W7	Q5F5W7	unreviewed	Q5F5W7_NEIG1	Membrane protein	NGO_1802	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	166	unfolded protein binding [GO:0051082]
Q5F900	Q5F900	unreviewed	Q5F900_NEIG1	Methyltransferase	NGO_0609	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	221	S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]; methylation [GO:0032259]
Q5FAD9	Q5FAD9	unreviewed	Q5FAD9_NEIG1	Glycosyl transferase family 1	NGO_0087	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	354	glycosyltransferase activity [GO:0016757]
A0A0H4IVF7	A0A0H4IVF7	unreviewed	A0A0H4IVF7_NEIG1	Tc1-like transposase DDE domain-containing protein	NGO_06995 NGO_07675	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	162	nucleic acid binding [GO:0003676]
Q5F5V7	Q5F5V7	unreviewed	Q5F5V7_NEIG1	Membrane protein	NGO_1812	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	348	cell outer membrane [GO:0009279]; pore complex [GO:0046930]; porin activity [GO:0015288]; monoatomic ion transmembrane transport [GO:0034220]
