From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
Q2G0F5	Q2G0F5	unreviewed	Q2G0F5_STAA8	Probable heme-iron transport system permease protein IsdF (Iron-regulated surface determinant protein F) (Staphylococcal iron-regulated protein G)	SAOUHSC_00614	Staphylococcus aureus (strain NCTC 8325 / PS 47)	316	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; siderophore-dependent iron import into cell [GO:0033214]
Q2FYY5	Q2FYY5	unreviewed	Q2FYY5_STAA8	XRE family transcriptional regulator	SAOUHSC_01288	Staphylococcus aureus (strain NCTC 8325 / PS 47)	65	
Q2G0Z2	Q2G0Z2	unreviewed	Q2G0Z2_STAA8	DNA-binding protein	SAOUHSC_00369	Staphylococcus aureus (strain NCTC 8325 / PS 47)	318	
Q2FXD5	Q2FXD5	unreviewed	Q2FXD5_STAA8	Transposase family protein, putative	SAOUHSC_01928	Staphylococcus aureus (strain NCTC 8325 / PS 47)	47	DNA binding [GO:0003677]; transposase activity [GO:0004803]; DNA transposition [GO:0006313]
Q2FXQ0	Q2FXQ0	reviewed	RL35_STAA8	Large ribosomal subunit protein bL35 (50S ribosomal protein L35)	rpmI SAOUHSC_01785	Staphylococcus aureus (strain NCTC 8325 / PS 47)	66	cytosolic large ribosomal subunit [GO:0022625]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
Q2G2I9	Q2G2I9	unreviewed	Q2G2I9_STAA8	Competence ComGF-like protein	SAOUHSC_01637	Staphylococcus aureus (strain NCTC 8325 / PS 47)	124	
Q2FVJ8	Q2FVJ8	unreviewed	Q2FVJ8_STAA8	Aminotransferase class I/classII domain-containing protein	SAOUHSC_02713	Staphylococcus aureus (strain NCTC 8325 / PS 47)	371	8-amino-7-oxononanoate synthase activity [GO:0008710]; pyridoxal phosphate binding [GO:0030170]; biotin biosynthetic process [GO:0009102]
Q2FX57	Q2FX57	unreviewed	Q2FX57_STAA8	Phi Mu50B-like protein	SAOUHSC_02042	Staphylococcus aureus (strain NCTC 8325 / PS 47)	95	
Q2FWZ4	Q2FWZ4	unreviewed	Q2FWZ4_STAA8	Permease	SAOUHSC_02112	Staphylococcus aureus (strain NCTC 8325 / PS 47)	176	membrane [GO:0016020]
Q2G0T2	Q2G0T2	unreviewed	Q2G0T2_STAA8	Uncharacterized protein	SAOUHSC_00446	Staphylococcus aureus (strain NCTC 8325 / PS 47)	32	
